ID	Xc1.A	Xc1.R	Xc1.N	Xc1.D	Xc1.C	Xc1.Q	Xc1.E	Xc1.G	Xc1.H	Xc1.I	Xc1.L	Xc1.K	Xc1.M	Xc1.F	Xc1.P	Xc1.S	Xc1.T	Xc1.W	Xc1.Y	Xc1.V	Xc2.lambda1	Xc2.lambda2	Xc2.lambda3	Xc2.lambda4	Xc2.lambda5	Xc2.lambda6	Xc2.lambda7	Xc2.lambda8	Xc2.lambda9	Xc2.lambda10
1775|0	0.1043636006305615	0.3770027145347649	0.2081149440235858	0.251993328460088	0.5891736736762561	0.0728941833064291	0.1069114688494293	0.2236837190823751	0.0501702344901511	0.0851552906742763	0.0755410161276931	0.1559905980934503	0.0	0.2576661211720586	0.0	0.1404259269566405	0.2285685098234068	0.2004092081228888	0.1448927077871876	0.1032196538796456	0.5310717112188954	0.3988349224374233	0.5216765127870868	0.507951187899914	0.6296017963201387	0.4658883218396354	0.614303141020006	0.5399196894819914	0.3584539007096448	0.4129922235277692
1030|0	0.2400939799396171	0.2601944019767307	0.3989828581168265	0.2898619862799965	0.7624266638494451	0.0	0.0614888713645366	0.1715320732442414	0.1154192764571679	0.0	0.6082513525232208	0.3588646166204647	0.0	0.2963872660296424	0.2420998828844584	0.3230572679173803	0.0876389898406445	0.2305259884866456	1.0	0.2374622699697911	0.5997578241966081	0.4521685904566118	0.397864663169311	0.4598577086454051	0.5418701484520104	0.3576906743478747	0.4284122028292207	0.5209620383488339	0.2514805084588135	0.3173647631961496
5115|0	0.1981966602327872	0.0	0.2634870561561755	0.2126932966409818	0.0	0.5537326651989856	0.2030353105729613	0.047199689677579	0.0	0.2156242739910659	0.3825593602019529	0.0	0.6590659782492532	0.3262220695266935	0.0	0.0888941788284412	0.0964608669597316	0.0	0.1834435927341017	0.0	0.4040906233400639	0.3679478806735806	0.4280872993674477	0.4584490193986327	0.4524655775491997	0.2849736958185079	0.2863781752894284	0.4159996955705547	0.3489601845980215	0.2984185282095302
2194|0	0.0	0.0	0.0	0.0	0.1778037337000783	0.0879934629531519	0.0	0.1350087493645206	0.0	0.2055886649751639	0.2735656798348145	0.4707561115224615	0.0	0.0	0.0	0.0847568560400576	0.1839427490563499	0.0	0.0	0.6230027128169152	0.4234505413940687	0.4931017532588153	0.4330317400872842	0.3104045786733347	0.4347906242759692	0.5486347673081653	0.3379796573809482	0.2817860300191183	0.3220091130827095	0.3819917532940828
2160|0	0.1367099282650286	0.0	0.4543630617131283	0.1100319448827582	0.0	0.0	0.2800949593307586	0.0976706597735999	0.0657199360385016	0.0	0.0989541069250931	0.5108453365571604	0.0	0.0	0.0	0.183949368216515	0.299410756171745	0.0	0.0	0.0	0.4072209854190441	0.2433458276236363	0.3584692846607512	0.4173113231071446	0.3015358965678844	0.4135579781077786	0.3296939560599	0.3874785524233365	0.3726060250927395	0.291462448155582
4034|0	0.1001294298809665	0.2170243263467193	0.1996714426187462	0.0805898741197925	0.1413175275901764	0.0699367688735534	0.0512869638406058	0.1073042858336076	0.0	0.2451012801890545	0.2174286484500565	0.2244927765933309	0.0	0.2472122622898763	0.0	0.0673643297170659	0.0730983933066085	0.1922783387215227	0.0	0.0990318945785112	0.6185246290451926	0.4446074725469161	0.5729392201699506	0.4961611615936576	0.6918027927871992	0.5207268047997414	0.6046852284670892	0.3801986588406541	0.4638611515647426	0.3787159966826394
1077|0	0.22408374870192	0.0809479368604794	0.0	0.1803553772516958	0.158130139047727	0.0782571785334044	0.0	0.2001172103776241	0.0	0.1828407283842371	0.4865924701439062	0.5024015715992675	0.0	0.2766232191916632	0.0	0.226136085310844	0.0817949428839495	0.0	0.0	0.2216275295343959	0.597964769646845	0.509527208548587	0.4911106762486156	0.3201076420826775	0.520638838600363	0.6000443864465334	0.4202326427130237	0.3271533803339779	0.3239482635193105	0.4786688266333987
4100|0	0.3076348926359761	0.0	0.163590672287555	0.0990408406473985	0.1736720262143406	0.0	0.0	0.1758286515951458	0.0	0.0	0.5344174155505365	0.4598169343215205	0.3068947144022452	0.4557168728010462	0.0	0.082787321827919	0.1796683864352294	0.0	0.0	0.1217051422041054	0.5133321493913794	0.4567773157315934	0.2846333964808949	0.402533734697067	0.4170070004342167	0.4703700943165578	0.4628775324663854	0.2353505107500751	0.3989800114043615	0.4212991273101877
2006|0	0.1129539640516431	0.0	0.0	0.0	0.0	0.0	0.0578557760376393	0.1613970299447463	0.0	0.0	0.4087946931956163	0.3376609527265042	0.0	0.1394375510826912	0.0569488278613141	0.0759923239977509	0.0	0.0	0.1568190979216425	0.1117158569012645	0.5536834130870801	0.4226579919947928	0.3873277300515166	0.381254200991809	0.5197106573063104	0.5249966928585263	0.549881145961016	0.3772379367387261	0.400158946065008	0.4275195332215485
1401|0	0.1725648280391039	0.3324653842828588	0.0	0.1851866833518389	0.1623660820899551	0.0803535085114166	0.0	0.1643823124596344	0.0	0.0	0.0832711940383629	0.0	0.2869160536545505	0.1420166597769991	0.1740065480556855	0.4643875027517641	0.0839860414391347	0.0	0.1597197046501943	0.1137822108754192	0.6460312171032394	0.2147691164233157	0.5655838355100825	0.3788809686697821	0.5550731468073534	0.4055570707024589	0.5296962698838633	0.5385556162007407	0.4050736554917557	0.3343741408165036
4578|0	0.0630301921797995	0.0	0.0837937418668269	0.202921169512499	0.0	0.0	0.0645689721999765	0.0	0.0606004296998893	0.1028587420115241	0.1824913949008207	0.0	0.3143926987929081	0.3112338983625001	0.0	0.0	0.0	0.0	0.0	0.0	0.5377830668623514	0.5607242657787659	0.4338520712856804	0.425216919701508	0.5421135454759735	0.4221734229361244	0.4085718963845512	0.2500112217102782	0.3929847213082103	0.1139849540971347
1568|0	0.1626577897100796	0.1566891850936962	0.0	0.0872775088065011	0.0765222795883202	0.2272211128728157	0.0	0.0774725183455601	0.0	0.0	0.2354716518315651	0.0	0.0	0.0	0.0546722466052098	0.072954461640998	0.0	0.0	0.0	0.1072499137838678	0.3888358238308875	0.4061395428746288	0.6497175187715032	0.5397976144398613	0.3922209862988879	0.5273179364673043	0.4734457647717338	0.6179753329607656	0.4533089622653945	0.3238479296234987
4980|0	0.0624632730390512	0.0902568456901344	0.1660801338590505	0.1005480070606945	0.0	0.0	0.1279764252938653	0.0	0.060055364829447	0.2038671774438367	0.2712749897965695	0.0	0.0	0.0	0.0629851322850222	0.1680942965604407	0.1824025126380784	0.0	0.3468823502905574	0.123557205468678	0.5167445398569748	0.3922824003625571	0.4119678540604564	0.5088775413253932	0.4044802388569095	0.3779886329767399	0.4739450250796809	0.4014336056217968	0.2533321051134217	0.3501740568024333
1832|0	0.122904749029381	0.0	0.3267846236291725	0.0989207495216679	0.0	0.1716890036535367	0.0629526346729634	0.2634231780972806	0.0590834356183715	0.4011356283459272	0.3558462748507262	0.3674075097789275	0.0	0.3034428647985173	0.12393157609966	0.0826869387676627	0.08972526553362	0.0	0.0	0.0	0.3954668206696787	0.341982551235731	0.4908901028415202	0.4499245362843917	0.479034872003944	0.381462579823543	0.3681702405080003	0.4695765704133414	0.3962047661256407	0.3560361777103402
5084|0	0.122044880463816	0.176349803770399	0.1622491833846932	0.1964573565481508	0.0861239337060461	0.2557317446232912	0.0625122042412489	0.0871934039331972	0.0	0.0995822988897547	0.4416958703856628	0.0912092615757228	0.3043780925926968	0.3013199120001446	0.0	0.1642168856372807	0.3563901116308219	0.0	0.0	0.3621213788086426	0.4460811879238164	0.4378452343461435	0.4583798313681162	0.5214068686789443	0.4545976039841414	0.4735404008718532	0.4060404583128537	0.4154489272183037	0.2479430014412937	0.3402045638400993
1699|0	0.0	0.0912689512750425	0.0839712463305765	0.2033510275493319	0.0	0.0882351161932416	0.1294115037500877	0.045126506324017	0.0607288026133936	0.0	0.5486339265806421	0.1888195727492966	0.0	0.0	0.0	0.2549688621136529	0.1844479043236695	0.0	0.0	0.0	0.5172928047612121	0.3948564949631795	0.4587207809374547	0.4588974671908268	0.477912685662723	0.3207068789763936	0.2159017772069908	0.411917183526592	0.4012319794671943	0.3290096411526794
2340|0	0.1251219842282172	0.0	0.1663399536903929	0.1007053068269537	0.0	0.3495726402266319	0.128176634749765	0.1340877020437816	0.0	0.2041861122521665	0.1811329193589528	0.1870178207389609	0.0	0.0	0.0630836677694725	0.084178633698636	0.0	0.0	0.0	0.3712515041663594	0.5093388299514501	0.3525615468934929	0.3538112133484818	0.4371326555502511	0.4208165233322227	0.3781915214194953	0.3901186661979616	0.574872114751567	0.3454971014057479	0.2937721784665195
