protein	pc.1	pc.2	pc.3	pc.4	pc.5	pc.6	pc.7	pc.8	pc.9	pc.10	
1182|0	-0.08782325965353653	-0.0929352716914243	-0.06909865421533985	-0.011627741708902217	-0.038559102471349	0.08095983411145148	0.004570147652309673	-0.010168053934540539	0.04852861680871349	-0.0177348373409751	
2807|0	-0.06713330639426657	0.021737794007679265	-0.19427473114861993	0.002138517248747513	0.07881219606534896	0.08966110995609432	-0.04343506822152799	0.05179637591434035	-0.07062658913768435	0.014400671749045465	
5281|0	-0.12082865488083362	0.0741431489033726	-0.022115961707116896	-0.06608823440081335	0.05264683668548466	-0.006825878330140993	0.03041200018682567	0.02664282295463638	0.06041368705478511	-0.04603335027085812	
3989|0	-0.11248014788769542	-0.10812577982531854	-0.10169003420548772	-0.010705083841565443	-0.05632699685926711	0.06083436893571757	0.00013283582140811602	0.029831716895587793	0.15650839731943716	-0.08680341787434571	
1255|0	-0.058690240455052466	0.022088195266955615	-0.024846515570529165	-0.04408172278768725	-0.09438100710886235	0.11108704246297647	0.02046360387169256	-0.049007246050250246	0.02229927393415571	-0.023542021170028668	
2810|0	-0.262479121558934	-0.0013577908053474172	0.0038342970282494266	0.05640201245733881	0.13913426877027546	-0.02793341763144854	-0.017948394477909347	0.03527650881385974	-0.06275072259637463	-0.03417433765080428	
3936|0	-0.0342292308151094	-0.027964376165909813	-0.006909507902032472	-0.06492899856079952	0.0346317199980069	0.0006726286484307442	0.01795473854839564	0.04279440504580661	0.018743781511756347	-0.08509639612770166	
882|0	-0.12565290257136283	-0.04086743389694686	-0.12667731118261552	0.23182989208884616	-0.056694777567897287	0.27016465760618785	0.08565402820545699	-0.10188813765406671	-0.12956513683357918	0.05193573426203783	
3176|0	-0.14786818360644988	0.05246010983115023	-0.010869642931614102	0.003285050040893713	-0.16022320554339523	-0.0664782569891974	0.1445083558789445	0.030920640290675188	0.14028431147394546	0.04798726288953114	
899|0	-0.2159790925177735	-0.005670059116392598	-0.0241480846943292	0.03492834630117829	-0.13374508787435616	-0.12685616622870535	0.14074640090809226	0.013212988011510097	0.07608470704767559	-0.04347175202883581	
3920|0	-0.12279867014404258	0.001723716025340307	0.046039238000046584	-0.03854132115017799	-0.016206350577563547	0.139624662670847	-0.110775387076354	0.04678724625327979	0.06663947208076096	0.008952692986080276	
2009|0	0.009666746051241983	-0.12951654565010015	0.049263546272440104	0.08446288765865602	-0.11377385314032064	-0.014656777634134498	0.044279964736730015	0.028954230850735133	0.08003889277569408	0.07464814636876961	
5129|0	-0.04933183716232892	-0.1574953827745604	-0.2915686514329306	-0.10438087961849853	-0.02395923531896028	-0.04993560243484873	-0.029714682689232948	0.015671282642301332	-0.06739367220902066	-0.008747967789406114	
4428|0	-0.04846497483478109	-0.0726782803071755	0.13308647134940757	0.09621535199086186	0.0934535420582645	0.09048212360487913	0.001652303758098339	0.11064595012647414	0.05715288503904981	0.1071312341886574	
1764|0	-0.09608126732742665	0.10673715346019955	-0.05861628290192287	-0.06381113609914955	0.004056731080283639	0.01860477487320644	-0.016218988013172324	0.056442937387167325	-0.034256617300605426	-0.012791912378257686	
4231|0	-0.06811301045037911	-0.026375208517614438	0.1382234173319028	-0.10322863477678319	0.001945784842170341	0.05233679482799016	-0.0017477152451941223	-0.020314302458505122	0.05132715130245387	-0.012240380002894631	
4581|0	-0.1050646013880602	-0.091609502902575	-0.009700142040681158	-0.11953781266997651	0.05943810995378728	0.029885383195316733	0.01356280613639516	0.011319382576924648	0.04507057869918655	-0.040797066000153356	
3543|0	-0.09813572762925603	0.07080409235496297	-0.055275954384382556	0.023990695188447313	-0.06539728180455488	-0.03251353510505595	-0.02791454248466657	-0.028247074308554127	-0.11498265904896796	0.008085794588040394	
2318|0	-0.03651391510018774	-0.09434384343997272	-0.005834115569238961	0.06740084161470387	0.00703757839116763	-0.06779878668294854	0.0285097801451232	-0.07532820450469245	-0.01017608443467343	-0.036325780393065464	
5100|0	0.37776671698400593	0.3917818133295358	0.00741988284937671	0.07487039667451643	0.05455485733881112	-0.041762702968640916	-0.008465154964196243	-0.06253126474680103	0.013470449295959749	-0.039978803039399526	
5299|0	-0.15365602859634192	-0.03279546313024536	-0.028043282811586412	0.11925926833956861	0.1655819438755908	-0.05664208336149659	-0.03686760300156099	-0.0819330192209308	-0.06811600049018211	0.02895899614617817	
826|0	-0.147301052693247	-0.05585306637714757	-0.006048994182348957	0.07278535675020018	0.10119159457489953	-0.06045852599458328	0.0009999388610291461	-0.0678067295487277	0.0377590824197055	-0.006359890638059408	
961|0	-0.12494273580468435	-0.004461183962160579	0.018208973599554562	0.08297318553056535	0.005367375898231508	-0.07788539950969846	0.014141013306174451	0.128308580629123	0.037802740396143494	0.037158718705942936	
1879|0	0.06857170718008525	0.09084086815457071	0.02582656820320482	0.03882343639484184	-0.10299489961408476	0.01242741696715003	0.009849280972666175	-0.06486644750317087	-0.028264551179326556	-0.045996368095059796	
2649|0	-0.036060859529954456	0.031103305326669228	-0.07327027040093864	-0.049929861995021245	-0.017210868631157943	0.033650152672317295	0.05956289607940912	0.020149573183223815	-0.0066395965496831985	0.026165743465460835	
1390|0	-0.08272577674814265	-0.021775362130559636	0.032375837593502786	-0.0066128981819163594	-0.0030145322072479353	0.0010031905636054882	0.03674123465822048	0.03391575171753105	0.07880823317720036	0.035454442528383846	
2881|0	-0.07280599665697252	0.017753495197224283	-0.024060687878297855	0.011790537505133808	0.0019819803333711865	-0.08209026493067079	-0.0578126035882443	-0.0501605434112796	0.011557517189655054	0.049449968452217476	
1540|0	-0.13892577402092135	0.06543331024108445	0.00045301433912116524	-0.0831305833811249	0.02119828832737683	0.07335534885274095	-0.05809342429358158	0.0657595642361875	0.0868488723939618	-0.008957136439838888	
4972|0	-0.17462444175952313	-0.0063006450757719665	-0.017158900343674847	-0.06152976812014845	-0.023631271385456638	-0.022131513602129296	0.07375157871436624	0.01151320651703705	-0.1068355074256936	0.014907661273480597	
1458|0	-0.12404576933793957	0.03483194471401773	0.01629867328556802	0.03034415609923854	-0.16448347148501058	-0.10571543652434384	0.06721571690985177	-0.010029106361023868	0.0609003750812274	-0.0503073289113363	
1558|0	-0.06704932153401372	-0.08197415013369608	0.05916031587205888	-0.05330249107184156	0.0893234774784459	-0.047069814526251454	-0.021207125431890256	-0.09243418667264192	0.06605419365209864	-0.009506585952804018	
825|0	-0.1252041083776889	0.09405613859861765	-0.0140035124901543	0.06365579466957419	-0.09218066801911592	-0.04701167912817321	-0.01889046333975407	-0.04927351669536569	-0.01128800744050111	-0.04226157188675024	
5140|0	-0.17681210813850556	-0.02296067651450404	0.021562951461242406	-0.0197123611484212	0.013168075030281357	0.00478201039776974	0.10243456354036409	0.06383263735889022	0.01806197324729154	0.0022372069502225606	
2551|0	-0.16107611075040132	0.1585812091717929	0.0340135656961416	-0.10781655672175314	0.05866855932164309	0.0673071391200296	-0.03517461912644056	0.08354971370616514	-0.10722390755425935	-0.07218934527613319	
4364|0	0.029031837682660523	-0.10191684885429611	0.06601778334843363	-0.033134415781687555	-0.042007077359832834	0.00605310811005259	-0.03693279832431713	-0.15409486269365433	-0.02950685628092667	0.0002071307935923867	
5080|0	-0.030744941470554184	0.035734585048146875	-0.09186511419231859	-0.06546932829585415	-0.06783341925961907	0.0016279452463233755	-0.031088002072410154	-0.018466136350948015	-0.05300478759135392	0.10261694684676448	
5182|0	-0.015538550465783315	-0.04525693309501488	0.0443413427688773	0.0844627915514141	-0.03974998479253339	0.09696891130705411	0.047948667402377375	-0.0688202134574754	-0.04942013547939541	-0.004205576538622529	
2569|0	-0.043515795392052165	-0.056756213725293964	-0.017122108282664108	0.03164797844809073	0.027049658179353064	-0.004331082496668811	-0.019782909033766644	-0.026442798475283708	0.05949781100376931	0.0033238727071804117	
3392|0	-0.11243407570078004	0.032797865375352966	-0.04060534224133866	0.007223256335251197	0.027970295023295125	0.05071532625765324	0.10828171451381394	-0.00789066766359016	0.01009251010595121	0.0010669193825793577	
2408|0	-0.1758576987218019	0.0063650162061435756	-0.046605224353360765	-0.05980523554072406	-0.0008263921155433842	0.10962811790697952	0.08355360911507378	0.039311136023217785	0.1005596122366731	-0.025096816965730913	
4894|0	-0.09489988420239615	0.05784928546194492	-0.05992979171236182	0.056437085053037184	0.02685872260537034	-0.007598331465739456	-0.04121285071784498	-0.11147256857518781	-0.045557161986016004	0.07763736574168348	
4200|0	0.08510878988721933	0.2515878635801898	-0.0578665402095581	-0.044557671330463566	-0.020023635820082743	0.022395667333029983	-0.03773569963333493	-0.028522785544726436	-0.058183020440896405	0.0038014117948648616	
2865|0	-0.1234406664583109	-0.011037817488396785	-0.047633665948120234	-0.03829027968786859	-0.009373927258481464	0.0729633924319739	0.016314016210932994	0.04401888764015573	-0.026833657541066383	0.019585884691052876	
4419|0	0.01388260729020953	0.011857364317484652	-0.006458699808932355	-0.03225499922153132	0.025739796675309106	0.0241584980286672	-0.010299951033229242	-0.06465103088135207	0.05606367956562016	-0.04476048100619372	
3461|0	-0.028323769155759508	-0.04220608432983806	0.07949624458366852	0.030546884724874917	0.05380990358191438	-0.10076935272456451	-0.009863457197150129	-0.05873934817073398	0.034553838687640816	-0.016045812968878023	
2615|0	-0.015344195859200943	0.01723309082468499	-0.11615418620790033	0.06681520185321499	-0.14123870146822548	-0.0070846963098854365	-0.003385585956552929	-0.01000964251226369	0.13349089371634826	-0.0903913173610303	
5219|0	-0.056126631609506115	0.10491908866482971	-0.06671422925767245	0.034968611304580614	0.034641612653102526	0.012165048071365288	-0.022492687710682153	0.05115922152640357	-0.019405102981833358	0.016480052567392888	
1911|0	0.029215071385499555	-0.07144154369210347	-0.10434972131313315	-0.10421051676059352	-0.025511636568646964	0.04501387788422597	-0.02216311177139867	4.2279451995614466e-05	-0.00369364080445918	-0.013878753682430873	
3039|0	-0.08268226160324581	-0.0529959996237236	0.05634517566100208	0.07114772374787523	-0.05268162845105711	-0.09321625342164432	0.08111982809516725	0.030880395117688295	0.032958087125183576	-0.025853492007155667	
4451|0	-0.07757910798023941	-0.005621680311690913	-0.11202557011866315	0.06337191936006163	0.00036949325784981125	-0.008877558576974065	-0.022155468784485762	0.01270008195040823	0.011397723789395168	0.026791572847547955	
801|0	-0.08408115028428849	0.12992712570761525	-0.03032646764201144	-0.020014463471770737	-0.06440716339005734	-0.07805051784006105	0.0825906599583787	-0.023272950279237252	-0.1119540418002764	0.0035190896340768665	
5004|0	-0.11482994422627087	-0.017350799530774494	-0.009429286726207506	-0.06262110291170754	0.03827661069256579	-0.002248478165584285	0.046671351722519884	0.08312165016823997	0.140685475468724	-0.025510046212110078	
2352|0	-0.03399126045491811	0.21269173564970612	0.029516929001296474	-0.07202508674367239	-0.034331660058609464	0.04037830475437866	0.01381665383527331	-0.0130241911758773	0.0014801346317730314	-0.0010954116208819133	
3523|0	-0.04603082681341037	0.018289472962426907	-0.09653246120776678	-0.05074914491205321	-0.023623287440057466	0.041386133763974244	-0.00649325578818905	0.022945289398355075	-0.016386648269828077	-0.02699827079414219	
3357|0	-0.030366205841206088	-0.03194983915798125	0.00013591885188992802	0.07588185586222392	-0.12269731767524947	-0.02857591327778239	0.058537324520425205	-0.011342540087005377	0.09857103115155667	-0.06648625100542695	
2034|0	-0.20432338350770562	-0.03621325746282894	0.005160415573210889	0.0037489101507751353	0.08639670739211082	-0.06483632411341943	0.020536376151230225	-0.027483124945526675	0.06983390654901325	-0.001258044398904285	
3875|0	-0.10981181656655484	-0.01667265890587629	-0.018250827805850654	-0.028294927914030623	-0.08103152925576534	0.03862717120658181	0.02845742898511617	-0.021889381998484378	0.013931986193705092	0.027765627768671575	
5284|0	-0.12969735423501158	-0.06734300192023407	0.021491001931003298	-0.00787087263499869	0.025871584205424247	-0.08251385513071893	-0.039235009167793815	-0.09899176869641936	0.023165818624215434	0.015161104868217642	
3115|0	-0.07795157958263324	-0.0015948741578626108	-0.07154246368233005	-0.057511206489814386	-0.04742092108266163	-0.0074501022317806755	-0.022798287268913725	0.04110579063538597	-0.05296464256467031	-0.008296485086583144	
3406|0	-0.09821143673488722	0.14434997063246208	-0.015444817135138577	-0.024171892031534473	0.07554986223057886	-0.05735466031908925	-0.025715528344694608	0.056143232304808964	0.07651089257447252	0.11356968362194664	
4936|0	-0.09866330626675013	0.02031152090986658	0.0036391177502099114	-0.02844591978503946	-0.04642580591108597	-0.1368461829300133	-0.014702982478895411	0.04400337185939454	-0.0605256271959304	-0.08467451830385671	
2431|0	-0.21246583377426562	-0.05384735576317194	-0.014599044110184282	0.07167873527428331	0.08370248218790287	-0.03242127175291751	-0.01800088482821539	-0.034768453625146654	0.013229593742744449	0.03332091051581474	
5093|0	-0.10401396145348064	0.07280866271608258	-0.05462193923286229	-0.16870870319566117	0.08941559368124742	0.1653063868313946	0.03175079229927418	0.08113338557266657	0.012012288173485285	0.05168839865387461	
1095|0	0.05163752222532188	-0.022121956979477508	0.027901442153750018	-0.06803368372293264	-0.08249441088234212	0.031206631094128006	0.1264843230894631	-0.08766139139824353	-0.03660266798753524	0.045013032513076534	
1077|0	0.041444095098399504	0.03198674995013842	0.00954093762818028	-0.06142737205553393	0.04369594177591789	0.020246633947172105	-0.005109269527466616	0.0009745676003528332	-0.01088267831323358	-0.00769538755453407	
2934|0	-0.11286232689149917	0.02691695315262531	-0.02350172833739372	-0.04185849137679929	-0.0283496735056768	-0.06690770866714812	0.008189854335197075	0.04373173927247553	0.07463124434571501	0.016595179137054505	
1452|0	-0.13075660547689547	-0.0690234716693478	0.097929278115408	0.04925861654089015	0.07211487522960297	-0.03281820070737038	0.0015213504929292437	-0.06674261115294808	0.02245695231850179	0.006965994077680222	
1140|0	0.04843968178781809	-0.03919932565231978	-0.0565350334129323	-0.06716121994709434	-0.046465592568717795	-0.0035938091326178545	-0.0878840490442506	-0.04132721751203328	-0.03816509000922531	-0.05712548504796183	
2603|0	-0.13277377307178923	-0.033796310788433655	0.020709441711994927	0.04559810249521531	-0.03939241814197968	0.011965806554293267	0.03544102171812235	0.006420734793886912	0.03471669606482439	0.004221634720841921	
1341|0	-0.20236545909414175	-0.00956947786136678	0.004495835381826626	0.07264552618303616	0.01116991409321511	-0.058509674549447124	0.00549131159297378	0.09972721391385848	-0.03467158295776381	-0.02277172309592658	
5171|0	-0.10847216862813772	-0.07549373684650165	0.11705154806401533	-0.0033990393587330003	0.014352291127097717	-0.10436078889777092	0.0008563212403278763	-0.10365947786933441	-0.017414244495519666	0.0012254478783400957	
2573|0	0.0012727320003660325	0.12857905944935394	-0.04071068729889085	0.08638627782183565	-0.05177353969570141	-0.023979788479209094	-0.0007202164448887958	0.009950548831694795	-0.02743537989952836	-0.04078527943365753	
3232|0	-0.05151896884039537	-0.03945082473966076	-0.019371764604017457	-0.005283082586149281	-0.031598224854421	-0.01904476302959177	0.01369090034679819	0.054270044931405394	-0.024268905418118845	-0.043735494698333356	
1858|0	0.07952186352921811	-0.1425935124400573	0.0010699230292493605	-0.06466624148704653	-0.03894253044994873	0.040602755782937094	-0.027400299001551415	-0.013653482525748745	0.029926769186361928	-0.026488188254350523	
4568|0	-0.18960740249132446	0.018505865537615525	0.011747014940324051	0.14261311348903827	-0.0023689529206716263	0.01884441319956782	-0.06304265730413748	0.02131100918434429	-0.04993900969399543	0.06641079649601817	
898|0	-0.1526140557232297	-0.031107905690506036	-0.038709339342246435	-0.11387531434435491	-0.0013712333262314578	0.09561111047599892	0.07505057126951	0.0022401069853573872	-0.029081315364371186	0.051158910861644855	
5276|0	-0.143317271760576	0.024180885515180776	-0.07027946074844003	-0.062249936143800845	-0.06070808314453018	-0.010863561030732934	0.07288458880949997	0.08394694589016657	0.007836586557487167	-0.038230911255469686	
2209|0	-0.18054009465156912	-0.0063161274534711195	0.025024068409728872	0.05378175432122322	0.0680496288955975	-0.01658490212007053	-0.06811230738430087	-0.007192765370773006	-0.05256224852196713	0.0325021859318433	
1000|0	-0.11274004921033084	-0.013295516853620746	0.03131096564271031	0.029846663378590117	0.07161344163429369	-0.060974364307457556	0.0038244649074812976	-0.04653726720061021	0.009590512806762935	0.0002510803544327135	
3329|0	-0.04418565701201948	0.182868526503982	0.0750189702403927	-0.15478552497908785	0.11278028864943154	0.08076182569600604	0.055142660903792516	-0.02771025146818605	-0.032813990100581704	-0.011643080597464056	
3365|0	-0.09974747236783922	0.06849770728396762	-0.06199974728698345	0.009531801638579262	-0.03284033455803365	0.028884657988409824	-0.06342526661364646	0.009379798220471495	-0.032494127555581356	-0.03591226533230189	
3041|0	-0.06453195997963337	0.0645073560078207	0.04677725409701926	0.03346673331086819	-0.01749713459460954	-9.447520366686291e-05	0.007994979495969657	0.0014195284252844673	0.038288199624517516	-0.019827105041350088	
1806|0	-0.09054197542998246	0.010282185336768578	0.032829281980352676	0.04015491205806527	-0.06964698807237514	-0.05627305881178245	0.11122583595653521	-0.005757225573610588	0.03786469645196574	-0.08475337281650018	
3770|0	-0.14107963946038032	0.03773969318514355	0.04115955963538427	0.006182224016508284	-0.052361080067263	0.0072764581318196225	0.04767530310560691	0.014723526423543732	0.031308581767278666	0.03728938634958487	
3289|0	-0.13314242557350967	-0.08792549028315	0.058161996776732255	0.2170272629204318	0.1691524951338434	0.028526033674412428	0.02247154400630944	-0.07805450603701125	-0.0021024640045621285	0.08316727179363115	
3763|0	-0.19868707412348785	0.037377455963245196	0.0386296349498838	0.09240520616174458	0.15952754994465332	0.09283329495160957	-0.04690150554301383	-0.22584518710242252	-0.01922162933678365	0.04761253340041955	
1275|0	0.07634929446719885	-0.07295849397944021	0.024563202576344152	-0.019357109125272137	0.028146397384379143	0.03039094283143465	0.08553665929388467	0.02822116833579291	-0.0018452415357459674	-0.08490770013101501	
3228|0	0.01925974833996396	0.20034398507339818	-0.1992269045135556	0.0026548169294026954	-0.008220557430266425	0.0421276220508804	-0.04023972904618819	0.014995177519371022	-0.002852101610152274	-0.039728028171843593	
1772|0	-0.11345848257509206	-0.06820481543933968	-0.004317095001589713	-0.12364423223245588	-0.03420261744708445	0.06585137129577193	0.08743935065194555	0.02864381319077032	0.07841235871292843	-0.021340163144673907	
4845|0	-0.11013853105422784	-0.017166534747763904	-0.025714546960518045	0.03258227989502046	-0.10786220937473631	0.022294959091717005	0.002259432018278042	0.0003085171239320432	0.08592285895453072	-0.03786524379682349	
1850|0	-0.06346652922230436	0.24776508286367832	0.0010460180590359403	-0.0884607831960525	-0.05806877854461771	0.059019795649555104	0.024346828484361708	-0.051694177107024196	-0.012754019599473903	0.005511272797258317	
3424|0	0.033080986894432014	0.06221276792298146	0.06957416654742887	0.021105243614143038	0.014113359881791092	-0.09331081964067758	0.009464794993447677	0.07324814637204498	-0.03426167408349915	-0.09353077926810534	
5144|0	-0.12160292576866862	0.0032434593659077912	-0.07508024312163628	0.11567997001079144	-0.08784890998980398	0.020387590938816945	0.10175180881550981	-0.006782433605481801	0.014364611998629236	0.066510746222543	
1713|0	-0.09484445491991081	0.009116638599528314	-0.007363671648662236	-0.01694305917448108	-0.11629485637024459	0.07011620557806923	0.03468117220787344	-0.04342211604299612	0.042431644431261704	-0.0263923983436813	
3721|0	-0.08683151107206916	0.011772284299835662	0.037609385085946134	-0.007288254032224333	0.0027185897519370616	0.018350446569466244	0.010298059200071197	0.02739599653995528	0.02855967458211338	-0.07193188775198839	
5169|0	-0.097456476846168	-0.03710577908160554	-0.053600460204619824	0.06051106045682927	-0.06914424764701874	0.01043843867288585	0.025853161160982116	-0.028869336405746387	0.003917733401370943	-0.010550656487194384	
1908|0	-0.1381287513252054	-0.029845989637116644	-0.018590954415767007	0.01724620544655822	-0.10902701529538525	0.0957840186149545	-0.10514849304665416	-0.031414251298576515	-0.014777236999098052	-0.0255938164635311	
3559|0	-0.06382388892679747	-0.07919181002063827	0.0691715997926086	0.043766892730633875	-0.08876653623111434	0.05641083507814848	0.09671644255225989	-0.011681149128080439	0.04690872430975013	-0.03930491103693168	
3609|0	-0.14619907640299232	-0.09352565961165168	-0.0819770737757071	-0.0012167359508104495	-0.1729272258302122	0.02829671069973745	0.10534746982442839	-0.11419024776835027	-0.016299497657477412	-0.007079614136585472	
1705|0	-0.14523965411134307	-0.004798828620973225	-0.06668473968468007	-0.10796145448528276	0.027987699093807383	0.008578070597337114	0.08459602522045603	-0.01331465264351081	0.05014876522315699	0.01600444816543769	
4868|0	-0.04177332091193503	0.09803842228189638	0.011863000088475694	0.08958317119132032	-0.035930244591475015	-0.027095008438711463	0.024088386268135763	0.0171266481055353	0.03658060899812865	0.036934190763019306	
4895|0	-0.09030157382208867	-0.10232718842930937	0.015384477784569715	0.029393923234783934	0.06678094321936931	-0.044545535035748283	-0.00014020044231392943	-0.06017202243263754	-0.02277673043184234	-0.03292586867924877	
3137|0	-0.10582922474492715	-0.008879698327531112	0.1469461945436733	-0.18582360797608338	0.1324946905863411	0.004694699710553157	0.06520845682051085	0.16852827306927798	-0.07344399242788972	-0.04842262091590403	
4219|0	-0.06321688852447166	-0.04358584388343303	-0.021843134207038886	-0.0665424760132844	-0.07644875788621208	-0.010369820162642509	-0.10263254225057399	0.021346845374497006	-0.01982219419160177	0.029151186714839808	
2954|0	-0.0710148929552237	0.025395740146741744	-0.0023179311538514677	0.06819821799773718	-0.012062631546563111	-0.0890421316432436	0.04570076522120996	-0.03313040954050791	0.04842827841171791	0.006976346984396867	
4130|0	-0.2013935233672835	-0.052732762248604535	0.02822507702201954	0.1648182157982201	0.20853664609830116	0.05489005601953632	0.00499934924076591	-0.044760019210024996	0.01895304179606014	-0.014240014797658093	
4529|0	-0.04790849109650627	0.035298881283397476	0.028320043683902334	0.05209210974002729	-0.08632151234303255	-0.018876448711580847	-0.09696128686361569	-0.02741282804671022	0.007645502686464435	-0.021060610799664117	
744|0	-0.11064379182545674	-0.10416031090911831	-0.08200444954652493	-0.10873346890376541	0.04213191205084232	0.044537432083163526	0.010211370770455985	0.04783892101218843	-0.06783385107999453	-0.03352224790841264	
4104|0	0.05625048378034915	-0.09279411234516588	-0.023630343806828793	0.1558597493093156	0.07930052363838654	0.07550393313056541	0.0313077124084025	0.07490008822493269	0.017737534421929473	-0.021578204254891153	
3282|0	-0.014610635449694945	0.15459328941736464	-0.09785256877561446	-0.09132355138126085	0.0324535143300689	0.058702901207499915	-0.01749447796389205	0.048974878622403906	0.011562881651499076	-0.0373139097548969	
2384|0	-0.14063168538522472	0.06791457763153048	-0.0366770714978687	-0.028719644391693607	-0.027945337264832972	0.04856125842305918	0.030173352274610286	0.01185077904331468	0.04450451316643578	-0.03949195993349952	
4560|0	-0.04033550160695936	0.04189196613181249	-0.07558795222399797	-0.011875636120113347	-0.06065067467679569	-0.0027156640039669964	-0.0072268727672700015	-0.04494577390568432	0.018740972594188488	-0.04372358720433896	
1113|0	-0.03860389668485737	-0.07841813418356508	-0.04297072205265377	-0.1004465417952628	-0.08015569777343123	0.05631695323097674	-0.05219967499908362	-0.011344553155617675	-0.05199172990276854	-0.019925286516249464	
5066|0	-0.09247706867297509	0.02354177199242238	-0.024708414517215532	0.11652613027432705	-0.10140881570304261	0.049777242359977325	0.001096678962744915	-0.026658335672276327	0.06917244606163728	-0.036113631491753125	
4466|0	-0.08143062311187621	0.06845428633193201	-0.09165876381038322	0.0695930561179503	-0.05414995862598175	-0.03625096780289554	-0.0458635917037568	-0.021409963120466002	0.01758754235685841	-0.03982597868208553	
4507|0	-0.09187906124291331	-0.004452141979067255	0.031047739046668906	-0.06074944007290436	-0.056111164401277905	-0.04005781107686126	-0.026530112728268062	0.049969405693275126	-0.022560208378637772	0.024265646863549893	
2640|0	-0.0633053536896545	-0.0334544800531293	0.030095942816231885	0.02378348366037536	-0.007466671762384531	-0.05099531419709856	0.01396109356651476	0.03971726553353204	0.03119649744475964	0.05497882074794925	
1497|0	-0.03027254248418741	-0.067082864134474	0.17504451007396213	-0.04725968645193276	-0.07069205724575567	0.036233497807332316	0.07206072615625916	0.015730482683706755	0.0610709952128037	0.004478679478833854	
3856|0	-0.09253079279839599	-0.03638577269463846	0.003779374317158836	0.059727625050288655	-0.07318044585759635	-0.033040768351904636	-0.013785919767365273	-0.0554121489428856	0.05303856398393567	-0.028985375900932694	
774|0	-0.10362598900179132	-0.038496294819719314	-0.13935273762902112	-0.03947210598404639	-0.10588235734528419	-0.050977034905743485	-0.009541899180135082	0.05078080770163081	0.12938931718418004	-0.08826384488098483	
1018|0	-0.04371165423721098	-0.02245409951098418	-0.0352005227244677	0.009362348517393232	0.015181852269697503	0.005210535868062632	0.008253429835176442	0.03335007868566618	-0.01271073431970588	0.05503054960025104	
4932|0	-0.12734145029174623	0.008415020343643307	-0.016096678337545186	0.018413085311736972	0.018733432398557702	-0.06833373125583748	-0.040265484089531074	-0.009447998118024948	-0.006548843300379152	-3.089509332553448e-05	
1653|0	-0.1871976816547051	-0.02663361645579831	-0.03301296836795405	-0.029945964170607704	0.02754627869342819	0.0037934939748646705	0.04134559631273586	0.11994255185879639	-0.08264963350142812	0.026889938229965393	
1099|0	-0.03366956821792162	0.1975192278478218	-0.08119383806066273	-0.008855019241998066	-0.08104784825397458	-0.058512284579968696	-0.015460644749638893	-0.02120361997658355	0.046873644130806635	0.008582632478620764	
3414|0	-0.18848542665033013	0.008200641674714855	0.04746012485975619	-0.02817816133380662	0.03603618694193249	-0.05685121428146438	-0.04523471336907355	0.014318999020464627	0.013277286319669117	0.004310506952930645	
4821|0	0.37784139545645856	0.1378348357840792	0.1341918832222495	0.10339260627915861	0.0825534768171104	-0.06272578944558162	0.052807219926767776	-0.0025529670366824225	0.008016869135303303	-0.09940188268318274	
3949|0	-0.10118756483059628	0.0012251796367373504	0.029579660169176906	0.04125589717996287	0.0985992955143925	-0.04150578448757106	-0.014311956082933147	-0.05741438090606142	-0.021687314270600232	0.040850036782048044	
2784|0	-0.03209066700251432	0.15368814162390707	-0.04731547656025077	-0.0649676984298452	0.03884580020243427	-0.04028026586222961	0.008361035868962773	-0.006897023848517687	-0.03656016717206981	-0.0362968600704717	
4476|0	-0.04878618780887125	0.0987779223567065	-0.03148989197695355	-0.04335140776201976	-0.048966926337776086	-0.041342825091913143	0.0379825149157256	-0.006576639526097915	0.01745749138383914	-0.03472858345229989	
5236|0	-0.13055121603400852	-0.03448096023366587	0.03744179823603481	0.06844441723158508	0.030098598259869845	-0.030256367355888436	0.0661332833710726	0.06103950481215025	0.08704880684329622	-0.1098923648230261	
