protein	pc.1	pc.2	pc.3	pc.4	pc.5	pc.6	pc.7	pc.8	pc.9	pc.10	
3053|0	-0.2650957457033241	-0.10714286915202692	0.010483438934392044	0.02918990124860899	-0.068975152212085	-0.2754695974572721	-0.12117770073231014	-0.016569288115310263	-0.2159091101550527	0.03597346660970021	
1822|0	-0.06924830163592038	-0.3507214058445993	0.19364901756616576	0.15063620689854482	-0.14380712036561236	-0.13045032217173252	-0.1694336129137831	-0.15874838628768967	0.16551754188652124	-0.004729131857135234	
1027|0	0.19691092268350988	-0.14299289207019067	-0.05026196143852818	-0.09854607998601184	0.19778588389197524	0.04685857115625523	-0.04484616879816793	0.1217611764386687	0.08147583442978372	-0.060304170504624444	
1311|0	-0.17798640753854997	0.015553663578338555	0.15804877409636878	-0.18155242586144982	0.11058106613769327	0.07942432126900356	-0.17359174942949793	-0.18885623748926547	0.2438251375002726	-0.042948869685322744	
2612|0	-0.21187596009108714	0.04922156572788312	-0.03937944029287514	0.006100551432724605	0.08650795573686068	0.13353551369567151	0.19069499016208835	0.052195892769739946	-0.24328193357886826	0.024732453261388336	
1532|0	-0.04445952017440557	-0.17590399688103184	-0.18238138009044577	-0.3623150173334572	0.20538754163968911	-0.16243437492255325	-0.15196478054435086	0.2615487676046298	-0.14771532028612003	-0.05639083443090534	
2729|0	-0.06137389213626177	0.03123613860312702	0.4564423288810707	-0.30382539434908534	0.014036104055424534	0.3189379985004584	-0.17320228244563513	-0.07603161730106862	-0.028142895472830557	-0.03417381841774421	
3902|0	-0.18481212092837823	-0.20311694261367863	0.1423788574903032	0.07372270050865255	-0.025101203811023893	-0.13282925389728717	-0.29515883166663387	0.08833744406878022	-0.008477633899690687	-0.1717525632912724	
1971|0	-0.153479231347849	-0.2934057833744043	0.008808643926406188	0.049672769879377784	-0.16819967901200517	-0.1736476595197297	-0.017525707880809732	0.1157660890902571	0.13907067838298695	-0.06152972540716973	
2623|0	-0.07579526728042009	-0.06576803696334668	0.3023008793605472	-0.002074058076319013	-0.08587366918705204	0.22737086116328944	-0.18821590144303552	-0.10524193109150853	0.2515015260224893	-0.07128641679420925	
3964|0	0.13317784076331787	0.151100399872989	-0.0018584811069700135	-0.21895146591765127	0.1516694380824118	-0.2983603543546056	-0.11760537711626882	-0.03800467771052316	0.0493445523036394	-0.017687476851061357	
3711|0	-0.04158781062899964	-0.23146737436307493	0.0623442201911969	0.15171274163711676	0.018587388881900903	-0.028383030034721844	-0.014577496015517152	0.24839214130045903	0.08585281191382399	0.02914320381519793	
3039|0	-0.19772808602025224	-0.35088194998406375	0.06852073006329285	0.00824954640565929	0.034980919394973	0.0013228430540548788	0.0599938861559341	0.1252463254224164	-0.05235167722215888	-0.12366046917315107	
4739|0	-0.040418297211444076	-0.05536701376529463	-0.008616880880132538	-0.21326016125154484	-0.02117460726198144	-0.0492942330305744	0.09105961034754574	-0.09788056882448869	-0.298173853010334	0.01064285841088255	
1542|0	-0.03948979794128958	0.16015435592190042	-0.21875350726052503	0.05789501130933792	-0.1919290807894046	-0.037930414207597137	0.21929500947153927	0.1724690749873274	0.10864627829683866	0.35777030016573413	
5267|0	0.01489724277073766	-0.09817570563558829	0.019748158936983864	0.11779384422361357	0.1225403716401377	-0.27034500027335673	0.03339641904977197	-0.14903991095710994	0.0852041007613211	0.2490505101123526	
4824|0	-0.3652170684547236	0.2173290023499797	0.0394465228835874	-0.04539826681016863	-0.046526941311609886	0.4842574931475507	0.024651251307381224	-0.06822053547578696	-0.03978108296863036	0.015786683903474246	
1381|0	-0.2745187560664119	0.2035578768268298	0.2614979760757347	-0.15766044422993725	-0.1410725041253863	0.024312464208244688	0.11680034010136037	0.044160212542289454	-0.23622705333837993	-0.15017029482445943	
1141|0	0.03585367435379265	-0.31272612677417266	-0.17085460443312975	0.017710182041431613	-0.6083296961671122	0.018537507713665254	-0.11461990401238159	0.17981331172896498	0.187298771650843	-0.16247123915326495	
2076|0	-0.18835097914545793	-0.1371875208253594	0.03566399743250055	-0.2423472819333953	-0.016245571892209834	-0.2700515168142992	-0.015635999627754617	-0.05880637160362341	0.16159661060685268	0.13782116370312122	
1080|0	-0.07855234956083183	0.09066188668718474	0.23331965459173537	0.007316462603828662	-0.12141438847781666	-0.23675898448140711	0.0531924620357515	0.005618743149355695	-0.04407095944534223	0.022231222619269624	
909|0	-0.16350102373480688	0.18364304523888417	0.361027642988004	-0.17204905333259243	0.052759070364180434	-0.029949538147183367	-0.2257682209453814	0.003413875504418442	0.021713236293510196	-0.09842297294390952	
3307|0	0.10485237902606188	-0.23357787326189883	0.02521996686375958	0.0929068301396381	-0.40410100924518044	-0.1866227914231299	-0.18559303025901763	-0.0246180414175459	0.29941821509313493	-0.11147485630173916	
952|0	-0.32501438700384716	0.055602681391614533	0.2844395100302864	-0.1291451180325106	0.003958977911687158	-0.02122445652075363	0.2997329082002532	-0.0814430707806132	0.07242550479916869	-0.2608410697387657	
2968|0	0.10237465109002078	-0.2897363325550524	-0.11044489522645828	0.02717076356695559	0.1471527603765475	0.11128250628691856	-0.025699516584289237	0.011731321209329407	-0.15295169771456107	0.05348152879409668	
4834|0	-0.18455867759698277	0.10836547026839076	0.1502829797381951	-0.16042040780924466	0.029438700553384264	0.09739066733015397	0.08762923187905394	-0.16162744108325186	0.03874071007440241	-0.15697570424722596	
977|0	-0.18500027647579614	-0.22443983717433522	-0.07202445972181146	0.03338790855042005	0.23966099289993062	0.07978824892485845	-0.1762120417597439	-0.11782601042510436	0.01857965710886772	-0.10391253236881245	
3326|0	0.027313874174237456	-0.09753896361707623	0.09376911282041529	-0.04136732980841309	0.2594007290143301	0.1043988296315272	-0.21047018960080394	0.11598505682544367	0.12690950226853337	0.277274044018844	
1749|0	-0.3881005177713584	0.07129689648392823	0.19987021393358617	0.15294218020385575	0.06130139398935122	-0.13124654545598774	-0.16983336279917072	0.10441793407934767	-0.07602229766473839	0.09856362513278377	
3822|0	-0.3242603851611841	0.14339449894716802	0.3244085193345584	-0.09478090208718006	0.1114066167602746	0.11900872662445271	-0.04038493951979831	-0.27348378205454715	0.14140637054489155	0.006258984798971586	
1230|0	-0.2699792530623652	-0.12821325692002847	0.37804293641460684	0.0089010060754243	0.13787147252090484	-0.027337939286433122	0.007449518650558021	-0.040029988602522985	-0.15463860121186224	-0.045646672158385734	
2799|0	-0.2585753156954166	-0.09940510448083492	0.3647224711274545	0.19869552309614688	0.15732406181459146	0.08279360351428154	0.028298289796784584	0.008604527862699348	-0.042922895013836566	-0.10397836468443518	
2210|0	-0.41036468330327897	0.10226304039187174	0.16063858758813487	-0.028461534241396663	-0.045754491013583067	-0.12792876994034846	-0.18275308319451403	0.13231476357029445	-0.15729822916881533	-0.05161156825499105	
5043|0	-0.21455755995574344	-0.36330695651461353	0.15224260734413195	-0.09529723086079743	0.004326562576813744	0.16363512264127214	0.07153239972405513	0.15761162482049945	0.05282884757605269	0.09920558723361646	
2649|0	-0.10472536601288951	0.17076696697978877	0.22774698588429262	-0.15933556714365776	-0.13043636994322091	-0.11398305705086642	0.01992322336300117	-0.01308595707326209	-0.069406189370092	0.27177470743055737	
2736|0	-0.47429151247145745	0.24455229380682456	-0.21489323178742134	0.35654945424117934	-0.07880990119055727	0.34946174997925006	0.31527335635936293	-0.008467921768525122	0.045315258371793045	0.3502430228841475	
3742|0	-0.29717639974236754	0.3802103378672742	-0.04927925958505991	-0.16136155442162822	-0.06980749624197721	0.006232348734643072	-0.14528184349711826	-0.1493317597633004	-0.0508163423179673	0.15661302578121353	
1815|0	-0.33497736185105415	0.43909088146427205	0.08336032785787816	0.29608946229075167	0.18925596919961898	-0.013511480329381759	-0.07537994002834558	-0.07467551120088488	0.3479007528915536	-0.26123215265022887	
4203|0	-0.4970579917292559	0.15590699078866893	0.0935987084741177	0.015597266720381182	0.0871799812342348	-0.22561585006139548	0.03309774577770068	0.3072888760866453	-0.12500138763132426	0.00813299836043711	
1386|0	-0.025474700015202027	0.1297474709758803	0.0827388030336928	-0.08152670162699192	0.07991997675239072	-0.06784543784365428	0.32505559809762613	0.021592772590763365	0.18694621658372784	0.19256106471957724	
4722|0	-0.1291718028641745	-0.2187919255086606	0.19502320742559284	-0.027286379610075705	-0.0026967850284292435	0.012596792199026523	0.28613496672436967	-0.15890843776328775	-0.14575902971462987	-0.20856148489683757	
5028|0	0.43288535959666846	0.08623735295669087	-0.07474731187099924	0.13834082556389046	0.35415949317705486	-0.02110635237036563	0.06362861661333837	0.20826848826078284	-0.1599431057077888	-0.04658868884670931	
1083|0	-0.15124604313223658	-0.29005461837219054	0.031150846052835225	-0.04013320609058345	0.05744211919423493	0.036602208731858994	0.047415700966982506	0.20191821377507263	-0.017729897654964626	-0.06147371146402468	
4073|0	-0.3612203242650192	0.08259894641474581	0.1691237322696593	-0.12436011896327726	-0.002977858486081893	-0.14843668968544158	-0.018904757538634687	-0.04406865638719339	0.12485346865602961	-0.13208116136603232	
