protein	pc.1	pc.2	pc.3	pc.4	pc.5	pc.6	pc.7	pc.8	pc.9	pc.10	
3053|0	0.46613140012893534	-0.4380533599215025	-0.06740803669710567	0.07618934263992015	0.19171584929933733	-0.15751685567617119	-0.1918263619043245	0.17095687653784997	0.2517368357368538	-0.12250454042614359	
1822|0	0.03686658947527287	-0.6132983320041249	0.5305906959868935	0.4384932592695513	0.0184955309530349	-0.24407526368258317	-0.3577840234931623	0.5595753087013824	0.1912035220122483	-0.3672140857686662	
1027|0	0.007517105539862273	-0.4610684584780223	-0.2599430465802949	-0.3419390977020092	-0.5174422408838327	0.246780020796555	0.007461797456115645	-0.7827039988649889	0.141286769871601	-0.14519980938939606	
1311|0	0.17444868090956903	-0.365516956599514	-0.06744501842381509	0.11705765147626179	-0.2950227159943789	0.0052238585480445885	0.01626642241321112	0.3886478653719851	-0.43974552847870857	0.24368425763047213	
2612|0	0.35953052342397246	-0.3498400803712529	-0.09334693097519069	0.2620735686354935	0.4064685275644108	0.1254277804393746	-0.04744842088208593	0.2794699772022427	-0.00829372396115289	0.2842269528857883	
1532|0	0.23159581836287504	-0.7405624022388824	0.00573103429793051	0.8646901691087208	0.47212752984127876	0.1290538800783756	-0.48656380591286247	-0.05832817552917987	0.802954545155899	-0.6188399876075453	
2729|0	-0.02879494025455271	-0.566089455123003	-0.7499604973475665	-0.6631345702512138	-0.18550238812713732	-0.10377285845127432	-0.5990637827073889	-0.2399284121252462	0.08375254756385973	0.5609952919769112	
3902|0	0.32336286795616026	-0.5020666755147754	0.046724256867599005	0.3893272971550448	-0.3264064185287391	0.44671701241612655	-0.36667068622868354	-0.5633795506745246	0.6391723308037631	0.010875370905424618	
1971|0	0.3526905101069337	-0.3514084741052316	0.12854863356119028	0.47226188275853914	-0.049144466356550565	-0.3611395335053471	0.13434553617618425	-0.396530463914108	0.08144867893363604	0.45185315900071815	
2623|0	-0.1537947023640933	-0.2325697152089328	0.20819097158605582	-0.1283552235343732	-0.2700678054391454	0.3109923331768335	0.04097292469448186	-0.19046562744009005	0.27258184733438057	-0.1449528245071771	
3964|0	0.008386040372729522	-0.2257443172868359	-0.07938517890837876	0.08914471519812026	-0.09289782491839095	-0.15706763144258426	-0.4186585686920583	0.143671852164378	-0.14265845641732827	-0.5588814223192485	
3711|0	0.24683612120441084	-0.5011349800167609	-0.3310262969139983	-0.5255472008810083	-0.18875838076238793	-0.06229482721102828	0.3910585360164769	-0.47473873793518184	-0.22967821768464664	0.09607013254970653	
3039|0	0.2955044996595095	-0.4502059409120108	-0.36774652688997284	-0.10653354015328952	-0.3341067590989271	0.005073899452040225	0.23094592979748182	-0.579759424179359	0.3706026916050708	-0.2151043726072865	
4739|0	0.025271544129661584	-0.3040141979351087	-0.41680133206743264	0.15933143759374274	0.12418344499463926	-0.12679824864621575	-0.3715210124851521	0.19075097370978747	0.5157417215313299	0.19393463864785623	
1542|0	0.09486270711788132	-0.014003518030423493	0.20815780519376745	0.345774267825699	0.06591976638592917	-0.12747451580323918	0.49122558973830255	0.23033664648198401	-0.17166215922048794	0.37830519906219046	
5267|0	0.40096587890808644	-0.6848147081676252	0.056691175143165545	-0.17808053723224723	0.07222575001006536	-0.42950655382797664	-0.10372463896541737	-0.0033621212360228346	-0.40109801285745	-0.4446640562403594	
4824|0	0.38934676888709946	-0.3178971391871268	-0.22189816124088496	-0.3361691978358617	-0.1454855213185586	-0.2979369363972535	0.03973488242831689	0.006347682125293052	0.007337037812224914	0.7042415216020058	
1381|0	0.27285238800801326	-0.5994467527955192	-0.37348377037539565	0.004097487590157493	0.024680606290542608	-0.20180375251500227	-0.3950320740060949	-0.32728879750177015	0.24207001693830238	0.5908168859227007	
1141|0	-0.7057512991133033	0.30573446221633793	0.045986730051852644	0.6342595184829636	0.5253083475054215	0.3366250401305176	0.17716905313653383	-0.5026830878370226	0.37292972528552326	0.5163818042396522	
2076|0	0.21658088153112937	-0.40684523052287386	-0.057202022782401135	-0.023219488295549134	-0.06432434876490518	-0.672646148832295	-0.20450587331677703	-0.40129945045075993	-0.03393087555744908	-0.02397551785734192	
1080|0	0.11130175739028443	-0.4855032956698042	-0.15269754162758445	-0.02492128095762251	-0.24182453473896495	-0.23304625980935081	-0.23640645884085745	-0.17012523508256405	0.22848881859849546	0.0897381999336951	
909|0	0.0918109221944624	-0.5861268647571388	0.04459395724966985	0.08792830545550043	-0.033508256386326096	-0.18696868996396795	-0.21866759815315426	-0.17041088148233693	0.1093680526514225	-0.16328000104779516	
3307|0	-0.8868815187703861	0.4660100128430578	-0.029629917664661012	0.4543384147102053	-0.15370072981738023	-0.6042368768648143	0.39718522316995225	-0.26628087744562196	0.14409128094648507	-0.4480166930727456	
952|0	0.1853726377461541	-0.3328699273453369	-0.1273537686121496	-0.10980041648016949	-0.3855359512108709	-0.3702522537340773	-0.2510243760115109	-0.19202223016307787	-0.20847043425731715	0.055414344785502695	
2968|0	0.9073369088322067	0.277520641661035	-0.20810240572527167	-0.7507259322693073	0.8000934522564197	-0.7096447592603766	0.7140276808499608	-0.015229529659975772	-0.1410944246733792	-0.374639611705254	
4834|0	0.16590745575037577	-0.5673244612844548	-0.5271707894415263	-0.4426314681915291	-0.2914697150939265	-0.1415431754603281	-0.43738113491427255	-0.07719248145297972	0.09210493393947221	0.28466936484437516	
977|0	1.1871396025936496	0.6530356472113281	0.0028420973751587986	-0.4425476605588362	-0.4639150133430741	0.35428415625879695	-0.2504295711838274	-0.2735087580702568	-0.07970576393687866	-0.13566670900816208	
3326|0	-0.13789445382596607	-0.3369265435310601	0.6414322057529342	-0.3232502230575821	-0.10883869379527769	-0.45303591532375004	0.37445420835886806	0.2666767202145379	0.07714006437134516	0.08133383953661957	
1749|0	0.5603415127499086	-0.45816677216178026	-0.15840703705680503	-0.21133936147183333	0.028070812737620566	-0.45667773450048943	-0.028827315410480538	-0.1859209305296187	0.12014811260145665	-0.25820675673843013	
3822|0	0.21917618498191224	-0.5815872181003261	-0.01640394307819263	-0.20914858337373923	-0.4440776337466969	-0.204289832951637	-0.4009256619781558	0.023602722404536338	0.11870166365303884	0.2662509080817715	
1230|0	0.4728323496476571	-0.7318357374140912	-0.3245290695168864	-0.34474433262917137	-0.21092263723158614	-0.026793132711892972	-0.31530379436247163	-0.2515496629516978	-0.03736596104692126	-0.2373051230142795	
