protein	pc.1	pc.2	pc.3	pc.4	pc.5	pc.6	pc.7	pc.8	pc.9	pc.10	
1182|0	-0.8758597787389263	0.7674140999870173	0.22538234196591017	0.16602960740178024	-0.055430278624329074	-0.1250085565254805	-0.6259922802958365	0.2160672709659238	0.16829470361779467	0.22235514141397175	
2807|0	-0.9112984432647038	1.7213333087496625	-0.16753237828168288	0.22795771074660937	0.15422416429157873	0.9288271910492633	1.3421644606956626	1.7964795082143121	-0.7670313441779966	-0.1655806281182437	
5281|0	-1.4035874520636427	0.4627885213027745	0.09124645148960912	0.03897289838888804	-0.13481952486302787	-0.4592148757003954	-0.35231785737723925	-0.39465594193344405	-0.14132758850580276	0.18743646923918175	
3989|0	-1.1685830395206263	0.902773249327343	0.1395036859301612	1.2794857896724392	1.1169644674464483	0.6029072798937952	0.550992723231817	0.0072460413022628605	0.02565016186224113	0.41947215676715843	
1255|0	0.2529229603137144	-1.1168885943618254	-0.24692890518514593	0.8128391427797923	-0.40535825445218926	-0.29831807103323477	0.013557980260074563	0.08586432736524902	0.7351639226914728	0.7832596526129313	
2810|0	-1.0844569927513468	0.9034430882647471	-0.5262679049900881	1.059403361674617	1.1858372334299532	0.19669665433539582	1.6577358830157616	0.9935513007693925	-0.2706234524060748	-0.45807160118140894	
3936|0	-0.5883167262614335	0.4103332404535622	-0.5085084946039369	0.3027402233114844	0.5879364276558959	-0.00030638463822967325	-0.44536799389670956	-0.04693991042461135	-0.02375046256228415	0.13849641286006778	
882|0	2.241305802613717	0.4223591573688612	0.5264197810712693	0.2751351714018777	-0.6443010649438193	-0.7487511559945221	0.09010959386890383	-1.2649006068217954	0.4057930284467656	0.21210096676174525	
3176|0	-0.9942799906268108	-0.11510355360776248	1.573748763541791	0.07232302013869796	0.3821808652820179	1.627870083613938	0.19647118569317493	-0.5150249553643234	1.098102104508211	0.4899233658004898	
899|0	-1.7696444063916419	-0.12975054325913296	0.9139365024429104	0.483279960611429	0.07269606168421965	0.026916883320362645	0.32053029390487725	-0.10222229211648885	0.8236821189281439	0.3249809793248453	
3920|0	-1.421537014563774	0.4368424097568769	0.8822720231152333	-0.3359305999646533	-1.330420870200404	0.20516699373728614	-0.1838160309982813	0.1530491638326014	0.008579164902202664	-0.033820382821150484	
2009|0	1.1377430327893545	0.5075389251539165	1.3528699100547916	0.042866391866896086	0.9449999688121086	1.17715701150049	-0.5932239873558722	-1.407471421618266	0.248772098163504	-0.5740011050951845	
5129|0	-1.4816819783006288	1.0006246950760318	-0.7198697356047862	1.0369292776802717	-0.9582840360965815	0.22788076784869712	0.8292769397694941	0.6525209267915287	0.04940444791263167	-0.170263359793664	
4428|0	0.10664705547274694	0.7619511827334028	0.6787250495103535	-0.22710967336918178	1.758022683735831	-0.30795451016821296	0.6655513649708579	0.1502979496639846	-0.5532980877257766	-0.4538791598104849	
1764|0	-1.183749382857264	1.016502848539775	0.7062966719821585	-0.634465309283967	-0.8476206113067175	0.5437356950764315	-0.02698060819977988	0.026177055430973716	-0.13553269949702335	0.1429599510410973	
4231|0	-1.3203395132878322	-0.37100427114079143	-0.4595707700897747	0.5536498151793766	0.1693028146540158	0.34433721528829436	-0.7709847740361586	-0.5354962516133972	-0.5911243425431907	0.11477945720944327	
4581|0	-1.4050660395543029	0.758675856138418	0.13272156063990537	0.22573643579522712	0.06953020875927649	-0.3061530923379288	-0.2500562689751822	-0.15468172744921907	-0.5549784194279245	0.331252139121861	
3543|0	-0.5860252597657885	-0.3345393730157841	0.4842435411675997	-0.6830342328667408	-0.6488721870663592	-2.815832584948348e-05	0.02268584434683928	0.8557548800478626	-0.38294695043801136	0.07981163884738038	
2318|0	-0.7107989311653208	-0.10501359724059617	-0.12264478161075848	0.7557449323614863	-0.030007000285361313	-0.5811095243719203	-0.3628309220560501	0.2546351981978057	-0.12539275642954534	0.06777804313118961	
5100|0	3.336300684643163	-1.549276179237354	-0.17216762982355452	-0.02515183189941313	-0.17988252383403847	0.494459933476423	0.49989621813926266	-0.29657183910407425	-0.428015696702471	1.013288452640472	
5299|0	-0.46737249189361463	-0.7388587746088975	-0.10834705231296195	-0.5407324219242104	0.9007620298033612	-0.8812411558097806	0.27884081439196307	0.46321068836887047	-0.3578999202177266	0.20854087465578477	
826|0	-0.8196699940655973	-0.1950347560314781	0.030250773209915056	0.37791142601190597	0.6836877890659225	-0.9430083515483113	-0.43628044319083037	-0.4870866882320704	-0.1628477265955626	0.28332723798144055	
961|0	-1.526654070533204	-0.010974584167865481	1.4770106769139797	0.07927188221453485	-0.047292988985515705	-0.0734949170654183	0.4753752109443399	-0.03548470606924166	-0.21316652609544773	-0.35801409515132776	
1879|0	0.49379959101464244	-1.7773505303094155	-0.4254426110713284	1.0308966109654565	-0.16843441455746166	1.0200878386921635	-0.05366274765678676	-0.7402930410365574	-0.3022440911984949	-0.00716308623975105	
