protein	pc.1	pc.2	pc.3	pc.4	pc.5	pc.6	pc.7	pc.8	pc.9	pc.10	
3053|0	-0.5125386612849664	-0.05383866405393502	-0.014081716303736301	0.5467779650537724	-0.5930013446920064	0.21812054553900054	0.2677143839080457	0.031761816092834426	0.04084161094434496	0.165913127601073	
1822|0	-0.4218621623652865	0.8513369428586497	-0.2277141561232529	0.21059044769848123	-0.10206321834238047	0.3565182134802365	-0.2458387002644873	0.7296396137786129	0.3738766687662738	-0.23786282207186216	
1027|0	0.2551576568091041	0.20420101211428182	-0.34358833888876694	0.2901633986427214	-0.09027802648990799	-0.09009857131860234	-0.08767466074356006	0.5537250360123169	0.2392569801260096	0.3742563329927143	
1311|0	-0.24633615780905235	-0.1809359697361222	-0.14863629038699053	-0.08600893819085849	0.25899838025750865	0.27361216773698943	-0.1533536932617421	-0.010979700852325571	-0.29297169131938294	0.21993325646374548	
2612|0	-0.28349977911381863	0.6986557476570089	0.31667914548083453	-0.12705447405867565	0.016210842721941423	-0.26739694473564	-0.15408110602435726	-0.08859263871000882	0.013968515276195989	-0.19810346632271952	
1532|0	0.06981677731061307	-0.036471344158055	-0.1991006508353688	-0.36466659763843084	-0.13386845774249237	-0.05068483304860526	-0.300789167694333	-0.5898418490394005	-0.1999630001356749	0.24623309247302566	
2729|0	-0.1396311976334229	-0.37982624172419094	0.12554553576589453	-0.15407299218587683	0.0703582915623541	-0.3740920407696188	0.05927512210097719	-0.08319302309879162	0.19906055511429102	0.2554444075057279	
3902|0	-0.36434354360653454	0.23453075504353948	0.2167002298494032	0.16223351775291403	-0.193107660992161	-0.23715607528176785	0.0591081850378822	-0.3737893181452727	0.07252950497702662	-0.231796909401168	
1971|0	-0.3834918927752854	-0.413759349887598	-0.08355113279237947	-0.36645605707624984	0.1303155252785241	0.1428144186039879	-0.35404530363581566	-0.2235865028321746	0.2596445605743952	0.14091108176691097	
2623|0	-0.32773307578692135	0.01937524373373767	0.03661881964553699	0.0015368082324368575	-0.041741017506145964	-0.10717785659323215	-0.27207033034746375	0.17168477395001946	-0.13014434015235546	0.08583094780654908	
3964|0	0.26155850722634977	-0.052208281287895626	-0.13945177701868705	-0.3494277618269646	0.2173435362292058	0.3188806174131603	0.11574555140656942	0.09496251680345147	0.028555421328065687	-0.0492180279815371	
3711|0	-0.2046461723024168	0.2600694957013618	-0.9522817856415946	-0.7549669393756168	-0.37754291154217345	0.19277053330262245	0.6101712942187818	-0.49160832580464475	0.37546335037651	-0.444132010966162	
3039|0	-0.35249779450094537	-0.4034854901040941	-0.23075062553830264	-0.027238995147403935	-0.6722394801662913	0.527042037869288	0.40519615760801436	0.6236777020929231	-0.16071287536230972	-0.3503020832274052	
4739|0	-0.04898115698120559	0.02036991099302018	-0.08188736779489036	0.20818456752622216	-0.25311406827236355	0.03505323303739373	0.07846582240380645	0.1201394400616393	0.07065884005671826	0.5745527755365583	
1542|0	-0.022189358587991752	-0.2650758829153612	-0.18023556638095933	-0.42486330404558637	0.054496574551372634	0.25590422731493984	0.26802001409167897	-0.0157686883951887	0.14547084376263084	0.10026129524437997	
5267|0	0.2342875361857797	0.6791931848839319	-0.6244048754555966	0.24413758076718353	-0.2479849782072355	-0.2675194424981209	-0.13097306233663453	0.024231991623810175	-0.07587703455446919	-0.1371853359702067	
4824|0	-0.1678168994182599	-0.31173265151983803	0.23897365322097985	0.09024345569162681	-0.2624252248928442	-0.1028054708888425	0.06464493650353435	-0.20951755870028493	-0.07192450743125983	0.23973464517006052	
1381|0	-0.23520758427776034	0.13742717091669396	-0.08916392186952828	0.026567150184560104	-0.01685024501800663	-0.027057596041148525	-0.007740805387107116	0.09177568694516379	-0.15783593303585916	0.047506668469549505	
1141|0	-0.5154953588605211	0.33407545029560193	0.9416196831189729	0.39769925972936887	-0.6317909346539705	0.9640613433256779	0.04408828774328059	0.6002831706212846	0.024427551311227102	0.06142180319633089	
2076|0	-0.4603364486159103	0.546147017308253	0.2089356893720847	0.18137256536203422	-0.30102820776741784	-0.10945341926753271	-0.45821002115876874	-0.4433586968547315	0.0910291871057522	-0.34123265796134594	
1080|0	-0.2283893751805046	-0.1344744910723856	-0.14964560398315815	0.3375725122569649	-0.04492749622882684	0.15857943825650442	0.05227916961887143	-0.03878043702406708	-0.07649121401958751	-0.2649095125012377	
909|0	-0.48370590887780934	0.613542882941231	0.49406721920925806	0.006461206295405882	0.06250802299772767	0.05083935352295566	-0.08299682563528907	0.11000809561360324	-0.026724736861449105	-0.06481400399375985	
3307|0	-0.12853279719600053	-0.6575340174447661	0.23459556153522051	-0.7583696143562891	0.14862134191973336	0.10562906427761504	-0.5385399269918238	0.4085295393703987	-0.24272201462634216	-0.15872027087840201	
952|0	-0.3022345287371623	-0.0490573961827899	-0.18469477815795385	-0.07689963309731797	-0.036139915918004174	-0.049859335390737884	0.1707787330238735	0.10970131476799751	-0.1674530350658431	0.013138871119481914	
2968|0	-0.05472780522379598	-0.6187043696326703	0.5147126935078691	0.10028091255873639	0.28683632675303944	-0.180665779881992	0.5737834538711829	-0.24694818680995528	0.6349092149105223	-0.06952317243301938	
4834|0	-0.15235665545380828	-0.07962126944731089	-0.12405200546147814	0.4218730600158288	-0.09321224000390307	-0.044678762254857014	-0.02739815054360087	0.16848275394059192	0.0651629589756481	0.032998906455763505	
977|0	-0.25246483924089985	-0.056095162813312185	-0.12344195426157763	-0.20207015998462793	-0.06853806359963574	0.024614843724166276	0.08681129069845997	0.3939638278659687	-0.5706055389207051	0.0018374038442906227	
3326|0	0.19394200859503313	0.251052165940365	0.26450182093771385	0.07415556945100317	-0.009496304968417205	-0.1907623995064578	-0.08108821777739872	-0.12263489330684836	-0.0007311977588701855	0.08604099902781483	
1749|0	-0.1577036805887786	-0.24063312584411078	-0.2880488088013671	0.12453001238399242	0.3040386492775128	0.0929227650748982	-0.21044842001187858	-0.03609218998355349	0.07347368005529528	-0.10472089332911812	
3822|0	-0.47771303773354523	-0.06475001767031868	-0.28491693612515506	-0.18366378269783928	-0.09043089917572335	-0.4287723484916612	0.11777831535990525	0.10741834384094454	-0.035220015638909974	0.02068668645944121	
1230|0	-0.1871947125822776	0.19417676935746173	0.030017725874162886	0.18926122143670612	0.036668051717677626	-0.1321944494821296	0.2096260165205927	0.34688111539479893	-0.06657521616401185	0.05077494678164954	
2799|0	-0.4892578054852773	0.16590222069437055	-0.29331244809463053	0.054874207579305445	-0.07438585671134205	-0.36793158635340106	-0.07758815216187172	-0.24670127782905651	0.325811889727456	-0.19052087811053997	
2210|0	-0.3595673426737183	0.08675281321296442	0.2617465030396601	0.1934516040988337	-0.08154265469457955	-0.33679282402256006	-0.002176233703720568	0.32829245717749317	-0.09654890986990608	0.021593818526395223	
5043|0	-0.39079652245235347	-0.13433924801900532	-0.036949695247565334	0.016514971036238068	-0.24843608790331298	-0.130305101647814	0.16866252290887346	-0.33898927933979106	0.01119686245706469	0.07207787959228826	
2649|0	-0.09789576171195252	-0.044688701694869506	-0.05970616768803364	-0.10915389669181111	0.20032063008087042	-0.08073173895377848	-0.3232179484195149	-0.04492830502323126	-0.09506327163486115	-0.058428511673513615	
2736|0	-0.22927283169984333	-0.29121925952261246	0.12699877320050315	0.022914589907979677	0.09199612189652746	0.06584623057848352	-0.0751888781765158	-0.2046673361045988	0.06599859219842742	0.07014982159830471	
3742|0	-0.18123418227741905	-0.08884768023602384	-0.09297012699750491	0.11272319632461905	-0.01310694709499228	-0.32397933751346136	0.1799518305117568	0.07996762861603256	0.03240244883055219	0.08114543202171419	
1815|0	-0.05535500229011427	-0.0020304615370430254	-0.14407404594667567	0.12102708286559948	0.35798475080451414	0.14761035751076756	-0.03842216089534139	0.09696284793457102	0.15007904973006872	-0.2294995728889186	
4203|0	-0.22126592061776845	0.06547167818164705	-0.08051493395517226	0.06450630203572127	-0.13642359514331692	-0.013072223426354371	-0.0671628205425414	0.04014066183925988	-0.09251690731527183	0.23236078988093886	
1386|0	-0.04122384484939435	-0.009478694921467627	0.15495543537069864	0.1813962030209214	0.17319574161692697	-0.19812911233393615	-0.263456350390945	0.14686257010219023	0.21571251059306742	-0.003466884247045245	
4722|0	-0.2222231068050022	-0.1886763328309618	-0.06749436823993503	-0.04747669349885047	0.5952043438700894	0.17004571412010877	0.11000045336375602	0.19938593323149548	-0.24272866594866668	0.0018856123812537322	
5028|0	0.5261682517513252	0.4696445272339197	-0.054761144922383556	-0.10668702120478817	-0.33490947419343275	0.07214339410921489	-0.09390079716283328	-0.059809581905169974	0.11307049694853474	0.09646803423611579	
1083|0	-0.4657462099567992	-0.3486175204142986	0.07772623022569114	0.0037595317696382815	-0.09416122602057098	0.35303689019397994	0.14814964443018785	-0.3052955144120255	-0.07612377429677845	0.06727194453692616	
4073|0	-0.24262505553496258	-0.05090917514089576	0.09538561074818262	-0.15574177418482926	-0.02402004741916533	0.17708331480000827	-0.008570868458801641	-0.14331682509288454	0.08333245087726845	0.046419643593573666	
4993|0	-0.3816643093587287	-0.018679227639259926	0.1755572851842678	0.48401199854409616	-0.07160959639456357	-0.006024047516536936	0.05187010248046008	-0.05648951436334695	-0.08321998880492978	-0.0005422603266338802	
4030|0	-0.4554328012410131	0.3305777194762787	-0.16623620220057495	0.3231542282331383	-0.25625427147535407	-0.08610253638975192	-0.07258698961796385	-0.31939668728373827	0.30633242781340697	0.4112612829279555	
4382|0	0.11252794936496319	-0.30514960240448685	0.2004746977542885	-0.1380623102126799	0.2785821688674893	-0.11185822327025571	-0.05159246369995259	-0.3146154577212018	0.14508000409192223	-0.10738248846425556	
4410|0	-0.34632562475199635	-0.14171727282777416	-0.06267624852113893	-0.08804208009849329	-0.11983336249866341	-0.2230447582081263	0.1395365252481186	0.43358037113070036	-0.2725819106798113	0.07961614969012146	
2698|0	-0.28442059332883524	0.04735478552964082	-0.04314694043318124	0.16599817126626198	-0.2269162299496192	0.5424356852394893	-0.1057063872240505	0.16558893660111906	-0.43705817186591583	-0.024443073235228072	
886|0	-0.2753152729519559	-0.07262358772559713	0.27531543139160986	-0.3907433149683142	0.01694968240258164	0.14204197888835457	-0.09465773168309992	-0.024366056627278213	0.11350441128394596	0.03705260435700116	
3484|0	-0.5361166511868359	-0.287701819190164	0.15751938082411984	0.3195582191686272	-0.31833389564996606	0.11959958870129812	0.11915817341224026	-0.06861812728828748	0.10553596032492753	0.2045935895740415	
2107|0	0.20517172077102674	0.004360324414445965	-0.4113712553967406	0.2761813449492756	0.1403182213375945	-0.029273370082605808	-0.22995981305348792	-0.26198308568038753	0.23745880536276856	-0.1008054625085605	
3972|0	-0.3089943195000178	-0.1109961555383541	-0.26095642385521395	-0.1195717709298271	-0.03254072034029975	-0.3373585815673825	-0.28424753341074355	-0.050935356029287684	-0.05315986316951558	0.08617714831952865	
1636|0	-0.11710223605098548	-0.18358976527183896	-0.33657272136417704	0.014762173873564608	0.1364353314749235	-0.2583166948363165	-0.24584780624248528	0.2657799325193296	0.19947564729461648	0.43354518972518047	
2463|0	-0.3402734575789243	0.11431893283157579	0.09724803109673366	0.04105335954449853	-0.4225658339069317	0.31981641790910553	-0.10982248060460918	-0.09548425266813085	-0.26625918743570887	0.2886791121601878	
842|0	-0.3220204625833603	-0.03723096324491689	-0.2216192413548417	0.29735565165853733	-0.38141864127606645	-0.13178559081549318	-0.055631961404795566	0.1231072072446127	0.27793187820826687	0.059923872819751756	
3809|0	-0.43351485221447233	0.6523941518888875	0.07951967366414243	0.028897733002471074	-0.052292546089823824	-0.27955609499896994	-0.07793084959235995	0.05281288300167277	0.021456622836588203	-0.28907017067340024	
3746|0	-0.2680616263613053	0.11239143722014046	-0.09853505747059246	0.0017818673479587206	-0.19272874350798683	0.08283611479923493	-0.09307155792042315	-0.20364693693751562	-0.024585418814486244	0.04040034438597032	
