protein	pc.1	pc.2	pc.3	pc.4	pc.5	pc.6	pc.7	pc.8	pc.9	pc.10	
1775|0	0.1738192922693932	-0.43665274969115514	-0.07958368429478624	0.3997143925290207	-0.12097162753652413	-0.16636425080642553	-0.023660578100011938	-0.0023179602460182106	-0.008979649313945626	0.13125212160928681	
1030|0	0.5547688052232513	-0.32442239208206997	0.3097154978431203	0.5105633006314398	-0.1479563586940678	-0.3344346366549038	-0.05847838269358684	-0.39032113711070254	0.39703738365518265	-0.46858581553984247	
5115|0	0.33596032028012407	-0.10418647196964738	0.10152480131752051	-0.5822623673165694	-0.1707029969398544	-0.21266121294337353	0.2104718075684242	-0.009628916884361339	0.030726527511440078	-0.17632110622977373	
2194|0	0.14178719954057406	0.30755273393233484	0.16229153658418757	0.14591703846857443	0.19507215819721363	0.1767016644671888	-0.19217376643837344	0.0199457988398282	-0.18683013759631928	0.14368113674866698	
2160|0	0.17564355888915623	0.2703736538003055	-0.08993195827818701	0.02727542454715706	-0.230005137226282	0.016531240928358237	-0.2827017978617334	0.12247165477974521	0.03963132702960891	-0.020001214059106952	
4034|0	-0.16513588602739976	-0.1877663712566587	0.05822406702562848	0.15376749723514158	0.033885199212973775	-0.051833013635549666	0.010050491175412254	0.10253053361168425	0.09005725675211593	0.09718204600711228	
1077|0	-0.005199106961726757	0.22195918789769706	0.3636267469132563	0.14204665671584285	0.10167072214095765	-0.12984631504069785	-0.08818221972840574	0.06506257233481973	0.13272600688392633	0.14675423665195625	
4100|0	0.13315269429162482	0.2908046673265342	0.3215062655600988	-0.07311894410579964	-0.10367327241913196	-0.21127383227514107	0.10937686310557362	0.1591546062983145	0.22809746862928143	0.16629905134777295	
2006|0	-0.13950361840003112	0.20705839312846097	0.024082634091245603	-0.016768160841027547	0.08679416790335166	-0.10377905784632721	-0.14120094963360574	0.024938398555760903	0.20506006578731284	-0.02891701251122971	
1401|0	0.1725506267140595	-0.33619946598931255	-0.16614061628714066	-0.12662638508418259	0.003165602538072725	-0.1033816733370912	0.03306930502594511	-0.0177246592898913	0.032499730532104615	0.07082979738765374	
4578|0	-0.06922304633451662	0.05128836979440085	-0.1643409266119373	-0.28062247819453945	-0.0069023916405128675	-0.1941196319190482	0.23416524890043477	0.12455417928421378	0.009091645055108835	0.01506185465790271	
1568|0	-0.07659915660712784	-0.09975640504228367	-0.27435423029996703	-0.08030047740174245	0.1525474174936559	-0.026440106294684802	-0.15060198489989904	-0.07156641444181128	0.02678317235115614	0.023968182272658792	
4980|0	0.18139245370669085	-0.04630325912721807	-0.23179413850713956	-0.08013586345705814	0.14490487907779162	-0.05478107833656761	-0.17272458230155072	-0.03155670459649156	0.14390346709543902	-0.18095997090117164	
1832|0	0.0955588753314738	0.1599635154607241	0.1481133523189125	0.043848747044956324	-0.017570411646221563	-0.07738370983575024	-0.01414268170579028	0.2205317780984046	0.07047174580475546	-0.18150338234609797	
5084|0	0.3155705456405472	-0.0830028799015455	0.14264705723073798	-0.18286211306121944	0.17392739589160885	-0.04595289928907758	0.08290547478242354	-0.017889084876160352	0.042505249363800915	0.1211043868681059	
1699|0	0.04996049528423577	0.22193100560980986	-0.05334611635689596	-0.11727315556068912	0.06842176148252337	-0.1110914458903863	-0.1427756208768799	-0.259898693567187	0.13518518761231402	-0.0889573495480264	
2340|0	0.12029184242698998	0.0843496918161127	-0.06554843701092793	-0.06409552291874925	0.18286181690858555	0.20374557550074376	-0.15315783947857486	0.0006518518880045102	-0.14732691557257302	-0.12801954797829845	
2701|0	0.017530056401559056	-0.19163629500254276	0.08055662224688537	-0.3394861426207233	-0.22242979764236842	0.280728966233218	0.0442106077430737	-0.1626058050657228	0.10039070084685466	0.11471468815098036	
4434|0	0.085103193351769	0.060908350625055035	0.32794456000433303	-0.048920262483262096	-0.26297949273788807	-0.07588067360532766	-0.1517877154592781	0.2242351262496143	-0.09231379064824195	-0.2347002518312567	
3939|0	-0.01504357294216345	-0.22874908846161035	-0.029755813431069117	0.044644619278910586	0.04823041625502435	-0.11237348508625528	-0.12864146350867614	0.05714484825961141	-0.03846272802970108	0.034368158021572275	
5044|0	0.0804464776476301	0.138068633864677	-0.05247532488348717	0.0018477241253903726	0.00034218932117327045	-0.08439374849193458	-0.19999040488576802	-0.07323230677006334	0.12408340345503084	-0.23384096172954547	
