protein	pc.1	pc.2	pc.3	pc.4	pc.5	pc.6	pc.7	pc.8	pc.9	pc.10	
1775|0	-0.6313784156590935	0.1449764263379351	0.17296624474191388	0.12655432834751132	-0.142440921448418	0.10018213354358706	-0.07448676027613918	0.060262964984559735	-0.07912617716968687	0.002901954609676278	
1030|0	-0.4351882422642234	0.13901250877018992	0.13290504185116478	0.03157094987718414	-0.14751009938180157	-0.01682844339338523	-0.15003309951628924	-0.01554188404019086	-0.05126570915358809	0.02496701800624553	
5115|0	-0.4301347668214843	-0.180727693471891	-0.3922044761660827	-0.4203270755898483	0.3533831963472736	-0.1145200891411134	0.1483935748113582	-0.11422302117098888	-0.13133804338386	0.3025634965870132	
2194|0	0.05369612585268011	0.21782470501383538	0.2520678264093421	-0.0070685813548967665	0.03268542482448926	-0.04999305595935824	0.01533017507761564	0.08826806791245356	-0.05728601646491268	-0.08709857469535272	
2160|0	-0.49530808974929524	-0.18380528658436318	-0.3855041155955584	-0.6659882271649216	-0.3375990230052912	0.022225102673550486	-0.07146915779335979	-0.5861596756133168	-0.23491357948100836	-0.549693474646047	
4034|0	-0.2920959359285428	0.21104238683498713	0.0053792767293598266	0.0885206660682767	-0.009157044339234532	0.06288027771745792	-0.11297649555037262	-0.12994297374991495	-0.08778530274911228	-0.10783158692085058	
1077|0	-0.1384431232692417	0.3683446579458254	0.12034251182999295	0.029147187992033977	-0.024806611225073702	0.23368241726129418	-0.013948292297672618	0.19192976761415598	0.0746761132061328	-0.003983738324586389	
4100|0	-0.12815519510585865	0.41952530772764296	0.1776864601957693	-0.13135481095060927	0.062273714323566376	0.2138381662602526	-0.10368641113518554	-0.043676819985326874	0.09176558231502603	-0.07851429819599276	
2006|0	0.15175552181018817	0.25884936745753717	0.0666588096963037	-0.11392702412712141	0.038969492821689856	0.161494308338828	0.11310561107066945	-0.002917694599520042	0.13751450871272983	-0.10513398263271322	
1401|0	-0.37948974699720633	-0.08772127994915908	0.05987869556509632	0.293442368630399	0.008490124199451545	0.14608486336059529	0.02032034397786298	0.11963418295210541	0.15709976152188093	0.012389307657276857	
4578|0	0.4721600033351468	-0.8530612684372354	-0.5960511646842191	-0.24105334887639077	0.1539875374399068	0.4133614349788963	-0.41202797261739843	0.17955226228239005	-0.04802332398851746	0.1837000550622189	
1568|0	-0.2791965322786203	-0.2863876522337488	0.1065182237097795	0.057143561062951855	0.04359394116704275	-0.08981683588292771	0.17116706254050423	0.25292345810944566	0.198926509669129	0.1980447608664246	
4980|0	-0.2516570566179044	-0.25679692385609304	-0.19524495162237382	-0.19868323115572034	0.11957101062459967	-0.04215074121021178	-0.13582600381285365	-0.08694950264923888	-0.02910358421051989	-0.3302349009273017	
1832|0	-0.3666437219331676	0.2196563856783329	-0.04530359738179497	-0.19820729582056743	0.0424274915804269	-0.01848413769613129	-0.19232841050171248	-0.3063613348596185	-0.006856520238859574	-0.04665265675739324	
5084|0	-0.34565806045727604	-0.13556425762086913	-0.06975210462069084	-0.061051985047650977	0.109413050753864	0.0894185142000276	-0.008251079670129021	-0.017866227746684962	0.1514655717286822	0.07485363699193241	
1699|0	-0.13692178825354268	-0.23358773778789804	-0.31177499423363714	-0.24028943913533726	-0.046826822473956274	-0.025997439577740963	0.04392012017662098	0.2014277835030486	-0.053069849616217475	-0.051949817478347586	
2340|0	-0.41494271634122964	-0.07810381565295343	-0.16261934631355007	-0.3498175334690152	0.18121042993409417	-0.20397896554662787	0.01102975765556513	-0.06574001064838553	-0.04346441857332735	0.008877726547568559	
