protein	pc.1	pc.2	pc.3	pc.4	pc.5	pc.6	pc.7	pc.8	pc.9	pc.10	
1182|0	-0.3290214196727826	0.015012785077752472	0.19091944614833845	-0.46610657411364903	0.029450268731662628	0.08060536317582317	-0.3608065893629929	0.022462191534302282	0.29677356733635535	0.013361880225799198	
2807|0	-0.3185644074475206	-0.29884737768940695	0.2933089450008676	-0.17844275845807894	-0.17717486528554488	-0.14444233638906787	-0.3497310946530614	-0.500440593058532	-0.0788778733118999	-0.05759757866813953	
5281|0	-0.469224318641419	-0.05593834282318086	0.06875730453908444	0.013448095511321752	-0.22144526867962602	-0.1713719067558899	-0.07718497200894128	-0.27264861598563467	0.19597251170026223	0.015588770903621188	
3989|0	-0.4311023545258584	-0.1858691392114324	0.5265474858690781	-0.3533938349167949	-0.025636307087994966	0.1445481188373449	-0.12496311445206097	0.06165832745779893	0.6118707917054009	0.011853924603257309	
1255|0	-0.352708027629453	0.36840407302456724	0.20829194929882996	-0.42895095276894674	-0.02878383851678996	-0.00861389464572512	-0.27830875537652444	0.29178564092236614	0.16941715619108966	-0.12902939185152623	
2810|0	-0.6968920479162142	-0.583464301159484	0.24711288707182788	0.23502073201205098	-0.09729928360684839	-0.027615840833416356	-0.07947512501392297	-0.3365413144506902	0.3783425288047876	-0.18284792689079998	
3936|0	-0.27523580855136104	0.17106571815841146	0.2064060553872163	0.34813356747209956	-0.48584008434587783	0.09104925253396418	0.03311289462653101	0.1744494088446034	0.25823312557138	0.36758468967237995	
882|0	-0.25737363618690606	0.1071933540719972	0.1835644124246575	-0.7186901012749048	0.0465824437879701	0.7698785376395505	-0.07566257755789585	-0.27360734218099725	-0.5089293023742578	-0.35694574037466065	
3176|0	-0.44522157445739374	0.26507611978303436	0.33316007352440974	-0.8082468511167133	0.0085791058836362	-0.19651714281391888	0.3524026003766093	-0.00020494561332207344	0.2378911028984692	-0.17992398955739164	
899|0	-0.5731674346762532	-0.23699019689441872	0.4237565067916586	-0.4130446279012146	0.1511653975623273	-0.34543232789894157	-0.01288058098751233	-0.0865426926245052	-0.027317365035848102	-0.0662881491801972	
3920|0	-0.41121275006237346	0.3150992711601063	-0.045659466976737575	-0.11371702932070593	0.038088157944513146	0.062220667160178794	-0.21618820726325677	0.08416328629420976	0.29183958508316243	-0.17612158348876822	
2009|0	-0.02797455184337739	0.1357342637372258	0.256162585758824	-0.4257792007522789	0.4512494044964532	0.24546818915367583	0.15846234587825206	0.38414859682241936	0.2265187478582272	-0.11481878930467383	
5129|0	-0.3722465947618515	-0.4058959743003752	0.1762408106314973	-0.36723533856514096	0.06665571061069096	-0.35442186431856465	-0.003112754556600018	-0.2939055760464829	-0.10694556678990527	0.5355618184543615	
4428|0	-0.19901367680206838	0.12951559619216754	0.18891275713020833	0.2249618799284646	0.32146850272350863	0.598503182786673	-0.37461451809956625	-0.2953382947432454	0.5396549321647173	-0.22969915028128968	
1764|0	-0.4334658437067071	0.09460422070807432	0.09515299587850391	-0.13138620780920776	-0.16210940758640632	-0.3709126838952619	-0.022977392841189888	-0.4102239693114248	-0.27059083256287253	-0.10640036146006927	
