protein	pc.1	pc.2	pc.3	pc.4	pc.5	pc.6	pc.7	pc.8	pc.9	pc.10	
1182|0	0.0502297093541253	0.09202980014530576	0.17220896829054125	-0.11885808538163055	0.004077935868227767	-0.12365468419753521	0.09198126540314702	-0.08907375616746904	0.05429328899415582	-0.03895487192584885	
2807|0	0.33389259228200424	-0.009982860340748826	-0.02678938396004653	0.3112900036043512	0.183316174175764	0.20323659154364887	0.2065913801714833	-0.24750095936094862	-0.012462840018341404	-0.16894689576927194	
5281|0	0.05066535246648572	-0.20632225430153328	0.06135350921043822	0.054881286777605745	-0.03547906786649865	-0.08312938188549897	0.1770385298872564	0.02176549407616993	0.02774209208837547	-0.0018198586373882884	
3989|0	0.1735890031424184	-0.18413599295954705	0.18336260225602397	0.0164465314120948	0.34656613292213806	-0.14817593744115135	-0.12428546589784908	0.03444389797428143	-0.041455567981788975	-0.0097194835867797	
1255|0	0.17737575222341978	-0.2197744364853885	0.025967909577271214	-0.03924682385781526	-0.0715262403758341	-0.07350042829793166	0.23173485311407166	-0.03797362529353069	-0.14795854985144183	0.08020998944829032	
2810|0	0.5322899292865996	-0.19887560702534846	-0.26121551920212094	0.12805785306657072	0.8140117501444355	-0.05332669164962244	-0.4306868600471996	0.0032402482970957302	-0.011211510136592146	-0.3184182631809646	
3936|0	-0.17576802369278416	-0.37913956346992334	-0.09037236891803234	-0.21006453627210364	-0.10035102501939909	-0.20520495213625853	0.20645736675290743	0.03176586037474662	-0.03080056827194933	0.23160799556286946	
882|0	-0.1892247490203757	0.09690059594365993	0.03131944754048094	0.579728655137498	0.04723823739110182	0.548113419031315	-0.12234641939812488	-0.282299733826207	-0.20752819088286256	0.17119899763981564	
3176|0	-0.1926290670441094	-0.1875727813137761	-0.07484265248733969	-0.08258785722022514	-0.048362746650525784	0.0723529607798374	0.20484795813108958	-0.321894030641242	0.19448105301448645	0.018768275591057537	
899|0	0.11978772769580226	-0.09761447025332143	0.2861136671098401	0.011656488197683394	0.45907102194031485	-0.05486263240300408	-0.09076231538370022	0.15042659332794428	-0.04741404562347115	0.0602483290859704	
3920|0	0.17379468301694176	-0.20275405325328968	-0.054961734309613985	0.12447275527224275	-0.011686385171012097	0.08830346568586939	0.2804658052916283	-0.10844221445804021	0.030232400615218844	-0.15425822294617803	
2009|0	-0.13686651582796494	0.2759259804598934	-0.3532321129314337	-0.3244116545422904	-0.06053096141833097	-0.3895003587507604	-0.09912992867151273	-0.11081090821994055	0.23266955853652233	-0.12101010844781337	
5129|0	1.0779306363878036	0.25519543516038096	0.12060606847965848	-0.03636951910843084	-0.057172680964887014	0.03670600493338483	0.06587388420528853	0.001349786590041706	-0.11981740549446022	0.015386489789099185	
4428|0	-0.09556352853190256	-0.2903406874532617	0.361004600033044	0.10318027857280103	-0.09308460122107419	0.07273984933938935	-0.2590237816893916	-0.1880530197559286	-0.008011899601646133	0.002822763690301774	
1764|0	0.33589725175667434	-0.20609548478562947	-0.14558290239597732	0.024264233774558976	0.039034948934685225	-0.09790524676640809	0.05498438158670948	0.015228407464112966	-0.10963193686312736	0.08962788464097436	
4231|0	0.04575690205634342	0.03088814210925589	-0.005982552893340684	0.26423550734631895	0.03796000093972124	-0.07947296014370625	0.03905333744050576	-0.015603905159181619	0.056415813561811114	-0.1572852981810706	
4581|0	0.30874084177598693	-0.035675486708631146	0.013706634581497278	0.010800613209252737	-0.10271218147389467	-0.01734044835093006	0.10963715136330124	-0.08308657024171065	0.16138226367650782	-0.06527066196206084	
3543|0	-0.2178657391098449	-0.029936453250333346	-0.0550673672789967	0.038095048736441414	-0.11711161827923909	-0.05966214930566621	0.028528899060548004	0.11336478899339969	-0.07819394758172521	0.04023768230772034	
2318|0	-0.10390100932307222	-0.17031058481994726	-0.047175379530071525	0.06870023166344347	0.21508860450232337	-0.04536155076143095	-0.07316929744379042	0.10593100564738352	-0.05440025165074365	0.06508148778369627	
5100|0	0.6276202793854185	0.40912092433884445	0.9931393046846112	-0.6522282114033223	0.037557547090856506	0.1476789210787877	-0.18048652846323934	0.031249411060124386	0.019651212116670494	-0.07354729711828532	
5299|0	0.04897069087060825	-0.22723613449693028	0.2654303856525415	-0.29071975932135996	-0.06786852723186974	-0.0361739469477271	-0.10111661297582746	0.04289668756242078	0.32858578471460465	-0.2533585943923045	
826|0	-0.08773347793433675	0.056876770511099455	-0.010511920581553971	0.05968621192892046	0.07722422214923243	0.11003026499356332	0.03577025975271195	0.07307722283563424	-0.018614301749362842	0.08350118536672474	
961|0	-0.2374667246168985	-0.024023279086802983	-0.09400930893400464	-0.22866196899154878	0.13130252071208123	-0.3266138729867009	0.3721002961581067	0.19202979952434052	-0.0019440254224111395	0.219811671729331	
1879|0	-0.09559231046301236	-0.2017248178073185	-0.15071223483340482	-0.08724720050253278	-0.020898438501532186	0.13533125889580142	0.00873503535085298	-0.0038026772040696123	0.03417784727729952	0.041056975289044215	
2649|0	0.058472753869742176	-0.0988851283629798	-0.10355971815252744	-0.016877679026679474	0.2221786044081156	-0.09530130476751943	-0.09142127250944536	0.0018723145268034803	-0.04694992899320826	-0.1435485092995243	
1390|0	-0.18383672199306056	-0.2397883711884923	0.03838956239727431	0.1139947076826052	0.15359327421719424	-0.14619134165153186	0.0582519535831447	0.07338899042655433	0.00470291963065694	-0.09702446272885648	
2881|0	-0.13282169459175114	-0.1690566261691959	-0.10446551762902766	-0.020544834397996804	-0.016896939356658834	-0.021540270983880012	0.034502070508832736	-0.025618686388782074	-0.03492321699630081	-0.19251253612718633	
1540|0	0.18299438851433195	-0.2458932534797964	-0.06734273532527375	0.18710968680039786	-0.016182148546005398	-0.001915268723793231	-0.26701565048387077	-0.3281269946424745	-0.1266397353822402	-0.13618937114829177	
4972|0	0.29741961803754735	-0.24772300431814342	-0.11935907734887298	0.10781501653859818	-0.1165363782943765	-0.1474189285196201	-0.10652695690478767	-0.12462822905802484	-0.05991667227533078	-0.10625925721026193	
1458|0	-0.13224532472184963	-0.11955877351352884	-0.060028895895296586	-0.07849856995748189	0.07753858562486275	0.06050970484765542	-0.12584549463833206	0.07076439634817497	-0.022545980668858278	0.04386792435448366	
1558|0	0.21961307000895666	-0.09367399552622799	-0.12274968154153887	0.034406346061030074	-0.135693027177367	-0.11430389691683121	0.06490577539297007	0.08073849766884836	-0.071109338784765	-0.046514781783569936	
825|0	-0.14747369416039838	0.028459037190789283	0.15613064965430287	0.5454842265869255	-0.1570491076507609	0.22607065104363344	0.11724393302257452	0.5559890218001511	-0.04514400081792471	-0.05623139000994223	
5140|0	-0.15266239429617803	-0.1868881400105736	-0.035297408084230035	-0.058078700454079916	-0.01585832975817116	0.01954978000833334	-0.03554435924093598	0.06291691122666518	-0.21212482526295776	-0.014783215183501888	
2551|0	0.6594304241986784	-0.33097054917118157	-0.27933230950086946	-0.24247674940499808	0.437310661094809	-0.6321888278952995	0.3215735449964096	-0.027308245679442213	-0.12127944788216598	0.09106358658270228	
4364|0	-0.11659277217035367	-0.0395054768362745	-0.08185379877425214	-0.028338815455242344	0.15705019403195009	-0.028257118618461474	0.001195865244021713	0.1491765038149982	0.00353759682692609	0.014270546209862704	
5080|0	0.023866432698817233	-0.41103867920594833	-0.0007221159263767042	-0.06001965448246433	0.4359004511377938	0.08160981681727808	-0.09361773741188428	0.11752094119426634	-0.14011099584436187	0.015337614457072277	
5182|0	-0.1391767170012186	-0.12053665734102895	-0.06036686590078111	0.007391347932800499	0.026343907054202077	-0.04031179963576993	-0.057431620657452526	0.07341665379726522	0.02143155815502975	-0.10017913788392101	
2569|0	-0.12175443087496131	-0.16471523654743828	0.012356816221095556	0.12316930504959686	-0.18918038182195765	0.03965684684237916	0.030140833259913027	0.007955946409786453	-0.0015381277951396614	-0.057940707805743896	
3392|0	-0.20037596655369697	-0.3487905253082605	0.05787580090153694	-0.08516270379618765	0.016628055525830895	-0.009922709912616777	0.05272230039557687	-0.0339888184126645	-0.15717542014800998	0.022776061654658102	
2408|0	0.4627270032425215	-0.31370948469417537	-0.004638322829582689	0.1601826175298722	0.3519439804991071	-0.06430461541946052	-0.2129748596797433	0.07427695281389178	0.3003340785778126	0.03573958435741463	
4894|0	-0.09875958057044179	-0.30566453483430045	0.34572791786059676	0.16344960580361326	0.20851882735221344	0.15217359055959265	0.010256280905905255	0.14529535510323116	0.11625851192981812	0.1891755567838066	
4200|0	-0.156914610153672	0.04271135048790372	-0.01048385858495004	0.14387856757754172	-0.1003873433020455	-0.05434940968016131	-0.06058498727890063	0.07259952318652312	0.1292460305492808	-0.011348215583320364	
2865|0	0.31051236595117465	-0.14610756229800229	-0.0976664383345392	0.10935790870606348	0.09712942047630306	0.09049902347068842	-0.006350624527455498	-0.055930033676153436	-0.05966150163156705	-0.04539058636236768	
4419|0	-0.16919304318260447	0.26262573311764054	-0.03207637483894601	0.00684870173919679	-0.11710848527024155	0.18735978682349075	0.15094847483390375	0.007926769845027194	-0.060949620082073004	0.04256892289115103	
3461|0	-0.1601186988549439	-0.25642104898979473	-0.033579720340214954	0.0186887104209648	-0.08115312726227282	-0.06785811278866237	0.13326333117481606	0.19026863330872756	0.012965887434153434	0.0801689046958126	
2615|0	-0.04119890971681991	-0.20953294005873405	0.16729597679007696	0.007280680219170226	-0.16568290953030076	0.02001078207423265	-0.06276369666261264	-0.048988264943016786	0.07028114833172752	-0.13743329240168659	
5219|0	0.09873393198437495	-0.11767057371284435	0.026564374345254715	-0.047218805883203124	-0.15080850997778483	-0.06943486263246271	-0.10074091583334405	0.01347181903398636	0.015724283660422354	-0.12237515355280773	
1911|0	0.24435171135775288	0.07976145138573895	-0.07841998309464565	-0.04547736942845657	-0.12399262947146206	-0.05796390524747049	0.19371716219146023	0.02014605271130443	-0.030533099096229355	0.010285080035701638	
3039|0	-0.12594535697696788	-0.20654984431786644	-0.08420714407672496	-0.1550829360052181	0.015561257738450296	-0.011009634181856784	-0.19351552653405876	-0.17280521168632185	-0.08121308912851709	0.32914531042381134	
4451|0	-0.17639567561371666	-0.17610670808991086	-0.07784534469153734	-0.0778335108649731	-0.07308940743637059	-0.0494059726748143	-0.0018192653695230452	0.046572773242782785	0.06011850056593883	0.03238616976755041	
801|0	-0.02976094570034548	-0.12386452350873624	0.01619305709623983	0.042394616007828824	-0.019550069872196707	0.04948466764270357	0.20362520505303036	-0.0036941822873647607	0.023744855799227766	-0.01842677751111822	
5004|0	0.3522321036781527	-0.20601065699144658	-0.11410419290230797	-0.001909917652472544	0.5006948808389238	0.046001331646161034	-0.2649009528804742	0.05130142119869283	0.07407931673583258	-0.16035573635799763	
2352|0	-0.13843681933549523	0.5149034418332524	-0.022236505911305198	0.19235202668353596	0.0527029385238474	0.19437837191572027	-0.16344793219545878	0.05056189707070541	-0.0006073761960481971	-0.004134420091576318	
3523|0	-0.013988155138673648	-0.27553672861971507	-0.1302000965463872	-0.07314057496059104	-0.07965473883385564	-0.16903659254839523	0.11342791010969752	-0.023169029599884105	0.06017434348428054	-0.05184160185704946	
3357|0	-0.13297274227022113	0.031362768309344286	-0.07571231021477591	-0.010137803563518682	-0.12332998188997013	-0.02856118438511797	-0.22715519127527298	-0.08320313912032092	0.20242191069912452	0.05558909916750147	
2034|0	0.09238587664134569	-0.23657876669188135	-0.026067142233957927	0.0971622177478161	0.13074932223484656	0.024975422448632337	0.20886628803858037	0.15756887847078757	-0.0790076934430403	-0.005480414729346325	
3875|0	0.04828237210702703	-0.04274846634763259	-0.02023948767783904	-0.028752320930780485	0.07134609909630889	-0.14429999712046687	0.001594158109094454	0.041027215472553474	-0.057573910051097105	-0.004342256638363433	
5284|0	-0.011405712969311263	-0.18387416570950213	-0.04106292960324964	-0.018168644673402814	-0.1000462511098152	-0.04985302926249811	-0.0629371934340597	0.09073569001610829	0.020509014465869235	0.08049432085985851	
3115|0	-0.049367326772254444	0.1320487379301579	0.047220118645147115	0.26483125796719814	-0.12127022565230265	-0.032808594747170454	0.09977352370720267	-0.04243565739063177	0.1328297917143704	-0.029772398144390397	
3406|0	-0.04805785575265133	0.05812027568172593	0.012907236009307824	-0.1399329274720761	-0.02706742044594125	-0.1637984002099849	-0.007329016562055271	-0.0706374958789492	0.08220658341939521	-0.022839276825008997	
4936|0	0.2516182342107343	-0.16153273219426686	0.29126776601210763	-0.07041094476371262	0.2389102133410742	-0.0285226667662774	-0.045313138738958515	0.01640254608660984	-0.06283920060038134	-0.03734159049628515	
2431|0	-0.008452425941481202	-0.17901088723833983	-0.13574462968285142	0.011528529929127906	-0.034074618784476596	0.01696486345946834	0.06124480648697834	0.08973690524072682	0.07410126887294133	0.11009550604224265	
5093|0	0.5556268815102784	-0.16017240029874147	-0.11334650618371266	-0.005007663289929594	-0.18914360676856837	0.006442018515073669	0.15581610548854447	0.244764842219545	-0.17540437205963516	0.0016694303870269844	
1095|0	-0.2291529201374632	0.28702904265663787	-0.2571187951659501	-0.35101766655892774	0.1200390873638013	-0.029085301570980014	0.13907952156991313	-0.017078832951564402	0.15107564886482397	-0.007449129409158229	
1077|0	0.00392207352579525	-0.059067591833826955	-0.08605896805139353	0.06863236657830846	-0.20450944373064098	-0.08726537415572837	0.051615471494868205	-0.07127938515074643	-0.012678970840748363	-0.1910958494952213	
