protein	pc.1	pc.2	pc.3	pc.4	pc.5	pc.6	pc.7	pc.8	pc.9	pc.10	
3053|0	0.03515068173241525	-0.27583939170411775	-0.0222970258230886	-0.1002040437522785	0.23238960282062732	-0.1134916438627677	0.21746168279362774	0.2343297255346192	0.07861629496120537	0.08032104310958289	
1822|0	-0.18279768982209615	-0.2410315558231675	-0.19836820036414643	-0.14522155483098279	0.29324758320178584	0.01605323708017469	0.08891927741376732	-0.1275068317013576	-0.04783241122776664	0.17791027594022119	
1027|0	-0.32308876309032136	-0.10008824768903814	-0.09849402152450049	0.017597815168922306	-0.05292435434294406	-0.07622464051610116	-0.0528265815335883	0.02801628822457185	-0.085612248379083	0.1388333328121108	
1311|0	0.3351636036834593	0.14298916082095472	-0.054723350065829554	-0.36748738762117417	-0.009662753173596479	0.11121762178396995	-0.09100926609573035	-0.19128591777058282	-0.12612785045965821	-0.011738120601820591	
2612|0	-0.0584681844020947	-0.28184772279272935	0.16926834274362837	-0.05806569932147701	-0.12406653780961423	-0.061850699035205126	0.01575825061576067	0.063406229537093	0.05059027841308879	-0.03810101571203534	
1532|0	-0.25864890025360354	-0.27009420439635023	-0.08478390404784027	-0.13248073939207985	-0.23555932744910535	-0.04751519384644896	0.14765950162083633	0.287764763239292	0.023413937160364356	-0.1877194067323971	
2729|0	0.07042553982422234	0.16954535525729703	-0.10020660395716138	-0.33623487254995627	-0.25092344968321445	-0.23715444636257996	-0.0608745972671094	-0.2884911370695746	-0.027756299916588352	-0.15674182313266743	
3902|0	-0.1048871695750303	-0.3041087920865096	-0.09543653049935605	-0.15758756681312736	-0.03354674500895625	0.0004706785204628889	0.18648323332054592	0.07465644460911862	-0.18110707649992722	-0.08918840949103687	
1971|0	0.050739154771475205	-0.08648098271021146	-0.22033639203430092	-0.06555881892374532	-0.06229421592476573	0.1938879931819717	0.15924763740343792	-0.03568300318172635	-0.10275401668441453	-0.05835210643218048	
2623|0	-0.19188228316910835	-0.09050444999602474	0.06783625438228923	-0.1497491376599157	-0.0007593680160498202	-0.0412079053450632	0.049660126487857746	-0.15138730483950985	-0.23890365437089817	-0.05955724358254053	
3964|0	-0.0838565526481169	0.17321779938622234	0.013665151185835738	-0.14373785015595564	0.05052551239042818	-0.09936286557982284	-0.1437950809977481	0.26658566008173135	0.034244793622673096	0.0523395565847876	
3711|0	-0.13977369566328582	-0.26417993304094367	-0.05150164954956257	-0.015471415201872984	0.13278192883443624	0.19988417766372774	0.015017005670625716	-0.19982682219377818	0.06620347508044769	0.08762217420837445	
