protein	pc.1	pc.2	pc.3	pc.4	pc.5	pc.6	pc.7	pc.8	pc.9	pc.10	
1182|0	-0.27535830429828356	-0.23820169855051634	0.10008816202769928	-0.26526059276077585	-0.05902787021042368	-0.058276983123172935	-0.04759413714726282	-0.06643743455932102	-0.11763067394753335	0.1004560688713121	
2807|0	0.1939778057420304	0.8126100815591997	0.09718469451279642	0.3522927706281341	-0.07086867536161236	0.05647159327765502	0.25755626000770365	0.08255701578926959	0.2498601219865611	0.4835722912451888	
5281|0	-0.5084065344423113	-0.07022437936917039	-0.02706025508563104	0.1395283404155032	-0.1846315189823099	0.056654000899087724	-0.07905475752954791	-0.06330275748882927	0.06387252483526695	-0.0651444539216353	
3989|0	-0.3808672231796382	0.1376954992602254	-0.056154083751729186	-0.14702221239108232	-0.2607537642453659	0.2201412206085744	0.002322583401416118	-0.23556287709687096	0.01680095051799095	0.03965143395700116	
1255|0	-0.10305637499282219	0.3502265632613741	0.11371650359523082	-0.6817864409488611	-0.06837805568828176	0.019314720647053345	0.12761071658807593	-0.5432319043155758	-0.18784340785714768	-0.08018493966410992	
2810|0	-0.030317671020265766	0.9588957783242564	-0.1128398801395809	0.25990795748547607	-0.2905502262291494	-0.2723794003031999	-0.2788340827882205	-0.3393629277487772	-0.07987188245513954	0.0839066883781054	
3936|0	-0.49714835714697025	-0.0748532948858735	-0.17343684975950172	-0.2116009893007853	-0.33062049603703614	-0.035364934983595074	0.003444501564193022	0.05743492872197935	0.05614317676121029	-0.21531815443838537	
882|0	0.4349391729446295	0.30785133270149495	0.7656838621070827	0.24937653294560785	0.13828766668341044	0.26853381312703384	-0.08017609577081286	-0.20293313872104504	0.2973856965561428	0.1524776749356227	
3176|0	0.03772563495875254	0.5775081194940717	-0.01854720761483962	-0.7884992337257547	0.2541563076903016	0.2683244203842524	-0.3285987795135099	-0.32827378514817707	-0.04538194459985139	-0.13662787680434008	
899|0	-0.561103752271728	0.14163278235314225	0.15699965136078906	-0.39830954633214866	0.06681216215650615	0.08851424336239729	-0.21225181865576917	-0.18383269162077076	-0.05309121872003986	0.2870742528843443	
3920|0	-0.43941399413779414	-0.046522395140274495	-0.06909674847436577	-0.10782999168319912	0.08500489157711803	0.2155390396725394	-0.12902092571360765	-0.05186012183404402	0.1537100721642664	-0.16057283453323196	
2009|0	1.1533243049608382	0.43623308247402126	-0.3347259408661752	-0.3842514830139	0.26776179365922337	-0.06125490708208497	-0.36219366425070915	0.33058062047372133	-0.01612215042810622	-0.39905548616380365	
5129|0	-0.46546887381179963	0.21658110740004705	0.20419498409917855	0.2069588819766561	0.1186686254110572	-0.14448388530709955	0.027364223546166654	-0.048047964855990354	0.11045222335899185	0.6756921444844789	
4428|0	0.05514494048836501	0.2744832603014765	-0.6199456687257723	-0.009399423908589796	0.05812477496550759	0.32153388650056913	-0.165621760581527	0.17998158439341588	0.2286405536027175	-0.15593533686591393	
1764|0	-0.4468751099999206	0.15016030274142644	0.11753649704482837	-0.0037977218056010824	-0.11085331164411605	-0.08083831299602197	-0.18707754111803127	0.29212597314522104	0.3055688280285596	-0.01800352721533048	
4231|0	-0.4418836738483878	-0.3658393333640068	0.0838447231119505	0.07338923402569149	0.15270265996865942	0.05809036271759461	0.25009353103863813	0.06714281773201153	-0.008438669844480376	-0.16181919579112367	
4581|0	-0.49798453078896066	-0.07237983883567328	-0.03450344694157912	0.043016153439920546	-0.061784300194657006	-0.05375607348759818	0.4538385278386414	0.12510693579839086	-0.14404114538210255	-0.021762519921416004	
3543|0	-0.32885014786895483	0.12272740367204882	0.16258395181826762	0.13248674709391356	0.22968342016092996	-0.05938240489505965	-0.015173442293721886	0.11721413950185669	0.013000019385860324	0.10971844428431614	
2318|0	-0.3982811823394079	-0.08306301933603977	-0.037885269603055105	0.13754335578812904	-0.14869068147625758	-0.06678805264816132	0.3104628519920005	0.04316271124265075	-0.09291135657134492	0.18597313911169278	
5100|0	1.426375162909234	-0.225434537808001	0.23078643625652084	-0.18598780099120515	-0.47316063728410523	-0.533153977560572	-0.011594468123971333	0.12259738140227547	-0.13060220077793885	0.1845839306040634	
5299|0	-0.6507527622422621	-0.0023665617721515624	-0.2630866510388933	0.3050440956751023	-0.29971649099564485	-0.16834859305260516	-0.06756258286068322	-0.07731130739298747	0.06325629693922487	0.14596343182356128	
826|0	-0.5817443341724821	-0.1391261527877294	-0.10486154400174345	0.0917534068907137	-0.11345048443996267	0.10545865144234891	-0.04480724933683938	-0.14873880889329016	-0.17517545417317557	-0.04782501312704821	
961|0	-0.19637466624594294	0.02923093610638818	-0.3329930502683188	-0.2864408389636351	0.0682857980983334	-0.025033326000241756	-0.20095745181745117	0.21114000434553265	-0.18698217161911312	0.24441036101212948	
1879|0	-0.05914941651701563	0.13400122745021706	0.14342569086610932	-0.17033492447658985	-0.04644973316844223	0.04920296935802832	0.3155289590459567	-0.16302728258334706	0.1198272211970913	0.04952769497599072	
2649|0	-0.4472284893047506	-0.2070459611078034	0.05958168771761396	-0.1421694307314939	-0.03770752656312337	0.022098404642410474	-0.13870202632989997	-0.05189498056576905	0.19057750064681728	0.06938024575361593	
1390|0	-0.10643088021038295	0.2241997782539757	-0.2034124754820263	-0.14468017120987428	0.096976886085968	0.16972289616978115	0.06519802613582461	-0.012251202969369216	-0.00486605644369462	0.10420319878998599	
2881|0	-0.46043908651487436	-0.19411358955981625	-0.10210391294726788	0.036550886056866023	0.0536504392868215	-0.06474170407672009	-0.16940708636202675	0.08013550457687074	-0.15974963189733934	0.031939096877450064	
1540|0	-0.15395852850299604	0.2034495672984199	0.15228275313929246	-0.17016039915789094	0.04124758058153707	0.30207109770707563	-0.2019285751048886	-0.2527375284434322	-0.1359734025653791	0.06772688703019986	
4972|0	-0.5950198369901105	0.1517503458347048	-0.022434133081689712	0.07155030743098513	0.10132364449852793	-0.10043697721143902	-0.1775492546755887	-0.16996565136294461	0.282227545767537	0.15866016622483872	
1458|0	-0.389216100020872	-0.020817778131102204	0.03417884055520002	-0.2634485191468006	-0.054213966095251226	-0.023602264820996154	-0.19035920645136192	-0.016408939877567898	-0.03282742673848761	-0.07749485212004277	
1558|0	-0.4553995456176579	-0.161169988486591	-0.09222558502441722	0.045172131283834016	-0.17132746781898073	-0.020187415655743675	0.029163935276049883	-0.0630540488554161	-0.1721434981023306	-0.18442548723405666	
825|0	0.005348569397150641	0.6704297471998585	0.5361735366350333	-0.16137769122005927	0.1517984141266987	0.3551841457498349	0.4289244760937909	0.4132871151041034	-0.3680979159211681	-0.19635547949282783	
5140|0	-0.6031670402420777	-0.05763737981398204	-0.06881734392460494	-0.23769233550562696	-0.07191931508713105	0.08085029416951882	-0.14019081384551083	-0.020836581575103784	-0.0036199345985751924	0.00676458737038822	
2551|0	0.28205785904101854	0.8880913266363768	0.008634173168605016	0.09501609951810665	-0.01418909939791898	-0.3982909616806902	-0.10955259725021428	-0.164175550192095	0.3202273195963403	-0.2476251884763022	
4364|0	-0.025670233137472475	-0.03181751482946188	0.00992526480291172	0.19876722856783605	-0.12740854166028812	-0.3779475072675742	0.044365711199474245	-0.051792640127353275	0.1301938898858403	-0.4396138353763564	
5080|0	-0.29625428491871486	0.2595617558598036	-0.211513310866322	0.1508132290839842	0.7574127554817541	0.15276567612889075	-0.40051549379719276	0.3332671816425925	0.1353878533894648	-0.616777587782931	
5182|0	-0.2553305149424818	-0.2067130601043045	0.0362529341875541	-0.04627849065811133	-0.1125491672550061	-0.16785848212375798	0.1686197159781799	0.010730978338395399	0.18341570384185318	0.04903201017730648	
2569|0	-0.5323890084030142	-0.23976421261641223	-0.18354161131675484	0.11901862215913307	-0.17278644705586427	0.10917341332007445	-0.029686070619406122	0.023160442909882496	-0.06824975236729133	-0.06935169064122271	
3392|0	-0.45661142493173085	0.04620419194047126	-0.10671116459060206	-0.13591210869161938	-0.20389421016530498	-0.12786693373742306	0.040560294713123016	-0.04017480476121368	0.18055389840901598	0.10362897129816909	
2408|0	-0.33115512266830943	0.3855007838577229	-0.03087022252995008	-0.25133718038628494	-0.1578493603371412	0.05541646643075974	-0.04591604768488334	-0.40226876835288533	0.26826043522745496	-0.045703669751561246	
4894|0	-0.04028265411555993	0.6271143697470482	0.2162706336421543	0.6068860025433261	-0.09623945736130536	-0.08829104660924485	-0.22695235564176422	0.16754561099085388	0.19314189512685315	-0.168103691023784	
4200|0	0.4964698232033752	0.4960698536475464	0.4236624459089171	0.22093009732240393	-0.043871676966034605	0.04071601366051656	-0.10139802999817336	0.2689123689846693	0.38372425746291733	-0.23684060128813955	
2865|0	-0.6205481758024788	-0.03216718384267253	0.02483642354445572	-0.155170985723376	0.08643275954688376	0.15339850100574104	-0.0037312318240483554	-0.12978608305972134	0.16874314390233874	0.1428920637615208	
4419|0	-0.28685551851779434	-0.31414420767486273	0.3714568296049682	0.004017513947998929	-0.04622567148315055	0.27409207960549964	-0.005921272162821238	-0.09724103537781172	-0.19776054938108645	-0.10194737674277318	
3461|0	-0.48884122932806984	-0.20340186672414406	-0.2269721403532509	0.0286947313162923	-0.09322515550792318	0.01868531936446692	0.08629105941724717	-0.11683107350501824	-0.1324230312243824	-0.09179209208558999	
2615|0	-0.02427068354021352	0.5104770824872852	0.24560944696497788	-0.5577962510818429	-0.24051267413122424	0.5649336996558472	-0.08209175107455395	-0.35566364360253994	-0.16789610564371024	-0.1891410126986306	
5219|0	-0.5275906633689739	-0.14649877167397155	-0.13108367940573742	-0.018184064266174048	-0.10130344469827937	0.06396735364586421	-0.12632170273477483	0.29668724833527116	0.10873987304402084	0.03154532729971546	
1911|0	-0.41727532704523307	-0.37674620960261557	-0.04335481472480829	-0.10084727613434961	-0.014372572933928449	0.037310950644554086	0.010173558593865224	0.09077948911604389	0.10479242264040697	-0.23261595407538124	
3039|0	-0.053418071672835625	0.5949661251385813	-0.05979942382594199	-0.7078596887591643	-0.05739132575397789	0.3657298897050497	-0.09097215209076362	-0.6632013631556248	-0.20435152718224445	0.174455483506576	
4451|0	-0.5720528012953321	-0.2071696258424123	-0.08092421774548779	0.07547360181646942	0.0005103689052784266	0.16372022744454656	-0.05667361433291645	-0.012392860057026944	0.035219995372682646	0.08036912088816035	
