protein	pc.1	pc.2	pc.3	pc.4	pc.5	pc.6	pc.7	pc.8	pc.9	pc.10	
1|1	0.8026469845319294	0.1591180406563034	0.5296648241257338	0.19128374403822682	-0.25787659922172956	-0.13415797662105539	0.24453384209851795	0.18078328606891397	0.20241756104847772	-1.3461549063031848	
3|1	-1.1823136909987244	1.5711355335451374	0.5808768207654531	-0.2246490868739562	-0.8976894668698163	-0.3144880118126106	0.3448892420948235	0.2261860069824231	-0.1822404175665162	0.5049474825477984	
4|1	0.0748082176963153	-0.11636978775333631	-0.027593170607528725	-0.012458632568782855	-0.18291189095325153	-0.09543261840926831	0.16410640261158566	0.12732133961166242	0.20033571582339285	0.03303049257713099	
7|1	-0.16806723229207646	-0.38092100082051283	-0.256845967854371	0.19034983667698357	-0.2622020318970063	0.30294766068012524	-0.22363403939878349	0.04656321482817127	-0.02231465358038259	-0.0797350909193031	
8|1	0.570404754864797	0.041432375393396864	0.17903244147319408	0.0950210970421778	0.30857315100315863	-0.3167026904336707	0.03701087256960608	0.265605622902015	-0.6878436948263366	-0.20021360458741774	
9|1	0.10499485604496546	-0.2930849690955027	0.18756644434716893	-0.2157957522416468	-0.15083970845975264	0.4516393523934163	0.00665044923472171	0.18151879323597223	0.30386784775396164	-0.10245384195141152	
11|1	1.2757300848583604	0.6351780058007642	-0.13318002193037615	-0.10879886186095732	0.12425384827157297	-0.2801791173040415	-0.10219299924348811	0.09950186526333206	-0.17754668485531538	-0.015779685263775396	
12|1	-0.05813882644718663	-0.3015691597110604	-0.26390926964817424	0.35727636032375837	-0.04924741421232055	-0.07561667265680602	-0.28128054550966525	0.23726602757766663	0.08834264860877597	0.2721999479634159	
14|1	-0.2653965707553299	-0.5023969910430347	0.9854798280403279	-0.8173350947195697	0.12282175126674363	-0.2640324823164942	0.42182435979752775	-0.5560425066870067	-0.6844551089483515	0.4834700226796972	
15|1	-1.401131152018642	1.7622479977982912	0.8731179721629716	-0.26626927591746424	-1.3585589550782446	-0.204104008687269	0.375674948979993	0.22976314135219292	-0.44953415304645633	0.5827463286422405	
16|1	0.07550070413895255	-0.19148746061090796	0.006912510221888468	-0.02934105351861913	0.29182351174003734	0.16586592357013255	0.057613152182639446	-0.0728419032969876	-0.2817812356998925	-0.0330466466179342	
17|1	-1.427781753613425	1.9498538585713365	0.6925149815656912	-0.13448444929580805	-1.2715935005754386	-0.06311773329697516	0.583226807513443	0.36459827819797946	-0.21715651806266162	0.5206036159200255	
