protein	pc.1	pc.2	pc.3	pc.4	pc.5	pc.6	pc.7	pc.8	pc.9	pc.10	
1|1	-0.6296338045645394	0.49290998465790054	-0.09527705363671725	0.014094756069675056	0.3294946753101707	-0.2225329499065552	0.1306542835977411	0.5557269837727801	0.4875653868994737	-0.021326141935860975	
3|1	1.043120573361799	0.7478468632780545	-0.2031608738653999	0.02686104601277606	0.6651818005768563	0.26063699659610334	-0.41257772292256045	-0.2743911493675616	-0.273075498709715	0.2066596545098979	
4|1	-0.09219663249815489	0.08299227423732441	0.05310138148022709	0.29112973145033355	-0.04474988734809944	0.0056808812008531965	0.041495926271317776	0.21191993433306255	-0.17698057377545423	-0.24685055938842543	
7|1	0.011641808331655934	-0.4433700586351822	-0.24205796851219574	-0.2084388222253206	-0.030170011666452893	0.16979463029810105	0.5955783397473098	-0.13734853319105225	0.011610020078033129	-0.036604429063870875	
8|1	-0.3482847024899333	0.12185794873172373	0.08426760982695412	-0.2986868899483485	0.008139064259361915	-0.11318337133884952	-0.17364437799033342	0.05045333344462886	0.1648177760308833	0.15955564152799206	
9|1	-0.18324123769979453	0.14286240874426054	0.3699580847987641	0.378466561487605	0.12667750706713674	0.19763184168769027	0.548351536565577	0.07937627353810811	-0.05565495862922063	-0.302082439730777	
11|1	-0.6246129572712578	0.41358979958817255	-0.134317516123385	0.03230339090869452	-0.03201415865286179	-0.061614387197880253	-0.20829283720994485	-0.07598867136036612	0.20327930105312955	0.11793745689030119	
12|1	0.0007281243624117897	-0.5515566764647065	-0.06236443879862511	0.25187371561390665	0.01960111879632297	-0.3810640441347729	0.2875837199039809	-0.1212289808780188	-0.29668679138353937	0.483137761852904	
14|1	0.04423442346442283	-0.13770399880006132	0.9332245401409343	-0.37550236086850414	0.5868075018140915	0.3985031382371912	-0.24858080768693722	0.1140603802791042	-0.21845718596865235	0.8921386209302686	
15|1	1.2271655148717582	0.8800416660744547	-0.15146003471990876	-0.16037580728385525	1.083087242060868	0.6751762303263185	-0.2530513948558766	-0.20473836023885947	-0.429305813473149	0.13424458798353467	
16|1	-0.1500810607756042	-0.0776590586742475	0.020875593135268707	-0.3942414708853741	-0.17462966946863231	0.07136111845708369	-0.056547093572938925	0.08337015585226186	0.07178363717874237	-0.014496144180960353	
17|1	1.2082401766054587	0.9823144633613704	-0.36947214650801036	-0.03591199453287229	0.8050777441365976	0.6430327617120881	-0.1919194492649282	0.03552462891659818	-0.42276266806322116	-0.11152859400559398	
18|1	-0.09327475282639078	0.3914973866966583	0.21513705545363884	-0.09800446144275896	0.03015058399329492	0.14541852044898887	-0.13909221182703183	0.016543485897346975	0.6148190546647362	-0.18047713862109635	
19|1	-0.01953436339275722	0.24910941104111156	-0.0353931168163377	-0.10973196406877239	-0.001000766483371641	-0.20778744302674404	-0.24321249079931812	-0.04217384638797837	0.3145967767488651	-0.19332669696709293	
20|1	-0.5393854367487803	0.20375409694204055	-0.0027839643096683703	-0.177363392604888	0.1311370155312033	-0.45395510570889475	0.3578301184115046	0.24446037093007184	-0.7430425283292137	0.2406927993644833	
21|1	-0.8626561326629935	0.6954100078855053	-0.19999948094502817	0.31732679587326956	0.017514253582106384	-0.1741142073493255	-0.05949890758237198	-0.053758496479320246	0.0529877374866746	0.167960249048399	
23|1	-0.4983881761547122	0.07194226704609909	-0.4376255684723749	0.21471652825706772	-0.45728556370790807	0.8116789745922653	0.2997224093489449	0.1350604121395051	-0.06559711244055742	-0.19036721694742625	
24|1	-0.08871360710425909	0.032806647968595275	0.40003076628952233	-0.46280447944077696	0.10111348136919003	-0.07957595902897721	-0.15768366395028416	0.12316224038132953	0.01703248856700016	-0.2693504644033987	
25|1	-0.29587091236002816	0.026259625393574723	-0.31614778912009034	-0.37003627239699405	-0.08177108840357977	0.26871058273060927	0.36787375475050793	-0.22655465517278117	-0.13279713168437535	0.044259258836322195	
28|1	0.7136980680229188	0.2455656419023898	-0.20781634073370966	0.3216285715263351	-0.043457963757356416	-0.25885174637916697	0.3378473453213001	0.19066956109940295	0.16524905920194527	0.2743898995591082	
29|1	-0.12487975974135504	-0.16878535387861646	-0.24245517146766704	-0.17340348382248028	0.09904538068192817	0.06876917189023952	-0.08330744940752809	-0.030144305319190184	0.3823290194453459	-0.12534464644340604	
30|1	-0.14234775935034052	0.009128107992440048	0.2905382473787474	-0.5478593409013346	0.048785335569093785	-0.06016054592827254	0.13590259724203738	-0.18558215673994746	-0.0203784565276144	-0.05109338119816344	
31|1	0.09519868229883244	-0.17886652457579547	-0.20822844124930528	-0.35630641343487296	-0.36447043654304156	-0.029604128228296837	-0.2526670894486105	0.6492547918058055	-0.035958887874733704	0.3491372536327735	
32|1	1.2046302285177293	0.6050054211718029	0.07803813970007234	-0.18953706969922487	-0.788810988620231	-0.3306739525202612	-0.1088523325221656	-0.21044619132617615	0.021153330405534763	-0.15916202529766893	
33|1	0.17447980436093452	-0.2204431688959541	0.23020643454653056	0.027865209535382875	-0.4940749341296751	-0.10233829620059205	-0.02292005979804628	0.10361426414235321	-0.23596151407585086	-0.025936285216033028	
36|1	0.1683092580590486	-0.10139556232271263	0.23668188774837098	-0.30806046749713356	-0.2938795520675501	0.06181419529586381	0.42849138908324247	-0.26030857580285605	0.004867618320731614	0.2680171906269661	
38|1	-0.5826260799098947	0.31747520130172285	-0.21465534712489165	0.07073296940081028	-0.1386403113778012	-0.2078311656782799	-0.3841179408772054	-0.3022319371247603	-0.07488368957178737	0.32000662015971093	
39|1	-0.0167751607642595	0.1548610543005011	0.3709715110244403	0.40069166008619417	-0.22710429736947704	-0.23085789607437535	0.015613605665764377	0.012014962295805143	-0.18624849365879162	-0.10808274023909659	
40|1	-0.3254428271251431	0.21148649774564307	0.06031126486041526	-0.057914991856416	0.24907444392631758	-0.07738842962975975	0.14053361053691008	-0.12443954404276156	-0.12105569192940514	-0.3288679457957876	
