protein	pc.1	pc.2	pc.3	pc.4	pc.5	pc.6	pc.7	pc.8	pc.9	pc.10	
1|1	-0.340871657144628	0.002079827617914812	0.1322106519925153	0.0920851334803508	0.2729820168106687	-0.015705999721535583	0.42913558101208915	-0.25426932733961194	0.1750204484442437	-0.11649250488878393	
3|1	0.4960069243650076	-0.046514052703580964	0.07498608741225891	0.46134858563557485	-0.030765497240844805	0.03080085760412565	-0.0627162089121382	-0.11811855692262818	-0.21171395923100267	0.08934676067427945	
4|1	-0.00663635217365346	-0.07262438086926654	0.15571481236774495	-0.020953988386019043	0.1426938768831028	-0.06749703437353738	-0.05267884112467076	0.12193698880559417	0.08976917606070821	-0.04861921245758204	
7|1	-0.014298500065069586	0.12253493455418243	-0.29042775530400927	-0.3564258409698761	-0.027025637688171646	0.3426450419443684	0.025221852909001165	0.551586260087949	0.16253333933909203	0.1170874903300328	
8|1	-0.33691659375185873	-0.09005613927774858	-0.0571699381738528	0.05941777561394357	-0.2091624038833197	0.01141031242899582	-0.03325953204368635	-0.054171322344708034	0.14101900600338943	-0.05238298790074431	
9|1	0.028332073696948436	-0.11940471462275226	0.463238880259188	-0.13910183571448098	0.12772694422686698	-0.0213136583812936	0.09298373123298245	0.27736283505576603	0.06095560069309307	0.04466919591494116	
11|1	-0.5052248020076109	-0.04097886130331564	0.12165607138540585	0.12770474630420345	0.09457421408878662	0.027640867410437645	-0.06924717328885	-0.019736373311028694	0.020540252488222947	0.018056484319758512	
12|1	0.2060628315659689	-0.4875508897865454	0.03210855171857576	-0.4314753799690566	-0.05718899727508808	0.09598439797027837	0.002676507338739611	0.13608536929245196	0.2627157025912026	-0.20689292495913833	
14|1	0.019327252127745036	-0.1443435119268374	0.15320545964010246	-0.27831171533022325	-0.5845187304352516	-0.10513789120789756	0.3044530376238221	-0.09399693056092864	-0.011982070587133901	0.3799749559645696	
15|1	0.5407062116067595	0.03848510893798983	0.07715819045346281	0.3931708335085301	-0.21179903087948085	-0.00352220044621707	0.165869321815549	0.13153801407328836	-0.1850790742206637	0.13028059578587264	
16|1	-0.2329409615528905	-0.004403609219752668	-0.2807425630405456	0.14173146175112122	-0.09184879238074069	-0.2402869930509438	0.17894694098952316	-0.08417512920782648	0.10452027603476066	-0.00401774541509407	
17|1	0.5141589876312718	0.17900440188585945	0.0678678264680845	0.4396424060309193	-0.021765166087185324	-0.09048922434213923	0.0074769889726133635	0.12613556555448815	-0.0338237094672668	0.1186789113046407	
18|1	-0.09765416890870492	0.03195678549832823	0.16199511330824568	0.09943965373159086	-0.05094601066483088	-0.04138004591534525	0.11770029005041951	0.000458301480464507	-0.05357961384993813	0.06560850826584494	
19|1	-0.05922401687394216	0.009344209520727035	0.05423322881206286	0.16884344349023597	-0.021029030279464136	0.08078529894523111	-0.13324342307238646	-0.13975843832679213	-0.009421841992581443	0.00991978846241676	
20|1	-0.41997790948332836	0.06517796016680082	0.12024564469265163	-0.015833575148079964	-0.06442637368395492	0.2225517907722843	0.01568295959751487	-0.09636768213791473	0.1698956648433795	-0.18671713389771313	
21|1	-0.5774857927420046	-0.035781588423729194	0.4012470393182368	0.12608526362272748	0.37663954735082517	0.10545525003237136	0.07751575333047742	-0.11179380432166548	-0.016327923474290653	-0.05820712801755156	
23|1	-0.4100770206254665	-0.10552419557323912	0.04049801091449381	0.015602315647318456	0.20681626379129747	-0.0485391334077713	-0.2588619625235153	0.42742373543990747	0.1800586768766876	0.11192397782231293	
24|1	-0.22122269675060943	0.12227512106520515	0.17743775623701694	-0.04493264745772901	-0.433406660303103	0.22792181487929622	-0.13438514349530908	-0.053342681417676466	0.030931342674809875	0.010676736246846874	
25|1	-0.26215056915252966	0.8371020292415955	0.182514808756184	-0.34863311258299945	0.15092027985365183	0.7462456370418292	0.1334051044460029	0.08925565402709337	0.006745946693103954	0.08116567583480169	
28|1	0.6424507815151883	-0.1578761683660213	0.06604582093620598	0.4569513298794331	0.1104932635239583	0.1887505366477031	-0.12012650117741468	-0.19883142704752532	0.1554255774872476	0.1327301439669258	
29|1	-0.06996041717239362	-0.004897183317781658	-0.2927721771619147	0.17160338333594305	0.25856422677750085	-0.1946160800963905	0.15043876304981055	-0.11086279220255413	-0.16870485146417782	0.14223015215084886	
30|1	-0.29179254085881456	0.026892918155285623	0.023530392779301953	0.05194882542587514	-0.4375986307536676	0.17835431042353897	-0.1102534239539105	0.06487579536988762	-0.021909915490763484	0.02696820860114105	
31|1	-0.007200584916246813	0.18924373752656337	-0.32972434928395394	0.11222470920095931	-0.10641580951958793	-0.3055955652843976	0.06593018174344448	-0.10074916526684004	0.3926100326385073	0.04810857829031142	
32|1	0.7212252300712796	0.5189274246488537	0.16372672322094378	0.3407721398823056	-0.04001602089426989	-0.16823805646094786	-0.11605005012028129	0.12433026082135681	-0.029001732427049728	-0.1844692428530959	
