protein	pc.1	pc.2	pc.3	pc.4	pc.5	pc.6	pc.7	pc.8	pc.9	pc.10	
1|1	0.5932444197865396	0.08546263052577437	0.3234132371648715	0.21911283323021466	-0.22314196188923038	-0.24684403629062468	-0.1375834777674535	-0.19894568165178567	0.8519462668728004	0.24677264908685623	
3|1	-0.7907779889133308	-0.9478347221587029	0.9275905206883607	-0.3673864534714024	-0.8041974630301837	0.061384605118487846	0.35758857655610504	-0.13098644823852512	-0.38269973169595406	-0.040816890804807306	
4|1	0.017806298860804873	0.13292194781538616	-0.09371664517784524	-0.02804932015541272	-0.16178394048224462	-0.04964577477341191	0.012222308905088877	-0.0807407934732939	-0.005576541205682766	-0.31681265227388294	
7|1	-0.1829681407464192	0.21524929493368364	-0.3259858549960054	0.13451599670326178	-0.0042599399338761725	0.2710085468207698	-0.044622842431257075	0.003099677053361704	0.14572848127696608	0.18837592361968505	
8|1	0.5617966772706735	0.08435690431001057	0.11416959740441396	0.25789830574129335	0.03629634687198325	-0.36273747715259896	0.3260927435027963	0.296169271371277	-0.4370242330998281	0.41074729200100746	
9|1	0.008456057014429065	0.24978937239137866	-0.0557334727946093	-0.18353739319705298	0.15169968159022085	0.2571687293453088	0.009502896514793647	-0.06658285750155808	0.29070952250217275	-0.18545166036673863	
11|1	1.2287461699157018	-0.4949993435557152	0.02476663282471996	-0.017198599265042	-0.015171770343432435	-0.2163529717844144	0.1059542649365245	0.2422951629954448	-0.09629672748024849	0.1126639320572231	
12|1	-0.0875167961007331	0.15429465571822265	-0.21654945087547675	0.19019660162621832	-0.13135957616523747	0.03186886930006052	0.16553979907343977	0.21493678216586232	-0.05256273259805901	-0.11856979040357273	
14|1	-0.2308199686082817	0.6727803567397125	0.4555673501547271	-0.7108283516096827	0.1669094249646309	-0.38926461517984307	-0.022560067809965487	-0.3406854326655218	-0.6047626788702322	0.4876406251322198	
15|1	-0.9217387782235507	-0.9308066096646316	1.124776683586473	-0.4587588433918747	-0.970105832449432	0.19041503470462287	0.33965729175289433	-0.18091094295029111	-0.47765099706569863	0.06363341239824741	
16|1	0.09462934116193739	0.14043175157754897	-0.062004420319164984	0.07393793029192698	0.06874184871495541	0.05455269820103198	0.2084746672608192	0.03565955310306572	-0.019199385450534828	0.17361362978285702	
17|1	-0.9680246306098941	-1.1645537178936143	1.0871761207781219	-0.3819732783073842	-0.8138833620666265	0.2171167089862843	0.41576274720156814	-0.2950712950468136	-0.39296420181265085	-0.10188648111172102	
18|1	-0.012940829323995772	-0.1095590557376481	0.2581245591771121	-0.5193231074003167	0.04047463471848317	-0.17131251748590204	0.011479398064854067	-0.19135170102523033	-0.22985146461829903	0.5207976066848004	
19|1	0.050813555668761994	-0.2276035411716781	0.20236068491009546	-0.26688884336487845	-0.04877511214348134	-0.29001750933149606	0.09931857471274336	0.1820420388949631	-0.35234598846246407	0.29856193356290905	
20|1	0.8066271399423156	0.860737096965682	1.3159140359215287	1.8763155595413503	-0.3439174844227456	-0.2166694403582968	-0.48310853963943606	-0.8937331923454027	0.1175173697007466	-0.1707403755805826	
