protein	pc.1	pc.2	pc.3	pc.4	pc.5	pc.6	pc.7	pc.8	pc.9	pc.10	
1|1	1.1691944045726215	-0.7644562891766433	-0.1283901509185911	0.35349356549626104	0.29069132316500645	-0.3999764430661549	0.18483133715785305	-0.23091221384176075	0.08007814986604356	0.2909611926896723	
3|1	-1.5746579288336717	-0.6992753523619013	1.818404753357618	1.0321549881776726	0.634332875052633	-0.3410030730227811	-0.8072911833190493	0.0402474693094734	0.16502445876295438	-0.3500545221665383	
4|1	0.2575947114226195	0.4494219146885946	-0.28717250143726214	-0.3032278840737857	-0.05670613681815273	-0.26442018545431434	-0.31733881803164954	-0.35099327591453333	0.4462038362853727	0.2660551595065413	
7|1	0.2909889022141077	-0.5768575191076641	0.07203704278203925	-0.38734426072230443	-0.13192602863456937	-0.007621900775030037	0.2850889574843036	-0.16180235767991405	0.2074060735059787	-0.06034478121468738	
8|1	-0.10532603617720933	0.5337715621196659	-0.3477758351799513	1.137122745316353	-0.1688778355616419	0.9938211519380122	0.6584936224647662	-0.08597756484437043	0.002698479602404125	0.10332776215656951	
9|1	0.7066543640433173	0.4887949718809701	0.2487078438761411	-0.27431876324513876	-0.10019507938740953	-0.7696777129908349	0.3529707487334619	-0.3565079432346732	0.21647229752595595	-0.36349199613821764	
11|1	1.1800623018786327	-0.23189595906561383	0.3187239889220347	0.41735008096970255	-0.22186689350901023	-0.18492174753009674	-0.0679959985451811	0.056318748462155906	0.04295651903714516	0.30726257939441587	
12|1	0.048953905544959375	-0.2249488456553214	-1.3095324121148049	0.06966325383662593	0.4118391466996894	-0.4201301013283963	-0.09126977473791828	0.6488324833833379	0.13233110723372055	-0.20952231639038657	
14|1	-0.42876369753301413	1.2347912198865942	-0.07850349657253888	-0.09358903480117924	-0.43556248295786715	-0.20411631846004966	0.13489430052851428	-0.03787770860478488	0.3547764365609237	-0.3731361196463522	
15|1	-1.5534259901087009	-0.4111237460459288	1.8822000963507322	1.1285078649549536	0.5241327627770425	-0.12686140721412317	-0.9079445001682903	-0.1692617032013067	0.5324668301222553	-0.3990190679490409	
16|1	-0.010552990443822902	-0.43629529355787616	-0.06989449271423503	-0.34303666989733306	-0.47283702593405974	0.239716846745114	0.21546164666598444	0.07950504387911396	0.20759671815373382	0.08477187402546414	
17|1	-1.5914783777208925	-0.3144267528858806	2.0046881537600876	1.2508961372010667	0.3945587658948589	0.2583000557516161	-0.6850145755773983	-0.2504625729272705	0.515566983012991	-0.19978604525061816	
18|1	-0.1684149692675109	0.42182725823728295	0.2153438899270931	0.6375854636052601	-0.915429016458143	-0.42634840603620394	0.5268916052844895	0.17519643457832898	0.5044685414446101	0.3451504044534607	
19|1	-0.49097379193398394	0.16344541063157567	-0.27442693055103434	0.8855643842298996	-0.989079149237896	0.36074611135918677	-0.14507721293521406	0.31453069652817517	0.1518564931251782	0.07726181196348235	
20|1	1.0382737736985317	-0.7685076872821291	-0.3237172604362974	0.4418570310355809	0.6651953119758243	-0.06668618329627081	1.1556289798190724	0.6919652353090641	0.43082642802053667	-0.09962242139967527	
21|1	1.3306379276306486	-0.34089985710131	0.48114085580514204	-0.06795258990186794	0.028910819314438903	-0.1828389423981991	-0.15715881750330984	0.22539193177187875	0.17968388671292837	0.11295498839542366	
23|1	0.9476157480561561	0.1546419860390531	0.4388359951402531	-0.9261411195378944	0.19075517375962378	0.6859832986452367	-0.6079462619703748	0.7942088038445589	0.16677467822893693	0.11381019887316401	
24|1	-0.4434564644928492	0.33571756629254135	-0.2234454361258357	0.561144453557061	-0.9104590991745128	-0.49720926652751507	-0.16639991012209568	0.8220108032361376	-0.3844515380004616	-0.3711631252657111	
25|1	0.8325986228933367	-0.6084609204556429	0.3907561739147829	-0.8213942477182579	0.02089403202353679	0.3798078060582378	-0.20694759227042078	0.4189660415401764	0.37488241706415243	0.044670306368713816	
28|1	-0.881558904406171	-0.4494210855687482	0.3246497986098397	0.007546825489708803	0.39528734860651243	-0.16902812895287478	-0.2765789551395319	-0.10444890883388216	0.02102576710544143	0.6765618300728177	
29|1	-0.10370795326484282	-0.42921700432368654	-0.33074022906781547	0.11896458576421591	-0.11621113248056006	-0.3762505890384149	-0.709000085986057	-0.8116691149617575	-0.15997731105981433	0.4190191485133373	
30|1	0.026106242663462922	0.19849613854687242	0.038558084033856924	1.1915806097881032	-0.8486890669037243	-0.11416313685770454	0.18454559487976216	0.16542010599685886	-0.14183152806717036	0.2633453219565312	
31|1	-0.20538461607794853	-0.7645697453826086	0.12108584699996978	-0.5694454650169452	-0.30924501170586866	0.24125440094187758	0.3215821752072295	-0.1945084890917183	0.13048280048731037	0.37656321435708956	
32|1	-2.1388027144614807	-0.7137791944031572	2.7130604327182564	0.7954104454615437	1.640114124632402	0.04074490352732673	0.34221786573037544	0.02225493564134513	0.36221314454198894	-0.52947628733056	
33|1	-0.44457119810032747	0.4180104867520399	0.049136390704051194	0.17555640062093125	0.11587530136336281	0.39579338755476695	0.9727945375267278	0.3369629799144478	-0.8584349437761102	0.13198358323270673	
36|1	0.6362232422910414	0.30657928574430626	0.1898237145676206	-0.4045592506450007	0.2206397242842047	0.22591241404018012	0.01142624511534791	0.44504593493612504	0.5346095839457198	0.2623987580257626	
