protein	pc.1	pc.2	pc.3	pc.4	pc.5	pc.6	pc.7	pc.8	pc.9	pc.10	
1|1	-0.38899883901017185	0.24415343604030262	-0.03058626716909441	-0.25340348086775966	-0.25102747408768206	-0.045435231659635554	0.2814446594650379	-0.13301252141852152	0.06225782032660575	0.05084517464230161	
3|1	0.47825621921735095	-0.03879406906758471	-0.2761113123702385	-0.3109091619792585	-0.11022416402913204	-0.12384160984889946	-0.2243859431339131	-0.07723491133147616	-0.03570896872471718	-0.034998456974463986	
4|1	-0.004164144976439673	0.2103943532461999	-0.08351200994745425	-0.014311081334649811	0.16973277072632775	0.057897303956724884	0.0729662639909042	-0.0165137511376815	0.023166693789961196	0.005487686251972854	
7|1	0.003144981377980966	-0.2656130168550252	0.2394365147903171	0.1553003627334773	0.0799907949450349	0.6020124247637454	0.10923631693640916	0.14587050168753182	-0.04418313612225395	-0.15804964241997216	
8|1	-0.2834190461445053	-0.060161334332403366	-0.0014103163630324292	0.08211236063548541	-0.10251821664312184	-0.10238055973840132	0.08608764716323102	0.12727936793032843	0.13046174679858738	-0.08678040001546791	
9|1	0.04624056593061923	0.48784309178776325	-0.08142859010641121	0.07999953058231617	0.08024827938948824	0.32915899449431707	0.09068092079433913	0.0316662952218822	-0.21295408043796235	0.27075722833496696	
11|1	-0.46125251832341846	0.15402714851389682	-0.051172656421137816	-0.12506202893634097	-0.010438563680523247	-0.04640344297155976	-0.012579795326822464	0.030305918649889088	0.059607923713814036	-0.07066194322924205	
12|1	0.2964130311464432	0.2560814656749823	0.5270991447754445	0.19520169714907373	-0.05944117032028137	0.16609854720998016	0.2533673551355945	0.28920034743124545	0.34618493276660645	-0.3039544215646639	
14|1	0.09318809095461841	0.09918028131881662	0.10605818942514748	0.5145001324923465	-0.5520534704266121	-0.12034818237483946	-0.01031176469352257	-0.0704443945626809	-0.22767141633375812	-0.18439679050304886	
15|1	0.492054614595132	-0.08703240239467909	-0.33471130571417185	-0.099028344680667	-0.2858609152166455	0.14696964488928105	-0.14587426906881934	-0.2107660370837413	-0.09506393334574854	0.061684786200986344	
16|1	-0.2473271677814452	-0.2392915527192008	-0.04100064003257949	0.06863733692604529	-0.03909760891593686	-0.10182516868896414	0.15470818410562245	0.02293908181562741	-0.022409821253514275	-0.0051326389408297675	
17|1	0.4263000339363292	-0.11640956843757976	-0.39504440283732256	-0.17881355925037917	-0.05162340812610617	0.0673167957851011	-0.004363515400635605	-0.15788050464869077	-0.11003261383918499	0.0353698997031354	
18|1	-0.10480784938192104	0.115885340990163	-0.14546492513424758	-0.02214650231728337	-0.09712641119819954	0.009675930922292833	-0.027434318734579407	-0.17381744776785366	-0.03394055278232506	-0.04396656933075425	
19|1	-0.04690984618654567	-0.0013978373919500398	-0.07733761486383052	-0.1810011256510665	0.007209672589701013	-0.12736980595977038	-0.06486050471233892	0.0699130868324236	0.10730276023138612	-0.044002286336325754	
20|1	-0.39020522637300453	0.08088334424789861	-0.016839401265311228	-0.016354281769776793	-0.04282213973065488	0.017714592325637397	0.14335245476046343	0.12668373161185162	0.10718815291838654	0.15783821341196333	
21|1	-0.55914391005857	0.4797487033412447	-0.09934431027774886	-0.3061182933329592	-0.005167740929797303	-0.0038409543906247168	-0.0011874558275567983	0.021857098975425867	0.08950568630162678	-0.0405529721680093	
23|1	-0.3677574289290572	0.09283435903460673	0.068949682153151	-0.09093510834008146	0.34813456867609327	0.2403963789541767	0.18057532819415334	-0.07677844144222827	-0.16873222894132975	-0.0892859268508939	
24|1	-0.15133859996646995	-0.05161340121728006	-0.08003885307000572	0.11686580514588046	-0.13304095390424855	-0.024014366808780465	-0.049728862815808184	0.035737905599573794	0.09278433887148665	0.044985542143055925	
25|1	-0.4218882671892601	-0.10524947750285549	-0.03096263206576034	-0.07814113999581064	0.026928021223333626	0.42474210420806763	0.02335156597084831	0.07610161836610523	-0.12059509929394731	-0.18138516429640697	
28|1	0.6579720996593726	0.0048230047414318045	-0.21307261324609	-0.4991709679027444	-0.05361153535843393	-0.14451914577454308	0.09010501337463053	0.14681663162625572	-0.1813463430579564	0.041448555711605925	
29|1	-0.112102077913769	-0.1749596417398298	0.0989629406084598	-0.17386238268543167	-0.08710350854031493	-0.092393380066964	-0.08596216936052034	-0.09177032705745101	-0.11376501925955441	0.012234607870676293	
30|1	-0.19606165386577984	-0.14461758615447415	-0.08079851259367536	0.14654138833806782	-0.11576129216161701	0.0544441837390883	-0.11559579023382557	0.16039088226292883	0.0732785106179755	0.007144682624456703	
31|1	-0.0892174018063756	-0.3485056027764711	-0.053049555523548605	0.09840304588266094	-0.09307418016848758	-0.24825480272059527	0.41524986997795477	-0.08499509407100822	0.006688032942786923	-0.19368423809669338	
32|1	0.5658769598691389	-0.17361927764278895	-0.5902020642473761	0.05858971807177694	0.17416121142976465	-0.0034586339166976974	-0.003237954478392493	-0.026471875585326134	0.1796325657217195	-0.056787001194806015	
33|1	0.17808912816746938	0.002207341501326596	-0.05658021039275903	0.21640483511737776	0.3003819658883014	-0.050725369560240215	-0.031665644206259655	0.23493502215821024	0.15057218963472532	-0.1661834168690848	
36|1	0.14990111754945099	-0.026879035335270474	-0.07476565503313225	0.21883734382030548	-0.06075833468845936	0.31650251145206454	0.07548902662449616	0.2533498742402175	-0.05159810529187187	-0.20681515718305624	
38|1	-0.38195637229777996	0.05631659387636959	0.0018944473307192563	-0.03012793481328572	0.03670178984436148	-0.11336815891582223	-0.10789476397142328	0.07008008900210984	0.16222559793803598	-0.11809962079104183	
39|1	0.1433175340735227	0.31220490784779853	-0.1777983719649609	0.045128905887199484	0.18355813021724512	-0.26441088110320654	-0.12533159121139706	0.2715525145335842	-0.059476545011633145	0.04549989158025314	
40|1	-0.31785055205896845	0.14227995288839432	-0.0984683206772978	-0.042766737651976465	-0.22117006251366528	0.04953145430122306	-0.18670747897661605	-0.21074301440170204	-0.12459995513278754	0.07594397253581814	
41|1	-0.2681780503812476	0.2400729598263362	-0.11723429114265194	-0.10555543824028293	-0.1683639348945778	-0.04700478416124737	0.2856968208078857	0.002723814767056818	-0.015653365463424145	0.09501801970799698	
42|1	-0.07330904661400016	-0.2582347956097506	-0.19271940125295176	0.100449591973494	0.039164991077595634	-0.08193608819848562	0.20936897726493814	-0.03834062556823906	-0.08958139672695889	-0.017121412358464625	
43|1	-0.19455998642160227	-0.035416797333849497	0.03891331814838913	0.12528150315310177	0.13039956149809537	-0.039654079454551	-0.022471091062030216	0.03612634208543644	0.16767318868438008	0.08039593475813271	
45|1	-0.4448986446187823	0.04281149736345917	-0.06659597143478235	-0.0724474628479706	0.0509386570225727	-0.060644917274315466	-0.02546161123367891	0.022313436802612233	0.013248439713111178	-0.07284931687763933	
48|1	-0.48254412981256056	0.11676440326044751	-0.08400582049750752	-0.12548627999650683	0.062174020601400454	-0.026797620954397576	-0.0004294066605985682	0.009046830076799739	-0.0002223178141449841	-0.06770570141746476	
51|1	0.5533984435711442	-0.19908456596289842	-0.5759906789026885	0.05259675048511212	0.1359159474936669	-0.00057676430174157	0.003996212661357785	0.025978719085960885	0.20206139802760947	-0.07543412899214763	
53|1	0.12667626443798388	-0.22656472672736805	-0.06519897617918355	-0.017038567925356914	0.002573559414149183	-0.12770062141610947	-0.19175849072802903	-0.021694927272970538	-0.03848747426345424	-0.0742788216139536	
54|1	-0.44887244591391345	0.17449171172286465	-0.04108450893007807	-0.11390034403380618	0.03881233266610989	-0.06549388524222548	3.3119034825931634e-05	0.007759205615146578	0.031279889433789315	-0.09469254655790517	
55|1	-0.12425329184362315	-0.36264257324780874	0.08005422171672374	-0.20046490220286442	-0.015564802192078104	-0.1227938210486133	-0.15078004243679624	0.2671844306322072	-0.14287702200304178	0.06969022523399755	
56|1	0.06405580453986655	0.29030628807134856	-0.08818630519085037	-0.04422548161817762	0.014926401937634995	-0.17592550842877075	-0.06152262950568293	0.2169239716082808	-0.04844981486938835	0.062270442320869375	
57|1	-0.25002925267198706	-0.2678094241428471	-0.03334608782971356	-0.024380602508202898	-0.015103028487754137	-0.15867817207459858	0.0032358709887947185	-0.1695724754489401	0.032055712210720844	0.06362245543803355	
58|1	0.5904060220158434	-0.17525980046725162	-0.5729587168261917	0.09231701876703287	0.03249398893543356	0.055301002600336005	-0.05052857081306769	-0.08162598244410159	0.15089266445252397	-0.009072519908610233	
59|1	-0.22181547889741388	0.28480841960561687	0.009382680686996553	0.049870883718753825	-0.04359053499256289	0.3673277509657867	-0.10923218912319443	0.11771920422406748	-0.1729155431274206	-0.21075548007405337	
60|1	-0.18852236081643092	-0.3231282233285576	-0.040139330826031466	0.18150422841248248	0.12804995978697226	-0.04315119974195385	-0.03779550964815805	-0.07484201558582547	-0.04370326669433153	0.15345934640508652	
61|1	-0.23063175710087588	0.17434010613592302	-0.13773651450770433	0.014218204299296005	-0.23191467672904464	0.04116146334999159	-0.17909522772345232	-0.16966069473140033	-0.148365137157542	0.14289461166178338	
62|1	0.45397994715219503	-0.14224346310765795	-0.39956781873515324	-0.19118491476010976	-0.08483533888193891	0.11104965401114361	0.007868708144479535	-0.19642607004717144	-0.07830628752950992	0.07811394362832136	
63|1	-0.2110802274700219	-0.28882258763762114	0.003139578413565748	0.11982699200141039	0.011212247213508912	-0.053313031021777986	0.10341195263735364	0.10765205970555437	0.014929225914219583	-0.09201283645468107	
64|1	-0.5030600819075723	0.5388575720519222	-0.039078621192655476	-0.15049227817731423	0.09192824841854562	-0.06321637238594435	-0.11516970716705165	0.047476507074801846	0.037896640419551104	-0.1775238979782569	
65|1	-0.0010416143479560843	0.32176789951452656	0.1334631058303242	-0.11105745751998564	-0.27635739381523056	0.4040076996732697	-0.04579915393874331	0.021382293881622605	0.13999353029941614	-0.06297428059626065	
66|1	-0.40971684882819914	0.10442377811919007	-0.04441531248914883	-0.1456663265531139	-0.03836388022482024	-0.0642237183390203	0.04090508449068785	-0.06198508097156991	0.030336103887553853	-0.030973368386842805	
67|1	-0.4507873631088745	0.3084753695224526	0.060652114056285684	-0.287836845860208	-0.14780462464003938	-0.11030908426329161	-0.28196191268823717	0.3876150406388606	0.315667618803475	-0.08385937457196029	
68|1	-0.42469278761918255	0.05017918281577011	-0.0500751154950981	-0.04950032024391206	0.09917074045004289	-0.07404684087181712	-0.010081894554057273	-0.0062264450784945595	-0.013527098745436096	-0.0922908893418175	
69|1	0.5357934763073433	-0.15202608920076024	-0.5401034999765479	0.10968650139064595	0.1136301360216858	0.05480443461057557	-0.05272355629159733	-0.003556108055111249	0.09090980372741765	-0.10169078674942661	
70|1	-0.431840006643033	0.13452107038229805	-0.02136716873063663	-0.2680256365174834	0.0022688504982178483	-0.08453780667121263	-0.10457691482607585	0.13058635867311522	-0.011147349629048856	-0.00878461318032982	
71|1	-0.21468875159038647	-0.316110048489379	0.052984101789928684	-0.02162785238188372	-0.04667302022005789	0.33354368610971824	0.05493678066236474	-0.03647245134258723	-0.05400651735497626	-0.147780024983012	
72|1	0.045550844451519336	0.1904360972563588	-0.08628719072255366	0.25493744859133455	0.042113545754069906	-0.02128353816415094	-0.08315897592080104	0.07788599340793498	0.06419200050347951	0.19111771197300892	
74|1	-0.26900506129487806	-0.04308911305500357	-0.0797033326604867	0.038651135850078594	0.06311165000414241	0.13143782638671114	0.03233456106863824	0.1295972512846553	0.05940846365301411	0.21211163075355904	
76|1	-0.5023656192021634	0.397473827622312	-0.1358209626950297	-0.2635747027273176	0.4952756966029907	-0.008000484909360409	0.2761008246340631	-0.2845490132025369	-0.34873201246812907	-0.14937303237380428	
77|1	-0.2551665293606758	-0.0543209112582931	-0.14073482222346967	-0.07941631923545454	-0.010508781287564469	-0.012855674445343288	-0.006917401791053664	0.013891238729731296	0.051970103260920095	0.05276995243277179	
78|1	-0.2715945507955555	-0.2905805141400109	-0.04513086684560267	-0.053645813419743685	-0.047290639997487456	-0.10631930597529043	0.011434254046312431	-0.18282763874751187	0.06002664961473301	0.09738489727225	
80|1	0.1870930370550149	-0.1275693550023071	-0.47721592171112887	0.1948142275603821	0.41269194923689373	-0.1834793101960365	0.0725304500145524	0.11238036116005558	-0.10026561771121262	-0.07810244963440846	
81|1	-0.5033477215211274	0.5377369382403461	-0.03962477298500351	-0.15075810005257165	0.09191045175827545	-0.06320466933049075	-0.11532662836172934	0.04768675179938364	0.03768123069928776	-0.1775040066720051	
82|1	-0.1492363541403277	0.26041435674446356	0.022472331633703126	0.05794506868874519	0.00609631874228062	-0.026769807624899805	0.2777594528826036	-0.13504753447703016	-0.12371281523309874	0.16852301384074383	
86|1	-0.36255885171786184	0.06806648755781283	0.06141096187386751	-0.07737092436221886	0.41675998766113953	0.24196323922292542	0.17425685183191786	-0.07833113100504233	-0.1775968399436631	-0.1050636901892536	
88|1	-0.45244755376844387	0.24249207967412612	-0.020347307355667303	-0.2197945824430957	-0.30268182426967216	-0.01573197201932607	0.2247278995573842	-0.009776009791331017	0.08325402196682599	0.01509166080372855	
89|1	-0.20470976689924503	0.2235441874973081	-0.08895769455825543	-0.3962884053278037	-0.08103001876283226	-0.09686487204930358	-0.04270148502360398	0.05338528098849144	0.11894104632125821	-0.039338361430875414	
90|1	-0.3072242566229376	0.2883993348056723	-0.11238207447219248	-0.11213952792737927	-0.17440891832654598	-0.05331929318919229	0.2514555379157606	0.07363174869826121	0.007099831630530733	0.07115158433630552	
91|1	-0.05073280047098089	-0.009891314678246771	-0.20957801124856665	0.312741091411032	-0.059183655466700645	-0.11643633238817931	0.011773647363854868	0.3485417869674148	0.0014751688694718866	0.05414028039638099	
92|1	-0.11668554571598262	-0.1922964871924951	-0.09156878205826526	0.037777524712061084	0.09045647835375617	0.10264906513814455	-0.06635160616646964	-0.016675760512097713	0.006054831796697115	-0.13365228835210682	
93|1	-0.15880755781259476	0.3681261105136412	-0.021256297986537952	-0.11363840620891522	0.010785045311729156	0.30675348983420925	0.0406136880443975	0.13183497211723363	0.06284098250214135	0.06429786419126071	
94|1	-0.1759400061037144	0.5021769426068683	-0.014667463123837007	-0.011994165232087985	-0.09592084076804595	0.04487916779018458	0.02739143680775722	0.333949723136039	0.3431961319719261	0.04087095018580264	
95|1	0.20599318067719416	-0.18052698765150826	0.1281177404568553	0.016218492756143475	-0.09446951404698829	-0.11029661072932584	0.21617753704069254	0.06125229832741756	0.002229511208826586	-0.11140793596630674	
97|1	0.04859567328759913	-0.22679584943849238	0.29576072357491423	0.22547180159584285	0.3654726328918229	0.3240381589213753	0.15291135207497336	0.0463861426275839	0.2505965112993111	0.5623606616117228	
99|1	-0.23407891194422328	-0.2906443321886939	-0.060000761109372226	0.11347180108948572	0.11171184782315126	0.004037799843209227	-0.04532774506409572	0.05653926405324205	0.10991374902364318	0.10721740481037298	
100|1	0.7610292264179213	-0.10496592762044538	0.43988539113084363	-0.628604014551317	-0.1881683690575111	-0.09473271263468167	-0.15138536518917398	-0.34237764330140413	0.08994897493398131	0.23484921058974395	
101|1	-0.3632213532068493	0.3767211765558717	-0.2045990446201736	-0.2544662151288399	-0.16194483574815235	0.029160494072766583	0.1330288303814848	-0.003279453271155267	0.0003920611802555233	0.20666030655009437	
104|1	-0.1718427448152483	-0.1699811057791299	-0.09022140422264233	0.0377953419519209	-0.09886857119886591	0.05855445778834059	0.12120462850929364	-0.030224988188758687	-0.02078251435951033	-0.038852268508864175	
105|1	0.5875223945975762	-0.11149096495237588	-0.604194353125298	0.18496452673272284	0.001638320853672571	0.0779294593110327	-0.1476965430392659	0.0349422675560174	0.08470491811589512	-0.019976938544905044	
106|1	-0.34939075598942027	-0.09800462967720036	-0.011009942346423763	-0.029073617461414666	0.12376724597049898	-0.04453752527176643	-0.012907135213284883	-0.03786900994324129	0.043454234452467544	-0.08879644937701486	
107|1	-0.11024192830234786	-0.028440375934589295	0.1226977061213761	-0.01967597508087094	-0.23655598007480147	0.011768145523358784	-0.09353764520995142	0.18645383669111062	-0.04877288165168619	-0.09762559358384501	
108|1	-0.13989770646066468	0.013151180173551585	0.13243314110846735	-0.0037843124103085373	0.027029451005492845	0.25984299241845954	0.01839565018394233	-0.12338341408421363	0.10624876393090138	0.3768833357479979	
109|1	-0.26946632901933654	-0.08130388753689212	-0.04872111271910763	0.10080092569317847	-0.08649211010144706	-0.03956138066513932	-0.1370984575715015	0.09079817632099065	0.11096364608340561	-0.033905932774970615	
111|1	0.011329969112950857	-0.09150096797670121	0.12870374736037915	0.3406784390865367	-0.38879354213747613	-0.1462775373866664	0.46933469199102384	0.23895599795625866	0.053807488259107264	-0.1388719675755197	
112|1	-0.01908104069416189	0.2871194124101666	-0.022925892685347962	-0.01206246994337811	-0.03808571374067963	-0.16274120097447467	0.2560087762440178	0.15170275040421782	-0.28616872425853984	-0.13476879745406123	
113|1	-0.2810278769239921	0.19818876278143666	-0.1528527459856837	-0.03358136616450826	-0.20834965803309172	0.03847609231851763	-0.17196829337544092	-0.16489109279692885	-0.13590380643136996	0.1192702391465294	
114|1	-0.11371299659682861	0.058570958604223504	-0.13338480904032535	0.2025973061600173	-0.20749384808743976	0.02859327350054769	-0.123687644179454	-0.0038631393019334104	-0.13169853967161496	0.09540508193906676	
115|1	-0.06923768610092423	-0.10769503089838688	-0.02800114870205268	0.08618133541648614	0.015755212563955207	-0.039530633107666	0.23381905293887306	-0.08641522070101675	-0.04528019018538355	-0.013960662123686724	
117|1	-0.4454886412495335	0.23933637874367533	-0.14285064646810192	-0.1632008739088958	-0.17418984956909686	0.07717235583092696	-0.10839235017594069	-0.12610057616140016	-0.07929427625982063	0.0942148673620373	
118|1	-0.146872589871786	-0.0629905923031527	-0.08502350582623502	0.09453223937810823	-0.16435737029155872	-0.007195914431919582	0.0005467155171804786	-0.013075476527588259	0.055422278237445055	0.07465586634193976	
121|1	-0.3129511470070741	-0.13483105431920034	-0.1046553149179677	-0.030478881714945366	-0.009347053409005544	-0.004990849515948611	0.04635601144483437	-0.02691787390076722	0.02871652878186606	0.034562469479614215	
122|1	-0.18384439868733352	-0.3398397446416409	-0.04812318696742821	0.13231851947723222	0.1601913664219509	-0.09302983845813681	-0.031328576250963046	0.0041180866633368125	0.10587415085334663	0.14104240779418287	
123|1	-0.43257017554708127	0.14017527877371794	-0.03025475456836948	-0.09190497447466257	0.0303972193120661	-0.08862010870196915	-0.07524994573309017	0.04556041447113309	0.11255386938737083	-0.09509492926470837	
124|1	-0.14258514474757167	-0.32428840303084466	-0.04716469188603682	0.10937131852587534	-0.09326821310142606	-0.23300889582378997	0.3978266322087191	-0.0026511886929748555	0.011390568216577104	-0.23301874408683915	
125|1	-0.12477995340546014	0.33088149292405455	-0.04143816845744138	-0.16320880448098504	-0.09692846063985512	0.024766159447240515	0.18373759165609452	0.14553047069389632	-0.24738687925077565	0.02109711160055531	
127|1	-0.1659909492275798	0.3864130211900215	-0.000783219925964948	-0.15881176905597383	-0.17900052799263855	-0.18500527527522967	0.12371350878143048	-0.1112243217595819	0.28176445945539463	-0.1425048229040212	
128|1	-0.14220748651901768	0.05325867160590783	-0.13906422350715933	0.23564126012640557	-0.1159559587360457	0.017185979298774922	-0.1507531859575474	0.027464730145451078	-0.18576029850827486	0.06798043553574427	
129|1	0.1779654928429319	0.2677386602777652	0.13283532663196454	0.2972990275806072	0.162925034524986	0.6295615358029258	-0.012826688909370436	0.2560481222081341	-0.27703117244416664	-0.06977376756040034	
131|1	-0.5549945386773348	0.8536628294690807	0.009895256959221251	-0.25428117549831475	0.19711754578628646	-0.11758571032358368	-0.054143327064366066	0.11650964365912451	0.13430722863880454	-0.2775947095271488	
132|1	0.2790728870773752	-0.4208280794554707	-0.02150228246519268	-0.36522610117860616	0.015359714963787914	0.25046791796493145	-0.12224563455303002	0.17148926809254628	-0.16026364674551022	-0.16582297030710214	
133|1	-0.20780361194216043	-0.02698759025496548	-0.016492808918186407	0.033034828637078316	-0.18806327215695953	-0.017646980543602375	-0.07410221243398357	-0.04368359737571477	0.13160568355597652	0.04595448977234307	
134|1	-0.009487194415250337	-0.2747567094662788	0.16479474202686595	-0.08895889734805372	0.13119373836281675	0.3584085260738087	0.08069877743137135	0.03967386848994156	-0.015236601045410476	-0.05216075968754278	
135|1	-0.47157586268416224	0.15810755398000514	-0.0636245984786134	-0.15827670461286428	-0.046704816724998245	-0.022849451049871728	0.04137843587594636	-0.012582472013789892	0.014371373374079007	-0.04160194692902848	
137|1	-0.034884597963108555	0.0003787343275918054	0.29028561110033324	-0.14098034754799865	0.024156492421258217	0.14828378771684617	0.11305762947904424	-0.06977306489766408	0.05025074013961886	-0.011047373486656867	
