protein	pc.1	pc.2	pc.3	pc.4	pc.5	pc.6	pc.7	pc.8	pc.9	pc.10	
1|1	-0.629638621999897	0.4928656331967659	-0.09620758008392637	0.013829793755829312	0.3289103910953431	-0.20577485166035964	0.12675190194168853	0.5428776135405404	0.49327058248446765	-0.0045008229911206975	
3|1	1.0431178257963927	0.7477024958718573	-0.2023515297917922	0.0261926448107028	0.6657330347660717	0.25796789469510517	-0.4101892178677336	-0.2753656994147041	-0.26380535400168204	0.233139165417306	
4|1	-0.09219867536705759	0.08306972968441416	0.05267172331206648	0.29245466427309813	-0.04594368286940085	0.006548902005818278	0.034413973540578006	0.2098788843110442	-0.1897380721576812	-0.254993674952711	
7|1	0.011637087799047072	-0.44345520349509754	-0.2415204029056664	-0.20971660272302511	-0.03029276620556491	0.1638239988510891	0.5993426306338034	-0.13766533896318006	0.017887102169243968	-0.038116319184485416	
8|1	-0.34828135509475466	0.12187319690977587	0.08417831309940604	-0.2984948656652818	0.008059073326398419	-0.11281754683312967	-0.1696776202178168	0.05644577403105946	0.17080741368058788	0.1594794799204572	
9|1	-0.18325463394383182	0.14295078175940906	0.3684482624513105	0.3788039422594323	0.12484655732005877	0.2068072356921346	0.5340413247088683	0.0659016812836073	-0.07114400466909003	-0.31144041774395836	
11|1	-0.6246134129680845	0.41356982080740456	-0.13414349342957216	0.03223612994353215	-0.03185422789490495	-0.06428678979610979	-0.20707693676629188	-0.0735571195237168	0.2041185524773761	0.1184848893175117	
12|1	0.0007282996875645819	-0.5513347460015092	-0.06411737682604308	0.2551608983341392	0.018275548198790563	-0.3748999076303593	0.27560432629260023	-0.12433443055755514	-0.30687742705349375	0.4805589416059	
14|1	0.0442264042854514	-0.13763168737050763	0.9322558157046246	-0.37455084466035854	0.5836090336006008	0.3996689006647288	-0.2518145075379138	0.11690723277418795	-0.20628784959179514	0.9127711619268515	
15|1	1.2271699397304963	0.8800773675192815	-0.15096407195959297	-0.16008349550199286	1.0838113572264476	0.6699733415227069	-0.2469221411169972	-0.2118454513714535	-0.42847308955795305	0.1376845470207411	
16|1	-0.1500788755538179	-0.07752028473351935	0.02020940801576506	-0.3932291539546206	-0.17566579299182022	0.06939329555926126	-0.0529550190322341	0.08701038144269979	0.07818190387381745	-0.007016362326446497	
17|1	1.2082412293658582	0.9822770338380132	-0.3685963472681414	-0.03621079972179789	0.8066674889164636	0.6410790054027908	-0.18693547765699067	0.023479404422355316	-0.4292458103543311	-0.10213193062156632	
18|1	-0.0932686535100666	0.39154510054749736	0.21438392366583098	-0.09626644536536506	0.02686994474169013	0.14525349607981095	-0.14844853048783693	0.038421491260885336	0.6132413719855395	-0.18434898062564464	
19|1	-0.019529923603546284	0.24916451742666768	-0.03613860067337432	-0.10948887954506427	-0.002875828794918699	-0.21014556357298333	-0.2432366409960786	-0.021655472045342707	0.3249792791031344	-0.1920325524300479	
20|1	-0.53938089177688	0.20353161105458073	-0.0009277929795477705	-0.1794547150799606	0.13317029771065172	-0.4647500871834777	0.3729612309978728	0.24636093807913567	-0.7397294805075919	0.26114236016325154	
21|1	-0.8626585069815216	0.695356087682292	-0.19979070136810348	0.3171362934238553	0.01789096609456126	-0.17390917765765904	-0.05837073613142186	-0.05739390039710345	0.056948155437955145	0.17700614000139206	
23|1	-0.49838965080106173	0.07196013971647375	-0.43718469145348754	0.2152230615878272	-0.45679297415223086	0.8106237761369014	0.30609184213186447	0.1281751383756976	-0.058663190731548825	-0.16688879411393537	
24|1	-0.08871260505428841	0.03279114914653916	0.4002262425227767	-0.46243933645501534	0.10100521980146375	-0.07803563667035925	-0.15837144325931576	0.1205738763255228	0.010499891645881205	-0.26637368811922524	
25|1	-0.29587133320815595	0.026077287657573698	-0.3149351809975736	-0.37107985080317163	-0.08027060586978142	0.2664188455674862	0.3741949482696007	-0.23561747590647	-0.11730009700659709	0.07620516684295722	
28|1	0.7137019596847862	0.24552048290322262	-0.2077120440750036	0.3215173417126487	-0.04432673459357603	-0.2585800590628291	0.33632603614340834	0.20306568978193956	0.16573416799465662	0.2528357055341657	
29|1	-0.12488101291159322	-0.1689166206415014	-0.24144377930472408	-0.1745459171752856	0.10013290521660156	0.06447960528684953	-0.08518034301313678	-0.027472336426146972	0.37457254318188477	-0.12163543939888193	
30|1	-0.1423451420401668	0.009129658618342825	0.29092419921987406	-0.5475355480598517	0.04850960075280371	-0.059424906797987696	0.13081934588624336	-0.1899491393989722	-0.029614257205319332	-0.059246594782970105	
31|1	0.09519799282263453	-0.17894107225692255	-0.20762185678624104	-0.3561103932454767	-0.36440062070309653	-0.026335859108240493	-0.25552028165270063	0.6591377857147241	-0.05266030898951209	0.34017269326798494	
32|1	1.2046253066485226	0.6051610047628102	0.07635358131287505	-0.1882823186398539	-0.7907828802324429	-0.3229575710361661	-0.1111298652048161	-0.22447383444227145	0.027556461298588922	-0.15339443498220387	
33|1	0.1744842717585409	-0.22033991683352563	0.229733032782362	0.028473910155935422	-0.4929705893375689	-0.09812262920725562	-0.018429258429903433	0.09738405975513108	-0.2306151730304882	-0.02216913882349278	
36|1	0.16831176505309012	-0.10134335065918865	0.23726172265282733	-0.3073901370762124	-0.29242264825103664	0.05118460440658794	0.42936614262613265	-0.25746059223267515	-0.002916709787913927	0.27969543316466083	
38|1	-0.582619181760377	0.3175160596178226	-0.214115129009701	0.07098430246063965	-0.1372562748644726	-0.22027063211962966	-0.3793752365351255	-0.2906236466924627	-0.08000106098909385	0.3077238352793941	
39|1	-0.016779000156875654	0.1548424085338443	0.3716118703112373	0.40062822622770167	-0.2264603346405764	-0.22949268043646853	0.011572858334804079	0.012307892773870207	-0.2046875343151015	-0.11274640348855997	
40|1	-0.32545033370887677	0.21143642802051726	0.05906722944648992	-0.05863920163693199	0.24741725810701046	-0.06092663894526032	0.129955232797868	-0.12736283515610994	-0.11880566902810925	-0.32326573767870487	
41|1	-0.5141623280870997	0.5512562528761901	0.17338513708154213	0.020999456686742298	0.2908009084740127	-0.10490821102777258	0.257035623145526	0.564280022056261	0.44703564589848704	-0.11362190985416115	
42|1	0.21818599101796912	0.0955379266782712	-0.1105421796168393	-0.31460060086716557	-0.21792739955021267	0.15263065412217255	-0.07513561390321652	0.3178425698642482	0.05256372487087609	0.038294269021597584	
43|1	-0.12626672363916913	0.11402279658209835	0.03742417351026224	-0.19995838402775631	0.19342388508474517	0.11462049339833447	-0.3329387281252034	0.2721039839033325	-0.4766338197374321	-0.1796089584272736	
45|1	-0.5362482332731976	0.31471745518716077	-0.22982625155927577	0.01929400200993999	-0.15522708932584245	-0.0033277298397072904	-0.23756977247932437	-0.12162846874762938	-0.018288807849915146	0.11488916653074424	
48|1	-0.6257733136224679	0.41348375349793404	-0.2699923104497368	0.10042817389152445	-0.13812981239378383	-0.039285770057995224	-0.1969764913825244	-0.1376994921836788	0.02288317024413832	0.1479844292102382	
51|1	1.189876768029817	0.5630361589188673	0.07901712175854664	-0.2335224720374355	-0.8820215225888616	-0.38311751324924076	-0.0730855314439272	-0.26448678465753545	0.14310613697880703	-0.0963430279188574	
53|1	0.3393370554330171	0.0412930325484459	-0.09999020665893442	-0.18442639370944758	0.07969558341225318	0.0573419767252862	-0.295266028804563	-0.03206728760679043	-0.13996513980079756	0.022190359882083954	
54|1	-0.6300845229149007	0.40947740974985514	-0.2385746864605606	0.13075115670997015	-0.11982528011154592	-0.07525659371514917	-0.2689458990239888	-0.13958227790760555	0.08742060774130109	0.17842032482622536	
55|1	-0.013816115881081975	-0.15973600965897544	-0.13355549538737643	-0.35925408599198383	-0.027628327463863657	-0.05503157391169174	0.034309089371726414	-0.07836769088079931	-0.024106879810353338	0.03172030051235058	
56|1	-0.1254158404757121	0.16326454785750055	0.2764163484106674	0.2594733661955106	-0.004268817727207642	-0.23975632803446814	0.06597412407043664	0.046240634346212985	-0.005293494384050226	-0.10628066757411284	
57|1	-0.32226793992160147	0.1683906699437706	-0.09986833004930704	-0.19648235740399314	-0.026694781422063982	0.00679071037218589	-0.26144779090099635	0.03607317046160385	0.3424296770624043	0.03975446206771854	
58|1	1.275482036388188	0.6422508200409911	0.14243678053543118	-0.2569849753100347	-0.5570329700728305	-0.2277632418616059	-0.10781429018287435	-0.24433032250196374	-0.033638299362340196	-0.06569862505764029	
