protein	pc.1	pc.2	pc.3	pc.4	pc.5	pc.6	pc.7	pc.8	pc.9	pc.10	
1|1	-0.36903835240424754	-0.3993855962886506	-0.13239496235416467	0.17902662400901842	0.32846484459304537	0.038984995832881515	0.23968329323806342	-0.3389146565078986	-0.3360160598042256	0.087071049271314	
3|1	0.5992042813199847	0.21406805996804787	-0.4312817510475324	0.05600056066467908	0.22962664263555044	-0.3499072503879198	0.05597254718043347	0.21158601859548942	0.2673496861951146	0.05389683046584742	
4|1	0.16129346658379537	-0.2951835156136156	-0.10021130487143244	0.09361080369950772	-0.05359929723159097	0.0963222224059893	-0.151017122711727	-0.12061699832332753	-0.006961033364608525	-0.318552849181511	
7|1	0.1681131216676803	-0.12354642797083788	0.6831321589974001	0.40244761064387535	-0.32499334064252566	0.5136012721957122	0.010374344978556542	0.5934822866593237	-0.08182100424929799	-0.33748949867320704	
8|1	-0.6666358265978706	0.08780105412031243	-0.07322273619652189	-0.197254809571266	-0.06191411213957448	-0.4104494672785849	0.08388484969707018	0.13188286492319437	-0.39277802010401314	-0.0147615981163982	
9|1	0.06544425645007823	-0.5143838515271112	-0.20058393613327752	0.17422424997223668	-0.14924645036219897	0.3690595124966569	0.05070054670778813	-0.059296448748446404	0.1492268778222734	-0.2314066903110563	
11|1	-0.8804374198197087	-0.17406906454711846	-0.17639540456676456	0.0383125158099681	0.22010360218356725	-0.22122252004318146	0.0027263597241643234	0.06445830757180816	-0.1263761590590348	0.12024494421559362	
12|1	0.4276070511161284	-0.5592164185767546	0.33478412533925817	-0.10809394604313813	-0.34190853325325526	-0.20167419227129801	-0.2729240701565375	0.0856517514946696	-0.21495629860467344	-0.009907431948603256	
14|1	-0.04689197845543823	-0.07423327245484988	-0.16553431432443025	-0.5356912144440611	-0.6992432017327174	0.07055168611282812	0.5214434981248028	0.15407435309095896	0.33049855462569444	0.020434357697125188	
15|1	0.6783346342528426	0.19019592498834528	-0.43440112644395684	0.09797586553275285	0.03528380377749582	-0.01603353373815848	0.346773399333875	0.21882407123730238	0.06448014886621593	-0.04479708907412951	
16|1	-0.41053920312621855	0.3124552345109915	0.16877899093238988	0.0797737952305922	-0.02173199341033374	0.00030719625473689535	0.05072989299749663	-0.26159493149108126	-0.07446140228580547	0.04057475468891644	
17|1	0.6136344713549179	0.2801597716168276	-0.43214658083843244	0.2667634695757039	0.1593253646838219	-0.010147947058443721	0.2151779363950116	0.07584410818007968	0.05808973702787155	-0.09194051551932611	
18|1	-0.11442814503193206	-0.0020996040279855775	-0.37764640303692343	-0.10113324525388799	0.16768523344388517	0.07031096219948212	0.23592385457409362	0.01542635377686199	-0.24570463764369768	0.1905941983161859	
19|1	-0.1924684080721935	0.15603007739681343	-0.26535330527371587	-0.170044888798815	0.3369659419284432	-0.3250705001454372	0.025548412971679632	0.22741168969662653	-0.17104505975514886	-0.01171035196349497	
20|1	-0.7133339698607549	-0.1293203531379953	-0.036577199320039146	0.017448779133222733	-0.05874312890921759	0.009210775456508783	-0.19318799036464232	0.04146858288733905	0.03595610777757972	-0.3712053350062862	
21|1	-0.8501618530549485	-0.5405678855128695	-0.3109763477496558	0.20518581100730696	0.2870690480789777	-0.10158763312709296	-0.2221043340574682	0.017958088324068092	0.10813455071593145	0.02258346560413561	
23|1	-0.4130672859060055	-0.2581335546337444	0.19518647459490496	0.5082185446651151	0.03867789160957858	0.21505585225552676	-0.16644653179322416	-0.0522494766496209	0.02425188887325215	-0.1335685625276052	
24|1	-0.5539017932552988	0.23951117945067446	-0.2615886467358257	-0.4150047868160158	-0.16257203389263378	-0.3144572877725004	0.42088699656805045	0.18260948810663752	-0.35124227920665846	-0.32032227824567533	
25|1	-0.5353959217791956	-0.03934621010532209	0.421195006783954	0.5800577616377582	-0.12041440479617031	0.5377609094042789	-0.010641115769054873	0.5338775920496226	0.15047330258508715	-0.24391691571042962	
28|1	0.7878758996179281	0.02491391391040804	-0.2853468510461425	0.28665021154953063	0.34731738853408645	-0.4350913132260782	0.11281409215547011	0.009532031695412928	0.26388477860507714	-0.11719459585726918	
