protein	pc.1	pc.2	pc.3	pc.4	pc.5	pc.6	pc.7	pc.8	pc.9	pc.10	
1|1	-0.38901532887984797	0.2442169504646142	-0.030695735607535087	-0.2538609569378593	-0.2516343561247985	-0.046206858593702785	0.28485309905423845	-0.1363512184520177	0.06773776695316472	0.04609229479275517	
3|1	0.4782592009040261	-0.03883072891249305	-0.27613718598674725	-0.31095685711797527	-0.11066107624994255	-0.12351882563952728	-0.223669897213183	-0.07604428948075362	-0.036467971886325924	-0.032063066383193874	
4|1	-0.004167436245151809	0.2104963938849287	-0.08330442457016268	-0.013939384439682564	0.17106972895841943	0.05865045841056703	0.06908146260392657	-0.015976509507252178	0.020888641817399474	0.007029905903773395	
7|1	0.0031536369388027435	-0.26587124485373015	0.23894203881490694	0.15452540676169285	0.07679146655571836	0.6026528964127347	0.11569614934949014	0.14715963251390993	-0.041585024879066776	-0.15595442953315167	
8|1	-0.2834140370851803	-0.060208569701352035	-0.0014349616343975215	0.08217429045665435	-0.10276586791960168	-0.10167050783512385	0.08709336249955324	0.1289912824660766	0.13012128122335098	-0.08581928449284375	
9|1	0.04622498699725654	0.4879114733919539	-0.08144932430845968	0.07961570442785353	0.07958396640724447	0.3294865469489539	0.09265091657734623	0.028516411396166445	-0.21038302802292988	0.26966828259146397	
11|1	-0.46125194397303426	0.15406230616977643	-0.05109590863469649	-0.12489273363443165	-0.010031062212016948	-0.04687736162289711	-0.013590577797337102	0.030178121221001497	0.05909349861107065	-0.07212318943311793	
12|1	0.29641720239264735	0.2563941626616361	0.5278191500552879	0.19676964314954468	-0.053706869804504516	0.16649605481225416	0.23860946453494614	0.2906108296085143	0.33618169638538076	-0.3032511576763419	
14|1	0.09319831171277095	0.09918643785885575	0.10626131555905327	0.5150927962270729	-0.5507257576938794	-0.11918595941801689	-0.013083004953789081	-0.06852047194496112	-0.23193994255026013	-0.17884778153853156	
15|1	0.49206140802865966	-0.08711489556279661	-0.3347724175175797	-0.09908427423566926	-0.2863572053407392	0.14756762298602497	-0.14488137246033123	-0.20953434335408805	-0.09460064419667082	0.06522191208691593	
16|1	-0.24730788583253013	-0.23933162212890016	-0.04082978928702564	0.06933489145442712	-0.03684460007809865	-0.10098428980572936	0.14995010531734995	0.025377741055739665	-0.026338044762139624	-0.0021978057042393263	
17|1	0.4263044820425251	-0.1164171390193076	-0.3949959025805388	-0.17872893637515955	-0.0510533195808932	0.06789313917171055	-0.005281698492398562	-0.15791614228884812	-0.11032130986024188	0.03782444594610228	
18|1	-0.1047900891340685	0.1157676385746222	-0.14547685611493014	-0.02193842467563227	-0.0967580357172369	0.010564415595358706	-0.028053538528780526	-0.1715901987896049	-0.03476848465194301	-0.04064828244746088	
