protein	pc.1	pc.2	pc.3	pc.4	pc.5	pc.6	pc.7	pc.8	pc.9	pc.10	
1|1	-0.0852166770619763	0.40199929257541533	0.13415967299215034	-0.010429212429788164	-0.007754629890665804	-0.17893027192991606	0.055226365351081996	-0.005982673350173533	-0.20529473349629426	-0.09534514338402442	
3|1	-0.06490505065091826	-0.06025759912129117	0.08826800994784094	-0.019118699265891034	0.07840389111967355	-0.0109611610264527	-0.0043543836930616244	0.20948337922228413	-0.11711496577325252	-0.03587750099486818	
4|1	0.15533793945152594	0.21735198372673176	0.04493027436115259	-0.05415849474670408	0.16108425281298824	0.06972294991348461	0.08976440979638861	0.0006181562635820124	-0.11051702369163335	0.06720517955695901	
7|1	0.06048375370598823	0.23123569347185607	0.13642348016355782	0.3616157584789124	-0.09184385594948932	0.09762119294253567	0.04497373396875955	-0.12808546767450074	-0.18879027000299853	-0.050901555438026685	
8|1	-0.277816919813447	0.17166498460953672	-0.6276219407614972	-0.1533404795884513	-0.14841344950897536	-0.07282564138633267	0.0034617770423042474	-0.1556439017497393	0.026797892283923076	-0.18688995415085818	
9|1	0.08157690467963948	0.04789374709737708	0.20410092076448633	0.22513380453309256	-0.03517344466661305	-0.03479201807660689	0.08080931347032155	0.15236904429726528	-0.0244768319480888	0.25182509897433436	
11|1	0.003765266677555061	-0.28904263441968886	-0.3235175476105719	0.056672143895817914	0.09665540476186076	0.20501353627505853	-0.1719082716226482	0.10323175591585543	0.03235943547953915	0.12412587364295734	
12|1	0.04155071801924328	-0.09618644545515223	-0.09622063471148372	-0.05907550466030016	-0.11443020361553818	0.05653108980007208	0.09993155976347967	0.11699089164381118	0.1049260489661732	-0.1489094379793603	
14|1	-0.4550213296404954	-0.1930275239787992	-0.012737573848729178	0.19265735143986826	0.026050963859452672	-0.054325291272904266	-0.05366306526253664	0.04813383300566059	-0.19177892353684162	0.06715409949307989	
15|1	-0.05109952718390706	0.07944796188793503	0.10020562530732498	0.027206641923538548	0.20885897279777127	-0.06789069934958512	-0.007942350817762844	0.12578999488451367	-0.11361793455354971	-0.0011327146906937998	
16|1	0.01106059096805085	-0.37382073176897723	-0.028498995706211606	-0.6126028904741663	0.3053948914600658	-0.07242944424739765	-0.21966192858333677	-0.2840061129508095	-0.2340116861403977	0.02224379037116934	
17|1	0.20296337538673848	-0.008875298412914616	0.14494898149850818	0.11607326566269084	0.3104010027733836	-0.04288754770720745	-0.009811868432206172	0.08050574190167953	-0.13584521903165395	0.11685054480422963	
18|1	-0.23323803532711923	0.14701756069553845	0.06995140214944379	0.005034066872846009	0.11825202286467962	0.027194380085176197	-0.0579236252278239	0.062281776118569616	-0.3983855317644531	-0.11290348908044497	
19|1	-0.2762786767241614	-0.10931508940471515	-0.00647965664936513	0.017310043976070562	0.3718711869025719	-0.14448609043100377	-0.03483954235065603	0.09273561577071958	-0.2877823489592366	-0.04292345820008511	
20|1	-0.6794759698397702	-0.03265456775377248	-0.04017001173266423	0.36732405286893927	0.03145114567499164	-0.011957534042306582	-0.17482471065883448	-0.18734488083534262	0.2326493475520549	-0.09615400593002388	
21|1	-0.007279231339149493	-0.27045660839906865	-0.08050309351424079	0.1895209153933327	0.03119691677190936	-0.25518867203553164	-0.01782831793398844	0.16530152222977057	-0.032562116672782304	-0.008449603257858419	
23|1	-0.04503921562546333	0.15192675004309455	-0.4293491815289911	-0.015806994968379222	0.11647673334039638	-0.15933194084857363	-0.16129418913733296	0.15133192510550442	0.2527469146796217	-0.055498563252768814	
24|1	-0.735984062538343	-0.1931612071824142	-0.3691478518062277	0.1708307363765857	0.1047064611857567	-0.1316417666817979	-0.16256728551547645	-0.056282855713650486	-0.013298435694754742	-0.04815613222615956	
25|1	-0.20257526659906172	-0.4127590622004596	0.2712643856656795	-0.045051680663966545	-0.5222786191118184	0.1352253715266824	-0.174124664927943	0.05895460060121241	-0.15508161239214177	-0.004120353970048612	
28|1	-0.044310762113981335	0.22672843063827816	-0.012335356335587497	-0.12506461010231643	-0.186312791102912	0.12790583644670378	-0.030447791135591415	0.06820613196318605	0.0694778064811309	0.13982738205979336	
29|1	0.8131106023842214	-0.34479873709121156	-0.01048805700860306	0.13002119376397006	-0.1795613781496476	0.03668470977011054	-0.08049548022788458	-0.31408056642910975	-0.006071977079443988	0.060710871328679014	
30|1	-0.30614529524207373	-0.3391463547158248	-0.3172472215042575	-0.020146287247698555	-0.27492635936160575	0.01163523212065376	-0.3639756691323525	-0.08720774546848983	-0.0716599008182512	-0.2762658699929082	
31|1	0.07418455273483139	0.2091533603866888	0.03582531606887908	-0.34222614485257524	0.6773406752048093	0.09072270183117201	-0.11485861263916304	-0.1145518722124696	-0.14938143013716768	-0.28797357926108186	
32|1	0.36812334751895137	0.12198254172694142	0.10060568699078924	0.03380231023132381	0.060728062011114824	-0.06762164007628359	-0.22041078549243268	0.10582432648499583	0.13422405639617874	0.050404840811533465	
33|1	-0.25560499327353675	0.056784024918070934	-0.28350463365574774	0.1128400783836554	0.05579196524162213	0.12003109395546462	-0.04166280748144423	0.0674758754218144	-0.17120498641013787	0.13976078081326082	
36|1	0.07715559769274517	0.1771502076440642	0.19943084752912668	-0.1370935953951672	0.04263017867177988	-0.08610203642190013	0.1506575275341797	-0.1798451183658653	0.0785892595608782	0.03925444386978281	
38|1	0.7956507583241643	-0.2525795045353912	-0.09829577141337513	0.17024404043558844	0.09346238531099314	-0.30007854950912977	-0.19183648630704334	0.12014145973905598	-0.09256900782108883	0.043834897227262186	
39|1	-0.2848603393304633	-0.0774910768021089	-0.3952291282694758	-0.0685367658510632	-0.08592513974940447	-0.12919384141728052	-0.003862792541970591	-0.02768552345201529	0.0325463375553697	0.027115686717586195	
40|1	-0.2918841501412199	-0.24603515100782453	-0.18182550263920952	-0.044433417405184694	-0.00015862257754394016	-0.14019170226916722	-0.32341132680987406	-0.014407437910251139	0.08909966118923687	0.11327604258042105	
41|1	0.194068699041249	0.25622805933455295	0.23077035487556322	0.0022721242122860402	-0.00208492051542312	-0.25119889447896415	-0.12807625494830457	0.013385922419680014	-0.26280910315361894	-0.01273260819650608	
42|1	0.3066627851167011	0.24886605055637775	-0.2843323976413956	0.10188747027928291	-0.0448797784867094	-0.17112510928812316	0.018358452073113526	-0.4181795653804604	0.17975774029544755	0.10254571760632286	
43|1	-0.25617442052762845	-0.6498915195624351	0.40302050495486463	-0.13295072139659234	-0.2531822854038998	-0.09685101698117271	0.1416805376038222	0.1950658016884399	-0.2336345597375298	0.06228340703583225	
45|1	0.3234468343839603	-0.30588658381038364	-0.3815895841170891	0.19456388136658248	0.09095465961718051	0.41664446098525226	-0.24304857591478374	0.23050354324810068	0.019521747953431874	0.02614769308955264	
48|1	-0.027121583792329998	-0.4736179253997518	-0.5078000503899446	0.04116289760363077	-0.3227335126112881	0.24508334398161147	-0.035121330571406796	-0.024979396242117313	0.026362098615794024	0.1395258689752829	
51|1	0.26334885202179503	0.04710266409553346	0.07374072146397019	-0.12454761003406821	0.07400567886327851	0.014244804346458419	-0.26172391461546113	0.11842495200142515	0.055934295393874976	0.04099998632499155	
53|1	-0.015580902922782873	0.2162846540925043	-0.03866120203226865	0.10524043122439142	-0.3630429272967492	-0.11684699121543546	0.050872540621530196	-0.061271669954677636	0.07844635144922085	0.10308482543841178	
54|1	-0.034099053663929936	-0.6029416404936819	-0.31640176238833045	0.12315012662016782	-0.008659344307870393	0.055731283702757886	-0.02745324902475665	-0.03914304178473291	0.15275413506926255	0.09336005767747749	
55|1	-0.5731878465036112	-0.5670273875167117	-0.0912073045581445	-0.10924762399137693	-0.3400830336470854	-0.2780211987176233	0.6853338875640851	-0.13458637612695362	-0.025387090988069055	-0.14220819581180258	
56|1	-0.2654842977608099	0.2675581379019902	-0.39820204600379655	-0.12409935054554469	-0.2164018643357865	-0.17850588505186754	-0.015763037891748027	0.013625138808442652	0.0277250546415067	0.030247893995061143	
57|1	0.6321373844697138	0.41104888307027654	-0.5556824211915462	0.1487145399455233	0.020951172818576985	0.5630844966999755	0.3337817160685562	-0.049584453512468436	0.04902897060314112	-0.252934550026211	
58|1	0.3444435821377965	0.12015241612227935	0.044944556056649494	-0.07326602620866401	0.08318847919185463	-0.07534954331890051	-0.2474881590089379	0.08856903334223197	0.10224118696949742	0.0431795471749397	
59|1	0.05363496257705308	-0.18264997927833748	-0.14186193455107102	-0.11158609361855104	0.08538060345362335	-0.15427953825994364	0.055640631510108854	-0.18136873028935294	0.011812049148768008	0.01140734136195558	
60|1	-0.4838825650003714	-0.504144492255102	-0.36712437787048885	0.1548284539385107	0.5306252366618384	0.2660072527563839	-0.2047802706816724	-0.26892491521951695	-0.2562146122618854	-0.08851501846346294	
61|1	-0.13523817385359937	-0.061218452782389715	-0.18665255430054692	-0.17828753131008349	-0.05581046932180423	-0.04392958913239608	-0.37478435228360646	-0.053212300897060485	-0.01718716679948928	0.21717740993026854	
62|1	0.19137503205328338	0.044181522209688726	0.07064486507997245	0.10743157370773897	0.2362264263324202	-0.04681400655383491	0.027328298465089326	0.08564095587873778	-0.15652079253217568	0.07761591377145134	
63|1	0.04238215180339794	-0.3944241977963883	0.05008929943386465	-0.530615663849684	0.40029419470561967	0.07937640522846778	-0.26193812075912487	-0.24570088750010896	-0.2873019772828203	0.000593534004643143	
64|1	-0.07863941331692013	-0.5398379765580325	0.28777947171410445	-0.17504257501987178	-0.15414820311847366	-0.16669798322973772	0.037430343696523746	0.1803708365820154	0.012242366666183491	0.03870379558002177	
65|1	0.025233997868994	0.03263957210791748	-0.30558654716195016	0.05490012907236505	-0.1528246367906684	0.051553646617844305	0.011144145227557046	0.1990148347473298	-0.0551031324926213	-0.08388477973638825	
66|1	0.25997325760035034	-0.29674207520164364	-0.1351094921572552	-0.23244606766611745	0.5094949634770444	-0.11266540575108396	0.07559708675907438	0.21855328632347	0.1387199902840949	0.01602558796470685	
67|1	-0.1517622642251055	-0.12640272233384522	-0.19954152054906796	0.061685645283584334	-0.404914984846402	-0.08557513801107933	0.05996957016162164	-0.03742745762625905	0.09707467426111664	0.3076963264878553	
68|1	0.8484558496499571	-0.39560520825500634	-0.5655149717781038	0.38193898029763185	-0.028648091871360606	0.005268654267249979	-0.029797697867679437	0.17411224723494756	-0.02231443299580802	-0.25512327979680544	
69|1	0.10621055374769682	0.05267021659244846	0.12250779956149015	-0.18012145912225813	-0.052465054679528424	0.10183787420271977	-0.2033016177128134	0.11928685037478128	0.007231849585945897	0.08151061589471933	
