protein	pc.1	pc.2	pc.3	pc.4	pc.5	pc.6	pc.7	pc.8	pc.9	pc.10	
2|1	1.43354088097906	-0.2479882309166364	-0.07003917073756936	-0.18511679288380067	0.05963789236548041	0.26881510835863326	0.32556080972874374	0.16640409287270155	-0.30514618516399566	-0.11472563853544795	
3|1	-1.23064082797317	-0.4551928338770395	0.14386667406764916	-1.9478305033604932	1.0494468900366045	0.8379349709728832	0.19589323088001384	0.22664949626713796	1.058145451334905	-0.30007605876512466	
4|1	0.23743182713841254	0.4956564473884388	-0.1399179481444208	0.3498262736953296	0.20277956521052698	-0.17996942123229462	0.08741784680602983	0.011013407114113303	-0.21820483973988875	-0.0019361142238752379	
7|1	0.23506754746353545	-0.7036019282453901	-0.4077319184409102	0.02459137863258561	-0.25582515816605467	-0.17698449290719268	-0.010537378977067096	0.11996968754045113	-0.010674105079177409	-0.052236342527257944	
8|1	-0.0023551069764393756	0.45110875322818433	0.9587297955293304	-0.5145021368859162	-1.3071530359042487	0.4789149866385998	-0.3368396555071141	-0.2728151105822172	-0.41297833978778453	-0.5084821448475331	
9|1	0.7220482299921963	0.3965230518455949	-0.3821972545110475	-0.018814883351143855	0.12037209730973185	-0.6739628784581675	-0.21185217197226935	0.6298740292059434	0.20501558746061552	-0.29229425501514567	
11|1	1.244727473396928	-0.4329185576570351	0.06648439247431885	-0.3659550679396544	0.12671317689254724	0.013060845302125184	-0.027026937254930973	0.2126586524857625	-0.21020045395223355	0.07246222877897056	
12|1	-0.022440908215989583	-0.3270989430280597	0.9609023331340532	1.4204181268325091	0.08497971508107365	0.10164895917057355	-0.2495619210292573	-0.035604877018575384	0.4464466525260177	0.4149961570326276	
14|1	-0.38837385911279476	1.1837655947792538	-0.009824610763637219	-0.11706935054599353	-0.2839855632647051	-0.7936006046419477	-0.2812658350482394	-0.1656171187604934	-0.08179129445574951	-0.31798558245133846	
15|1	-1.1439711672765327	-0.25350786627499716	0.10641081515809715	-2.0604232870603494	0.7790835415469594	0.781082133453322	0.37740611490312814	0.12409864230426416	0.9692565669335608	-0.7658873721175072	
16|1	-0.07212213073641323	-0.50627399603563	-0.25490635152590213	0.18948010962724174	-0.33862035905511517	-0.25670256540925707	-0.27196652147748734	-0.3356890920137532	-0.29605387131756894	-0.1681050221452305	
18|1	-0.10774867064919627	0.37147586745550615	0.39918528014740545	-0.7282921124725764	-0.4413775595541349	-0.6011596294195782	-0.17855411688574815	0.27833475008684155	0.35034394221625487	0.4844919012841162	
19|1	-0.40004545734849734	0.06967854428063684	0.916596358160172	-0.6280808053196741	-0.5163098959540997	-0.38282180807830607	0.25906161791203025	-0.3638278826068621	-0.12246416029147551	0.5071121667888935	
20|1	1.01544591870541	-0.8404068585331007	0.40569186070612173	0.18638122463464707	-0.49016958207298666	0.06667165212333741	-1.0082921106833782	0.22435866541643334	0.93353686223785	0.08102810494656398	
23|1	0.9505750088834093	0.07071451598683537	-0.9289588504725003	0.18517894852564706	0.16427228817237027	0.37992944923687477	0.3183475566948685	-0.9645345610905204	0.26392369834562374	0.5584837880263959	
24|1	-0.3471185116999334	0.34548658734474896	0.8467354954299962	-0.4721036499750324	0.27430740116349767	-1.0131121904656333	-0.2354100891651059	-0.5005729795520991	0.08372060033652438	0.4167163383676925	
25|1	0.7931026986500479	-0.7727129155538109	-0.6630669921275236	0.25090597013119004	0.021673101077815567	0.1473310447152254	0.3631264709359769	-0.5108055122358763	0.09805261732338812	0.37729803859859246	
28|1	-0.839424654031372	-0.4396722258413065	-0.1047140160038594	-0.4564512553682296	0.6019143836606292	0.4802143946404961	-0.20774382905244157	-0.28738835911568017	0.12538449293444165	0.1152199883539509	
29|1	-0.05025717975349703	-0.43811997044548545	0.2771473686162037	-0.11334571407986822	0.766707530859847	-0.21073778929557807	0.6733587544824985	0.092776087309633	-0.6133009005150292	-0.1630882334274143	
30|1	0.20189236605269878	0.06910655616170583	0.9177319750949916	-0.8225584823429442	-0.2826720491910712	-0.24666119786188995	0.05448459277103384	0.28863182960515593	-0.20598957542969148	0.7209198847922311	
31|1	-0.37198865077538523	-0.8381222551461232	-0.5954473857816737	0.07268014522563185	-0.3236002364915672	0.07250547498700906	-0.23072070672820702	-0.14621740410168918	-0.5408615775324217	0.03027533431487902	
33|1	-0.3448000039332677	0.43085915897225385	0.15585488414152943	-0.20243728635334998	-0.3511536266345405	0.4187060558020336	-0.7870195184869648	-0.047029550668369134	-0.22256400240633917	0.13883234097240094	
38|1	0.4610054554668441	-0.2273236448234376	0.33651010434863077	-0.5684044825388296	-0.14639819616504227	-0.6013311900676225	0.18670915551842457	-0.05147959677125067	-0.35878328405222576	-0.012468383539942793	
39|1	0.29048343426632817	1.4572364275780654	-0.08436446177682864	-0.21978435993553624	0.570999536888671	0.15566057177605166	-0.19534340564070757	-0.9949635538525016	0.23734865459319945	0.20646439912213624	
41|1	1.437515939703823	0.5005150256134769	0.6915888025184482	-0.0649700055465568	-0.44474850068906724	0.36306804236429974	0.027057886841096564	0.8267731537585067	-0.25551640751984545	-0.08784919502987411	
