protein	pc.1	pc.2	pc.3	pc.4	pc.5	pc.6	pc.7	pc.8	pc.9	pc.10	
2|1	-0.1478530843515775	0.056399233202696984	0.03274723614209809	-0.01050008347355347	0.06543221154650139	-0.024219239111472397	0.057225786369645336	-0.0690523446658142	0.0818597428545774	0.007457219979347583	
3|1	-0.03251458565781105	-0.00940377318188739	-0.16025150606343103	-0.06043617056254147	0.051686115002641864	0.022280391938209927	-0.009539157981899807	-0.1037134440290667	-0.0628289681101289	-0.07111384028701365	
4|1	-0.09878404023578366	-0.16904118682214925	0.00023285826299156753	0.07272798064586723	-0.14053846847767382	-0.03158002750195679	0.06730309351318657	0.08505035507183667	-0.03021221300395249	0.03997476113611138	
7|1	0.1020613868274323	-0.031190065185495348	0.22386388240269217	0.10871418281304134	-0.10288026532020701	-0.1303255556972559	0.0294816580705754	0.13925413782956167	-0.034975128679118325	0.056391886055327876	
8|1	-0.26369272597792554	0.09675844636627468	0.0499496712412113	0.1061993654669856	-0.14869001111384944	0.06513101881714747	-0.04889575839703279	-0.04261820294107748	-0.024967041786921416	0.025701200439941674	
9|1	-0.006109641718247548	-0.016730176981082333	-0.0690934107551482	0.008011487581918648	-0.008393978605899058	-0.09362967633148814	-0.06833664278404468	0.1695423414524836	-0.020273530940021815	-0.05425766007239339	
11|1	-0.12899359996601836	0.059520571797489374	0.08961031730588587	0.1266375219219919	0.0055785185223250515	0.009296674225689241	0.01596340236622968	-0.052020004533973915	0.07927086536787051	0.009743922358835653	
12|1	-0.11930637127423502	0.06568712680993659	-0.027712802910904003	-0.04941192527913712	0.0093843728069233	-0.07699483540796417	-0.03387866953590916	-0.028066143426360983	0.014192768220959733	0.03803561286311746	
14|1	-0.06032988657636428	0.24887918929193367	0.009401085995086522	0.013505702405217746	0.04450352696873051	-0.02463556674473738	0.04102967097083914	0.01856154093991539	-0.06049844231259595	0.03606635434140888	
15|1	0.025252640968761245	-0.04356633972294969	-0.19082037626415013	-0.052672730553106686	0.010459638402815722	0.02282070024799347	0.014565050082935035	-0.10579570262294637	-0.11263531737799784	-0.09849034140771322	
16|1	-0.2544782088337726	-0.12953016077475482	-0.14267842468651284	-0.11520047066886224	0.33168796350484153	0.14507736795425039	0.4361548042319482	-0.09297730318420415	0.06262629754655688	0.05157759882758823	
18|1	-0.00023956214310727987	0.08665426328797277	-0.04223942625988794	-0.002318839108082768	-0.014095592697766219	0.029474273205219743	0.06194250188623717	-0.0350028221015237	-0.0720944398207991	0.03107996150251245	
19|1	-0.027279474464194056	0.11495545505319041	-0.04113751407335936	0.08664818934752203	0.06346873875302068	0.028236180925716836	0.14595631645830828	-0.0809608597870087	-0.1168473004072205	0.044290647379321105	
