protein	pc.1	pc.2	pc.3	pc.4	pc.5	pc.6	pc.7	pc.8	pc.9	pc.10	
2|1	-0.44964794367599037	0.2037823775771883	0.24338565306307566	0.02227826301308182	-0.10959141795373367	-0.08094366639879018	0.048397284606535654	-0.11216537343767995	0.057932699112905495	-0.0737750494816289	
3|1	0.5510664202591302	-0.0026642281948661456	0.3096895447079313	0.048431387003817224	0.2388176773239211	-0.21295875373837697	-0.07053243909185404	-0.1654648933490829	-0.1305481922436403	-0.11253051997252703	
4|1	-0.10872648547488703	0.14604836473928523	0.1460074193559148	0.05060177848931822	-0.16612415190904808	0.10574626607627603	-0.044428729884818156	-0.018719074343920217	-0.010280060566249792	0.1603433371175197	
7|1	-0.0475381204239014	-0.22981992716464816	-0.22210438836545163	-0.38158345839559016	-0.19040646579541068	0.29294332688397057	0.290624371023333	0.1624190755045094	-0.07344069685506273	-0.033553548178257245	
8|1	-0.3042807329595087	-0.08774892723304586	0.025696966386420696	0.009767072633887087	-0.05052416820731606	-0.12313644650094639	0.1545302851719052	-0.16916931725111067	0.1378043410927378	0.03591420761742447	
9|1	-0.12881323208830825	0.4101970775840344	0.0974397346162016	-0.17710565137383663	0.10402262290286453	0.24625261628617318	-0.05443929743463881	0.16133792894067808	-0.10782822286142882	0.11444036421106772	
11|1	-0.4316361098290509	0.10643203384683345	0.20309267418249216	-0.014186801259481959	-0.019252615897331325	-0.0885571862742321	0.046935636556895324	-0.06072365648828824	0.15887401546372323	-0.023940579666992017	
12|1	0.16471143998009707	0.3152998386251247	-0.16582607541958605	-0.3334382041159862	-0.5175129690965299	-0.06608378714623242	0.27947262338024476	-0.13505389968427606	-0.09452614485450735	-0.04821990573996692	
14|1	0.021772290037376605	0.26113110825330244	-0.3949973390565447	0.02160794093726543	0.5359700515996695	-0.03277639022248492	0.09883608920657067	-0.21882929675832163	-0.16897470381216337	-0.21947649697607213	
15|1	0.5311522608384752	-0.06183481604203738	0.17757334659916277	-0.14675889513182802	0.4790901479226156	-0.025788236775264622	0.01928060997592408	-0.252540298211182	-0.1180033095191622	0.018417571266834652	
16|1	-0.24746944391751347	-0.27585247302695187	0.02577486855395339	0.06993203272118378	0.016815792404582648	0.07296633101472219	-0.018612007435589047	-0.014700423220590111	0.027078818423367568	0.01933487570299293	
18|1	-0.08998761192841916	0.12158346266546169	0.1401935721642355	-0.004965451059358027	0.19831378620932433	0.06695995706710993	0.10361781631100933	-0.1500077973377588	0.18429961963589064	0.04959560116719847	
19|1	-0.04646575103071875	-0.023864801377592525	0.19399754262429053	0.025056368079179825	-0.06904558052726746	-0.1485722085605378	0.06404731816294783	-0.14021174828791816	0.1623771266138549	0.011539933199670407	
20|1	-0.41217306787721186	-0.01772777579852075	0.15837915909674144	-0.059149604394865316	0.017886760529419177	-0.14648254038014452	-0.006436812476349201	0.0847081513621	-0.2385880570469654	0.05409815570550359	
23|1	-0.3313253702534868	0.101304021931636	0.1892199714715134	-0.037750932383319176	-0.1534216082964575	0.41731192572378095	0.012116305058989758	0.1041208949792486	0.052561773982292365	0.06613016160001159	
24|1	-0.18594415426562802	-0.07053550430793075	-0.0539472273484124	-0.005979462236149774	0.08934844718319034	-0.13184262752927087	0.11355856924676487	-0.1884644901444796	0.11219629256193712	0.14017908916961724	
25|1	-0.33983363209459977	-0.13390303806813283	0.14136861260834535	-0.23924399011096972	0.0595649782898433	0.21378110459371047	0.11007071624996166	0.30954925685506673	-0.15254719545256176	-0.12156356676736235	
28|1	0.6345331287182607	-0.048590864543350286	0.47552106710497893	-0.07303302878962754	0.023215578212065862	-0.12009633823673738	-0.2688978154496884	-0.08504509215352742	0.04201939755261225	-0.05248629400674264	
29|1	-0.062228174693956154	-0.12579426307271666	-0.06556340353783209	-0.010122786101544122	0.10645739525720427	-0.05034873293349791	-0.17175450637182468	0.13103454592126101	0.22923124987476876	-0.059943128808830674	
30|1	-0.2147804809908985	-0.16067953057955997	-0.08353907886306589	-0.04493905014431288	0.07967153114560553	-0.13614247912247654	0.18721570145879943	-0.11481190957402321	0.023823280486193407	-0.021567338003443473	
31|1	-0.06741105060733742	-0.3586344918741097	0.10653393911528002	0.23011783000641073	0.025278799557029132	0.08425749836381248	0.052624115232432836	-0.029790713057635535	-0.0079783855932639	-0.058843707783853685	
33|1	0.12171752234454439	0.018412985669826833	-0.06596724097208109	0.2525983926958811	-0.3678563800213565	-0.026792837108113546	0.16413977140019484	0.006193861465220032	0.06973847160668784	0.025815037883415534	
38|1	-0.36243069078195417	0.0485833408208525	0.10559147001879189	0.045946329223402665	-0.11494130785738131	-0.11842552264219364	0.10598302966330472	-0.17022288687546064	0.06276215266888929	-0.06287953440440358	
39|1	0.0054927258208437284	0.271061465397972	0.10343464993823713	0.30651756678940784	-0.13044787597613342	-0.15605106492450083	-0.056496019273219206	0.040017032706154664	0.05217266052851153	-0.1170518688634052	
41|1	-0.3336756864521895	0.11939661171778479	0.2607110476253314	-0.061724133757643955	0.10552016957296226	-0.024152462014702343	-0.07904126629036645	0.08707036473846719	0.17436897618633257	0.20214198251312454	
