protein	D1	D2
1182|0	16.966479	-9.659600
2807|0	21.864589	-30.779386
5281|0	11.552130	-33.027496
3989|0	-20.339674	-18.818826
1255|0	15.179976	-22.808119
2810|0	-21.284656	-52.429412
3936|0	6.759928	14.565774
882|0	-40.443993	-49.879150
3176|0	-24.670468	-26.544345
899|0	-22.698065	-26.203947
3920|0	20.000913	18.980623
2009|0	-30.455215	-14.888055
5129|0	28.529713	-24.396101
4428|0	-40.075054	-23.590360
1764|0	-3.117000	-2.118299
4231|0	38.702147	16.433934
4581|0	16.008788	-43.063061
3543|0	-6.003586	-7.413532
2318|0	-9.383455	-48.489403
5100|0	-1.324116	69.686811
5299|0	-25.236929	-65.360979
826|0	-18.211952	-58.631687
961|0	-6.096616	-11.210397
1879|0	-19.923522	3.383920
2649|0	10.449397	-20.243294
1390|0	-1.854702	-39.646872
2881|0	-12.204475	-41.212058
1540|0	19.948062	18.002817
4972|0	7.594661	-37.237884
1458|0	-22.911897	-25.245040
1558|0	-12.575621	-60.844325
825|0	-0.542007	-13.954696
5140|0	7.274378	-32.476491
2551|0	24.740895	-44.695873
4364|0	30.545850	1.386110
5080|0	8.858183	-2.285947
5182|0	-36.941936	-31.583371
2569|0	-6.429041	-18.884210
3392|0	8.547101	-22.433909
2408|0	9.764257	-28.395290
4894|0	-13.119203	-42.109540
4200|0	-2.416381	37.319295
2865|0	15.808041	-32.214375
4419|0	9.669754	14.288230
3461|0	-17.275690	-53.019293
2615|0	-22.927580	-14.411742
5219|0	-2.089520	-2.864524
1911|0	20.272066	-4.395392
3039|0	-5.125025	-30.702783
4451|0	-11.913477	-14.903332
801|0	0.379626	6.392327
5004|0	9.512407	-30.269458
2352|0	-0.667604	31.092194
3523|0	9.817026	-18.053654
3357|0	-24.023470	-16.814770
2034|0	-7.370253	-63.942245
3875|0	4.951682	-23.222362
5284|0	-13.356794	-58.452520
3115|0	7.319851	-17.283502
3406|0	5.986013	-1.598931
4936|0	1.334946	-34.524912
2431|0	-21.607057	-56.761528
5093|0	14.927625	-46.645828
1095|0	24.565970	28.644732
1077|0	9.373509	17.402181
2934|0	6.851096	-28.357993
1452|0	-14.341936	-63.161817
1140|0	21.773791	-3.275207
2603|0	-4.916222	-26.371250
1341|0	5.419915	-47.308746
5171|0	-14.133309	-65.341317
2573|0	-17.216144	2.722334
3232|0	-2.129043	-31.245103
1858|0	31.931365	12.647879
4568|0	-19.871319	-38.938713
898|0	16.832324	-34.087739
5276|0	14.305933	-27.768415
2209|0	-22.551786	-52.432125
1000|0	-17.239721	-57.272257
3329|0	5.951325	29.334478
3365|0	-0.527286	-3.914080
3041|0	-3.374640	-12.197810
1806|0	-1.039490	10.334825
3770|0	3.954681	-24.801536
3289|0	-33.528090	-55.484362
3763|0	-30.784192	-56.889667
1275|0	29.474469	19.867345
3228|0	-7.338913	1.354427
1772|0	14.283450	-38.014483
4845|0	-19.474089	-20.093502
1850|0	-2.983790	29.652872
